,tail_id,score,tail_label,in_validation,in_testing
1447,1447,-0.7128437161445618,Q9143,False,False
707,707,-0.7352216839790344,Q21198,False,False
1386,1386,-0.7435566186904907,Q8366,False,False
1232,1232,-0.7500132918357849,Q68,False,False
1340,1340,-0.7511066198348999,Q80006,False,False
290,290,-0.7802836894989014,Q11660,False,False
379,379,-0.780473530292511,Q12503,False,False
678,678,-0.7984285354614258,Q205084,False,False
979,979,-0.7998369932174683,Q395,False,False
232,232,-0.8155925273895264,Q11205,False,False
1138,1138,-0.827402651309967,Q5862903,False,False
540,540,-0.834359884262085,Q175263,False,False
1344,1344,-0.8394072651863098,Q8078,False,False
1461,1461,-0.8432537913322449,Q9492,False,False
380,380,-0.8459768295288086,Q12525525,False,False
405,405,-0.8478298187255859,Q131476,False,False
918,918,-0.855631411075592,Q333464,False,False
547,547,-0.8568495512008667,Q176623,False,False
1405,1405,-0.8619900345802307,Q8513,False,False
1394,1394,-0.8629156351089478,Q844718,False,False
444,444,-0.8859679698944092,Q141495,False,False
1000,1000,-0.8881536722183228,Q42848,False,False
399,399,-0.8892198204994202,Q1301371,False,False
490,490,-0.895950973033905,Q163310,False,False
372,372,-0.9154808521270752,Q121416,False,False
952,952,-0.9166944622993469,Q363874,False,False
562,562,-0.9190472960472107,Q179310,False,False
1446,1446,-0.9195685386657715,Q9135,False,False
546,546,-0.9209728240966797,Q176452,False,False
1457,1457,-0.9214935302734375,Q938438,False,False
1360,1360,-0.9228813052177429,Q818888,False,False
622,622,-0.9231688380241394,Q189900,False,False
343,343,-0.9304699301719666,Q117801,False,False
1428,1428,-0.9309573769569397,Q877977,False,False
236,236,-0.9311189651489258,Q11216,False,False
983,983,-0.9345060586929321,Q3968,False,False
798,798,-0.9371513724327087,Q2539,False,False
927,927,-0.9373621344566345,Q33742,False,False
624,624,-0.9377012252807617,Q190087,False,False
1383,1383,-0.9411453604698181,Q833585,False,False
1365,1365,-0.9416918754577637,Q82571,False,False
560,560,-0.9433376789093018,Q178377,False,False
1003,1003,-0.9556273818016052,Q43260,False,False
716,716,-0.9593191742897034,Q214526,False,False
1013,1013,-0.9674416780471802,Q44337,False,False
264,264,-0.9704416990280151,Q1141518,False,False
667,667,-0.972972571849823,Q200125,False,False
78,78,-0.9817917943000793,Q1034415,False,False
1389,1389,-0.9838035702705383,Q840540,False,False
1317,1317,-0.9842681288719177,Q7600677,False,False
464,464,-0.9878592491149902,Q149972,False,False
1065,1065,-0.996695339679718,Q494756,False,False
1042,1042,-0.9980170130729675,Q47607,False,False
533,533,-1.0052626132965088,Q173212,False,False
376,376,-1.009220004081726,Q12479,False,False
723,723,-1.0168421268463135,Q216601,False,False
909,909,-1.026220679283142,Q327069,False,False
855,855,-1.0323315858840942,Q2878974,False,False
548,548,-1.0392732620239258,Q176640,False,False
586,586,-1.0464441776275635,Q185612,False,False
1339,1339,-1.0466784238815308,Q79872,False,False
1421,1421,-1.0517503023147583,Q868299,False,False
1400,1400,-1.055445909500122,Q848010,False,False
816,816,-1.0582407712936401,Q27058,False,False
1324,1324,-1.0627057552337646,Q76592,False,False
1430,1430,-1.069077491760254,Q8789,False,False
498,498,-1.0709553956985474,Q165436,False,False
708,708,-1.0713616609573364,Q212108,False,False
1307,1307,-1.0749402046203613,Q752532,False,False
582,582,-1.0949434041976929,Q184754,False,False
510,510,-1.106945514678955,Q170058,False,False
714,714,-1.108680009841919,Q21447895,False,False
874,874,-1.1166836023330688,Q2974105,False,False
1373,1373,-1.1259719133377075,Q827335,False,False
1310,1310,-1.1264363527297974,Q755662,False,False
784,784,-1.1462464332580566,Q246064,False,False
590,590,-1.169702172279358,Q186152,False,False
524,524,-1.173473596572876,Q17146476,False,False
938,938,-1.1759740114212036,Q3435924,False,False
641,641,-1.1779757738113403,Q193076,False,False
228,228,-1.1879388093948364,Q1116876,False,False
1425,1425,-1.188374400138855,Q874709,False,False
960,960,-1.191899299621582,Q37437,False,False
278,278,-1.1972512006759644,Q11538,False,False
944,944,-1.1978000402450562,Q3510521,False,False
1041,1041,-1.2066370248794556,Q47506,False,False
1341,1341,-1.2144434452056885,Q80091,False,False
685,685,-1.2219724655151367,Q206904,False,False
821,821,-1.222206950187683,Q272404,False,False
1322,1322,-1.2223011255264282,Q764810,False,False
72,72,-1.2246729135513306,Q1026367,False,False
965,965,-1.2250144481658936,Q378859,False,False
1218,1218,-1.2256466150283813,Q660848,False,False
356,356,-1.2271296977996826,Q1191981,False,False
1037,1037,-1.2281227111816406,Q47146,False,False
776,776,-1.2307891845703125,Q2407,False,False
532,532,-1.231933832168579,Q173156,False,False
1346,1346,-1.232924222946167,Q8087,False,False
977,977,-1.2331229448318481,Q388,False,False
619,619,-1.23505699634552,Q189436,False,False
1292,1292,-1.2474876642227173,Q7397,False,False
1049,1049,-1.2493903636932373,Q478798,False,False
1187,1187,-1.2536424398422241,Q631425,False,False
634,634,-1.2671241760253906,Q192588,False,False
234,234,-1.27742600440979,Q11214,False,False
1347,1347,-1.2812848091125488,Q80993,False,False
695,695,-1.2825089693069458,Q208163,False,False
217,217,-1.283754825592041,Q11024,False,False
425,425,-1.284224033355713,Q1363085,False,False
639,639,-1.284730315208435,Q192969,False,False
1056,1056,-1.2952278852462769,Q486902,False,False
448,448,-1.2995296716690063,Q1427251,False,False
549,549,-1.3049172163009644,Q176645,False,False
1388,1388,-1.3092930316925049,Q839721,False,False
732,732,-1.3104199171066284,Q219320,False,False
1097,1097,-1.3169652223587036,Q5300,False,False
589,589,-1.3260984420776367,Q186055,False,False
1433,1433,-1.3272029161453247,Q8811,False,False
569,569,-1.3321223258972168,Q181156,False,False
564,564,-1.3321921825408936,Q179976,False,False
74,74,-1.3424688577651978,Q1027879,False,False
712,712,-1.3459705114364624,Q213092,False,False
791,791,-1.3555107116699219,Q251,False,False
156,156,-1.3660898208618164,Q1058791,False,False
954,954,-1.3679426908493042,Q366872,False,False
77,77,-1.3785442113876343,Q10336440,False,False
70,70,-1.3831020593643188,Q101333,False,False
1282,1282,-1.3837953805923462,Q730920,False,False
344,344,-1.3845933675765991,Q117879,False,False
743,743,-1.3854609727859497,Q223655,False,False
499,499,-1.3896640539169312,Q166142,False,False
1052,1052,-1.3947936296463013,Q483130,False,False
889,889,-1.3987880945205688,Q30642,False,False
761,761,-1.4081125259399414,Q232661,False,False
1419,1419,-1.4081811904907227,Q865760,False,False
439,439,-1.4163625240325928,Q141090,False,False
1281,1281,-1.4205058813095093,Q729271,False,False
806,806,-1.4236395359039307,Q264164,False,False
95,95,-1.4236639738082886,Q1051282,False,False
271,271,-1.4251763820648193,Q11476,False,False
829,829,-1.4264575242996216,Q275603,False,False
1291,1291,-1.4272480010986328,Q7388648,False,False
1470,1470,-1.4287405014038086,Q959968,False,False
275,275,-1.4292391538619995,Q115215420,False,False
1032,1032,-1.4298652410507202,Q467731,False,False
675,675,-1.431758999824524,Q2035437,False,False
1411,1411,-1.4325610399246216,Q85810444,False,False
274,274,-1.4334765672683716,Q1152135,False,False
1456,1456,-1.4346833229064941,Q93312,False,False
747,747,-1.4383745193481445,Q22673982,False,False
650,650,-1.4396826028823853,Q194152,False,False
559,559,-1.4415061473846436,Q177929,False,False
293,293,-1.4438307285308838,Q116777014,False,False
846,846,-1.4449065923690796,Q28470421,False,False
443,443,-1.4471923112869263,Q141488,False,False
919,919,-1.448850154876709,Q334384,False,False
857,857,-1.456395149230957,Q28865,False,False
867,867,-1.457838773727417,Q2914952,False,False
1047,1047,-1.4579627513885498,Q4778968,False,False
213,213,-1.4616068601608276,Q11012,False,False
700,700,-1.4676439762115479,Q2089905,False,False
1287,1287,-1.4687108993530273,Q735441,False,False
688,688,-1.469819188117981,Q207434,False,False
1095,1095,-1.4699742794036865,Q5297,False,False
771,771,-1.4717328548431396,Q23793561,False,False
832,832,-1.4719293117523193,Q27948,False,False
1051,1051,-1.476566195487976,Q4798119,False,False
84,84,-1.4822765588760376,Q104659521,False,False
494,494,-1.4861246347427368,Q1635410,False,False
519,519,-1.4889819622039795,Q170978,False,False
1071,1071,-1.490285873413086,Q50423863,False,False
