,tail_id,score,tail_label,in_validation,in_testing
798,798,-0.31418871879577637,Q2539,False,False
1340,1340,-0.4038768708705902,Q80006,False,False
1386,1386,-0.419120728969574,Q8366,False,False
1447,1447,-0.4915522336959839,Q9143,False,False
678,678,-0.49670645594596863,Q205084,False,False
540,540,-0.5021753311157227,Q175263,False,False
405,405,-0.5029966831207275,Q131476,False,False
1405,1405,-0.5101063847541809,Q8513,False,False
1232,1232,-0.5163934826850891,Q68,False,False
490,490,-0.5240042805671692,Q163310,False,False
979,979,-0.5253333449363708,Q395,False,False
546,546,-0.525822639465332,Q176452,False,False
1339,1339,-0.5264209508895874,Q79872,False,False
918,918,-0.542061984539032,Q333464,False,False
499,499,-0.5428460240364075,Q166142,False,False
444,444,-0.5539972186088562,Q141495,False,False
1421,1421,-0.5550978183746338,Q868299,False,False
343,343,-0.55960613489151,Q117801,False,False
1344,1344,-0.5628293752670288,Q8078,False,False
1292,1292,-0.5711395144462585,Q7397,False,False
857,857,-0.5778667330741882,Q28865,False,False
498,498,-0.5894609689712524,Q165436,False,False
983,983,-0.5898030400276184,Q3968,False,False
1347,1347,-0.591119110584259,Q80993,False,False
1000,1000,-0.5952315926551819,Q42848,False,False
855,855,-0.5973172783851624,Q2878974,False,False
399,399,-0.5986822247505188,Q1301371,False,False
562,562,-0.6017177700996399,Q179310,False,False
232,232,-0.6064949035644531,Q11205,False,False
349,349,-0.6081181764602661,Q11862829,False,False
1138,1138,-0.6092203855514526,Q5862903,False,False
636,636,-0.6094024777412415,Q192776,False,False
78,78,-0.6101862788200378,Q1034415,False,False
944,944,-0.6163296103477478,Q3510521,False,False
1324,1324,-0.6167377233505249,Q76592,False,False
582,582,-0.6213955283164978,Q184754,False,False
372,372,-0.6233379244804382,Q121416,False,False
1461,1461,-0.6253040432929993,Q9492,False,False
1365,1365,-0.6323999166488647,Q82571,False,False
380,380,-0.6357885599136353,Q12525525,False,False
1065,1065,-0.6403318047523499,Q494756,False,False
1457,1457,-0.6406797170639038,Q938438,False,False
1317,1317,-0.6447970867156982,Q7600677,False,False
1013,1013,-0.6462944149971008,Q44337,False,False
236,236,-0.6500882506370544,Q11216,False,False
624,624,-0.6507242918014526,Q190087,False,False
