,tail_id,score,tail_label,in_validation,in_testing
798,798,-0.23633821308612823,Q2539,False,False
707,707,-0.25454431772232056,Q21198,False,False
1232,1232,-0.2876303195953369,Q68,False,False
290,290,-0.3137988746166229,Q11660,True,False
405,405,-0.3214152753353119,Q131476,False,False
1340,1340,-0.3264906108379364,Q80006,False,False
1405,1405,-0.36172401905059814,Q8513,False,False
678,678,-0.3667794167995453,Q205084,False,False
1447,1447,-0.3671215772628784,Q9143,False,False
1317,1317,-0.37378981709480286,Q7600677,False,False
372,372,-0.37426793575286865,Q121416,False,False
1386,1386,-0.3747362792491913,Q8366,False,False
918,918,-0.3771694004535675,Q333464,False,False
232,232,-0.3785884976387024,Q11205,False,False
1461,1461,-0.3800578713417053,Q9492,False,False
444,444,-0.38258618116378784,Q141495,False,False
540,540,-0.386064738035202,Q175263,False,False
1347,1347,-0.39043521881103516,Q80993,False,False
498,498,-0.39241233468055725,Q165436,False,False
1000,1000,-0.39357468485832214,Q42848,False,False
1138,1138,-0.39428314566612244,Q5862903,False,False
624,624,-0.3980542719364166,Q190087,False,False
979,979,-0.3985777795314789,Q395,False,True
343,343,-0.4058995544910431,Q117801,False,False
464,464,-0.4168999493122101,Q149972,False,False
562,562,-0.4182645380496979,Q179310,False,False
546,546,-0.4199204444885254,Q176452,False,False
236,236,-0.42018359899520874,Q11216,False,False
1339,1339,-0.4213097393512726,Q79872,False,False
952,952,-0.4213799238204956,Q363874,False,False
983,983,-0.42165565490722656,Q3968,False,False
1324,1324,-0.42270347476005554,Q76592,False,False
855,855,-0.4245447814464569,Q2878974,False,False
1003,1003,-0.4285952150821686,Q43260,False,False
1428,1428,-0.4326769709587097,Q877977,False,False
78,78,-0.43270280957221985,Q1034415,False,False
1065,1065,-0.43388131260871887,Q494756,False,False
919,919,-0.4346673786640167,Q334384,False,False
547,547,-0.43592849373817444,Q176623,False,False
399,399,-0.43630650639533997,Q1301371,False,False
1344,1344,-0.43705710768699646,Q8078,False,False
716,716,-0.4378860890865326,Q214526,False,False
1041,1041,-0.43984276056289673,Q47506,False,False
379,379,-0.4416339695453644,Q12503,False,False
1013,1013,-0.4417443871498108,Q44337,False,False
1292,1292,-0.44303885102272034,Q7397,False,False
1042,1042,-0.44752728939056396,Q47607,False,False
490,490,-0.44755062460899353,Q163310,False,False
380,380,-0.44819316267967224,Q12525525,False,False
791,791,-0.4487210512161255,Q251,False,False
1365,1365,-0.44946110248565674,Q82571,False,False
1360,1360,-0.45046675205230713,Q818888,False,False
1394,1394,-0.45069512724876404,Q844718,False,False
560,560,-0.4513598084449768,Q178377,False,False
1383,1383,-0.4539865553379059,Q833585,False,False
1421,1421,-0.4574744999408722,Q868299,False,False
723,723,-0.45832687616348267,Q216601,False,False
965,965,-0.4597610831260681,Q378859,False,False
927,927,-0.46042290329933167,Q33742,False,False
1446,1446,-0.46186313033103943,Q9135,False,False
1378,1378,-0.46338412165641785,Q830687,False,False
519,519,-0.46628081798553467,Q170978,False,False
1056,1056,-0.46651938557624817,Q486902,False,False
667,667,-0.4680793285369873,Q200125,False,False
