,tail_id,score,tail_label,in_validation,in_testing
798,798,-0.40558671951293945,Q2539,False,False
889,889,-0.4376085102558136,Q30642,False,False
290,290,-0.44165828824043274,Q11660,False,False
707,707,-0.45409825444221497,Q21198,False,False
678,678,-0.4708000719547272,Q205084,False,False
1405,1405,-0.48107844591140747,Q8513,False,False
540,540,-0.48290643095970154,Q175263,False,False
405,405,-0.4927818179130554,Q131476,False,False
1447,1447,-0.4954962134361267,Q9143,False,False
1340,1340,-0.5017415285110474,Q80006,False,False
236,236,-0.5212079286575317,Q11216,False,False
761,761,-0.5318772792816162,Q232661,False,False
343,343,-0.5345569252967834,Q117801,False,False
568,568,-0.5359751582145691,Q180634,False,False
919,919,-0.537144660949707,Q334384,False,False
857,857,-0.5390968918800354,Q28865,False,False
624,624,-0.5403631925582886,Q190087,False,False
1339,1339,-0.5408691763877869,Q79872,False,False
1347,1347,-0.5422192215919495,Q80993,False,False
1446,1446,-0.5422940850257874,Q9135,False,False
274,274,-0.5447783470153809,Q1152135,False,False
1461,1461,-0.545392632484436,Q9492,False,False
1386,1386,-0.5524824857711792,Q8366,False,False
641,641,-0.5532633066177368,Q193076,False,False
1232,1232,-0.5536121129989624,Q68,False,False
444,444,-0.5553752183914185,Q141495,False,False
938,938,-0.5585268139839172,Q3435924,False,False
582,582,-0.5587236285209656,Q184754,False,False
1425,1425,-0.5616404414176941,Q874709,False,False
1041,1041,-0.5619045495986938,Q47506,False,False
499,499,-0.5632979869842529,Q166142,False,False
581,581,-0.5637537240982056,Q184609,False,False
546,546,-0.5638411641120911,Q176452,False,False
1360,1360,-0.5660601854324341,Q818888,False,False
918,918,-0.5668083429336548,Q333464,False,False
1378,1378,-0.5709792971611023,Q830687,False,False
1317,1317,-0.5718474984169006,Q7600677,False,False
634,634,-0.5725153088569641,Q192588,False,False
549,549,-0.5728507041931152,Q176645,False,False
944,944,-0.5728839635848999,Q3510521,False,False
1365,1365,-0.5736002326011658,Q82571,False,False
1428,1428,-0.574786365032196,Q877977,False,False
583,583,-0.574853241443634,Q184793,False,False
983,983,-0.5776455998420715,Q3968,False,False
855,855,-0.5793172121047974,Q2878974,False,False
1388,1388,-0.5796158313751221,Q839721,False,False
1000,1000,-0.5801159739494324,Q42848,False,False
636,636,-0.5802834033966064,Q192776,False,False
393,393,-0.5817862749099731,Q128392,False,False
490,490,-0.5828446745872498,Q163310,False,False
924,924,-0.5896680355072021,Q336,False,False
1430,1430,-0.5945606827735901,Q8789,False,False
769,769,-0.5946700572967529,Q2374463,False,False
547,547,-0.5985111594200134,Q176623,False,False
791,791,-0.6005632877349854,Q251,False,False
1292,1292,-0.6038225889205933,Q7397,False,False
1457,1457,-0.60444176197052,Q938438,False,False
714,714,-0.6045340299606323,Q21447895,False,False
394,394,-0.6049739718437195,Q128570,False,False
909,909,-0.6100922226905823,Q327069,False,False
806,806,-0.6110761165618896,Q264164,False,False
604,604,-0.6111581921577454,Q188267,False,False
1193,1193,-0.6113530397415161,Q638608,False,False
498,498,-0.6129721999168396,Q165436,False,False
1138,1138,-0.6130926012992859,Q5862903,False,False
372,372,-0.613843560218811,Q121416,False,False
78,78,-0.6142027974128723,Q1034415,False,False
466,466,-0.6156532764434814,Q1503724,False,False
979,979,-0.6156997084617615,Q395,False,False
1042,1042,-0.6175771951675415,Q47607,False,False
1324,1324,-0.6175845265388489,Q76592,False,False
667,667,-0.618130087852478,Q200125,False,False
562,562,-0.6188470721244812,Q179310,False,False
1057,1057,-0.6188583374023438,Q48703087,False,False
349,349,-0.6205331683158875,Q11862829,False,False
533,533,-0.6209107041358948,Q173212,False,False
1383,1383,-0.621711015701294,Q833585,False,False
519,519,-0.6221746802330017,Q170978,False,False
969,969,-0.622204065322876,Q380679,False,False
275,275,-0.624572217464447,Q115215420,False,False
1337,1337,-0.6250022053718567,Q79798,False,False
478,478,-0.6257966160774231,Q15777,False,False
530,530,-0.6261894106864929,Q172491,False,False
716,716,-0.626388430595398,Q214526,False,False
1392,1392,-0.6270276308059692,Q844240,False,False
1421,1421,-0.6283418536186218,Q868299,False,False
1013,1013,-0.6312816143035889,Q44337,False,False
1344,1344,-0.6326749920845032,Q8078,False,False
464,464,-0.6327390074729919,Q149972,False,False
86,86,-0.6336336731910706,Q1047113,False,False
379,379,-0.6342599391937256,Q12503,False,False
1151,1151,-0.6344528794288635,Q60740481,False,False
952,952,-0.6354101896286011,Q363874,False,False
977,977,-0.637631356716156,Q388,False,False
685,685,-0.6389105916023254,Q206904,False,False
640,640,-0.6394488215446472,Q193040,False,False
1373,1373,-0.6402859687805176,Q827335,False,False
380,380,-0.6404889225959778,Q12525525,False,False
748,748,-0.6405152678489685,Q2267705,False,False
399,399,-0.6406129002571106,Q1301371,False,False
1005,1005,-0.6408824920654297,Q4343952,False,False
605,605,-0.6417747139930725,Q188522,False,False
1115,1115,-0.643459677696228,Q554950,False,False
695,695,-0.6439059972763062,Q208163,False,False
1307,1307,-0.645476222038269,Q752532,False,False
1412,1412,-0.6462986469268799,Q858810,False,False
1091,1091,-0.6472019553184509,Q5282087,False,False
867,867,-0.6476486921310425,Q2914952,False,False
232,232,-0.6493235230445862,Q11205,False,False
1117,1117,-0.6504375338554382,Q55624999,False,False
1287,1287,-0.6504974961280823,Q735441,False,False
688,688,-0.6512183547019958,Q207434,False,False
586,586,-0.6516022086143494,Q185612,False,False
1396,1396,-0.6520727276802063,Q845566,False,False
819,819,-0.6529279947280884,Q271680,False,False
1389,1389,-0.6534517407417297,Q840540,False,False
1065,1065,-0.6541481614112854,Q494756,False,False
560,560,-0.6544238328933716,Q178377,False,False
578,578,-0.6547662615776062,Q18395344,False,False
1107,1107,-0.6549652814865112,Q54277,False,False
1272,1272,-0.6571280360221863,Q723897,False,False
264,264,-0.6591469645500183,Q1141518,False,False
564,564,-0.6593353748321533,Q179976,False,False
590,590,-0.6598026156425476,Q186152,False,False
619,619,-0.6602029800415039,Q189436,False,False
750,750,-0.6602122187614441,Q2271421,False,False
877,877,-0.6609053015708923,Q302088,False,False
620,620,-0.6612604856491089,Q189439,False,False
1136,1136,-0.6624407768249512,Q583461,False,False
723,723,-0.663034200668335,Q216601,False,False
72,72,-0.6635409593582153,Q1026367,False,False
276,276,-0.6636520028114319,Q1152399,False,False
1097,1097,-0.6655833721160889,Q5300,False,False
1394,1394,-0.665905773639679,Q844718,False,False
668,668,-0.6663165092468262,Q2005,False,False
661,661,-0.6666111946105957,Q197536,False,False
622,622,-0.6670373678207397,Q189900,False,False
575,575,-0.6671309471130371,Q183197,False,False
1023,1023,-0.6673800945281982,Q456632,False,False
536,536,-0.6681295037269592,Q1744628,False,False
829,829,-0.6693227291107178,Q275603,False,False
1149,1149,-0.6704171299934387,Q6027324,False,False
197,197,-0.6715201139450073,Q1078276,False,False
1322,1322,-0.6718741059303284,Q764810,False,False
443,443,-0.6720503568649292,Q141488,False,False
1295,1295,-0.6725393533706665,Q741490,False,False
971,971,-0.6730952858924866,Q381060,False,False
832,832,-0.6738576889038086,Q27948,False,False
281,281,-0.6744425296783447,Q115564437,False,False
927,927,-0.6744830012321472,Q33742,False,False
965,965,-0.6751394271850586,Q378859,False,False
378,378,-0.6754751205444336,Q12483,False,False
293,293,-0.6757569313049316,Q116777014,False,False
77,77,-0.6758612990379333,Q10336440,False,False
1398,1398,-0.6759852766990662,Q846636,False,False
1116,1116,-0.6789501905441284,Q555032,False,False
1169,1169,-0.679274320602417,Q621751,False,False
1170,1170,-0.6793118119239807,Q622825,False,False
524,524,-0.679418683052063,Q17146476,False,False
1051,1051,-0.679627537727356,Q4798119,False,False
532,532,-0.6799930334091187,Q173156,False,False
1071,1071,-0.6803010702133179,Q50423863,False,False
968,968,-0.6803750395774841,Q380172,False,False
650,650,-0.6812711954116821,Q194152,False,False
1056,1056,-0.681817352771759,Q486902,False,False
1016,1016,-0.6820307374000549,Q4479242,False,False
84,84,-0.6826454997062683,Q104659521,False,False
1310,1310,-0.6833205819129944,Q755662,False,False
1332,1332,-0.6837669014930725,Q782543,False,False
1274,1274,-0.6840566992759705,Q724168,False,False
700,700,-0.6842573285102844,Q2089905,False,False
228,228,-0.6844611763954163,Q1116876,False,False
454,454,-0.6849786043167114,Q14579,False,False
958,958,-0.6853289008140564,Q374040,False,False
1223,1223,-0.6859744787216187,Q66747126,False,False
960,960,-0.6874215006828308,Q37437,False,False
1255,1255,-0.6876185536384583,Q7126699,False,False
1346,1346,-0.6892162561416626,Q8087,False,False
673,673,-0.6893720626831055,Q202843,False,False
874,874,-0.6896382570266724,Q2974105,False,False
261,261,-0.6896847486495972,Q11368,False,False
1028,1028,-0.6922253966331482,Q465274,False,False
554,554,-0.6931949853897095,Q177005,False,False
776,776,-0.6932092308998108,Q2407,False,False
1384,1384,-0.6941775679588318,Q835922,False,False
1239,1239,-0.69455486536026,Q7003418,False,False
955,955,-0.6955836415290833,Q369472,False,False
741,741,-0.6970952749252319,Q223335,False,False
821,821,-0.6982443928718567,Q272404,False,False
1219,1219,-0.6983655095100403,Q6653802,False,False
381,381,-0.6990246176719666,Q1254373,False,False
