,tail_id,score,tail_label,in_validation,in_testing
1029,1029,-0.2721554636955261,Q1200988,False,False
3175,3175,-0.27224236726760864,Q5297,False,False
2312,2312,-0.273242324590683,Q262238,False,False
3996,3996,-0.2740492820739746,Q7850,False,False
2822,2822,-0.2758268415927887,Q4037547,False,False
3483,3483,-0.2765008211135864,Q623818,False,False
4287,4287,-0.27741625905036926,Q8759153,False,False
2034,2034,-0.2777543365955353,Q212569,False,False
3350,3350,-0.2778802216053009,Q597330,False,False
373,373,-0.2779383361339569,Q108673765,False,False
2492,2492,-0.27799150347709656,Q29028649,False,False
2622,2622,-0.27803295850753784,Q3246940,False,False
4175,4175,-0.27840229868888855,Q840543,False,False
3444,3444,-0.2784227728843689,Q613299,False,False
504,504,-0.2786157727241516,Q112578326,False,False
2398,2398,-0.27882131934165955,Q28058114,False,False
3794,3794,-0.27895238995552063,Q723897,False,False
403,403,-0.2789927124977112,Q110240047,False,False
1759,1759,-0.2791690528392792,Q188610,False,False
140,140,-0.27929866313934326,Q10394575,False,False
955,955,-0.27936044335365295,Q1172264,False,False
2352,2352,-0.2796677052974701,Q27067613,False,False
547,547,-0.27982640266418457,Q112578430,False,False
3781,3781,-0.28079378604888916,Q7216541,False,False
3646,3646,-0.280841588973999,Q6709107,False,False
2303,2303,-0.2810743451118469,Q2593067,False,False
3815,3815,-0.2810845673084259,Q7279338,False,False
1534,1534,-0.2811830937862396,Q17067559,False,False
313,313,-0.28142210841178894,Q107381826,False,False
3335,3335,-0.28142815828323364,Q59,False,False
2552,2552,-0.28175777196884155,Q30137500,False,False
3868,3868,-0.28178176283836365,Q744980,False,False
3179,3179,-0.28209012746810913,Q53086556,False,False
2031,2031,-0.28210458159446716,Q212108,False,False
2517,2517,-0.282304584980011,Q2925725,False,False
3760,3760,-0.282400518655777,Q719413,False,False
4541,4541,-0.2824999988079071,Q95959667,False,False
3982,3982,-0.28253796696662903,Q776479,False,False
2175,2175,-0.28257644176483154,Q234657,False,False
2594,2594,-0.2826465368270874,Q309901,False,False
2796,2796,-0.28269070386886597,Q39645,False,False
4472,4472,-0.2827145457267761,Q95953520,False,False
697,697,-0.28272122144699097,Q1153495,False,False
2578,2578,-0.28276896476745605,Q30642,False,False
61,61,-0.282780259847641,P407,False,False
3436,3436,-0.28279444575309753,Q610398,False,False
3434,3434,-0.2828429937362671,Q60864620,False,False
488,488,-0.2829348146915436,Q1123036,False,False
3223,3223,-0.28303056955337524,Q55121384,False,False
711,711,-0.2831548750400543,Q115570779,False,False
4698,4698,-0.2831772267818451,Q96277086,False,False
2342,2342,-0.2832666337490082,Q26854042,False,False
1409,1409,-0.2832965552806854,Q15971618,False,False
557,557,-0.28349876403808594,Q112578462,False,False
4361,4361,-0.28365349769592285,Q9056,False,False
1785,1785,-0.2836568057537079,Q189768,False,False
3158,3158,-0.2836611270904541,Q527464,False,False
2410,2410,-0.2836994230747223,Q28231474,False,False
38,38,-0.2839100658893585,P2910,False,False
994,994,-0.28400227427482605,Q1186723,False,False
4244,4244,-0.2840164005756378,Q85922388,False,False
2375,2375,-0.2841038405895233,Q274089,False,False
1500,1500,-0.2841354012489319,Q169019,False,False
55,55,-0.28413844108581543,P3755,False,False
1766,1766,-0.28422510623931885,Q188961,False,False
734,734,-0.28423866629600525,Q116505632,False,False
2326,2326,-0.2842542231082916,Q2659957,False,False
2585,2585,-0.28441566228866577,Q307677,False,False
2752,2752,-0.2844417095184326,Q380,False,False
1123,1123,-0.28453099727630615,Q1307327,False,False
4167,4167,-0.2845318019390106,Q838667,False,False
3213,3213,-0.2846721112728119,Q54820071,False,False
1672,1672,-0.28472697734832764,Q183197,False,False
1604,1604,-0.28475141525268555,Q17620247,False,False
1971,1971,-0.2849358916282654,Q207542,False,False
2418,2418,-0.2849552631378174,Q28374376,False,False
852,852,-0.2850273847579956,Q116963993,False,False
4118,4118,-0.2850898504257202,Q827335,False,False
1450,1450,-0.2851121127605438,Q164359,False,False
2965,2965,-0.2851385176181793,Q461183,False,False
1128,1128,-0.2851424813270569,Q131222,False,False
3821,3821,-0.285171240568161,Q730573,False,False
