,tail_id,score,tail_label,in_validation,in_testing
399,399,292.39337158203125,Q1301371,False,False
919,919,92.28933715820312,Q334384,False,False
481,481,92.03923034667969,Q15836568,False,False
1093,1093,83.81950378417969,Q5293,False,False
140,140,79.39276123046875,Q105850512,False,False
685,685,79.15653991699219,Q206904,False,False
220,220,78.79867553710938,Q110509808,False,False
287,287,78.1440658569336,Q1164699,False,False
461,461,76.76826477050781,Q1474542,False,False
1333,1333,75.46737670898438,Q7832483,False,False
1444,1444,75.19805908203125,Q908207,False,False
488,488,73.83983612060547,Q161733,False,False
1058,1058,73.4223861694336,Q489709,False,False
850,850,72.12366485595703,Q28714270,False,False
1012,1012,71.97138977050781,Q4417999,False,False
927,927,71.01119995117188,Q33742,False,False
452,452,70.23562622070312,Q1455952,False,False
1118,1118,70.19277954101562,Q55680343,False,False
580,580,69.90074920654297,Q184316,False,False
631,631,69.50971221923828,Q192161,False,False
1482,1482,68.83993530273438,Q98363379,False,False
849,849,68.41697692871094,Q28643,False,False
629,629,66.91153717041016,Q191026,False,False
1441,1441,66.85782623291016,Q899523,False,False
1278,1278,66.83702087402344,Q7263850,False,False
784,784,66.67781066894531,Q246064,False,False
127,127,65.51859283447266,Q105849921,False,False
500,500,65.07029724121094,Q1662562,False,False
658,658,64.97554016113281,Q19636176,False,False
713,713,64.56719970703125,Q2144513,False,False
1428,1428,64.34310913085938,Q877977,False,False
1180,1180,63.18413162231445,Q629206,False,False
1162,1162,62.977054595947266,Q619942,False,False
622,622,62.12226104736328,Q189900,False,False
1099,1099,61.96589279174805,Q534112,False,False
957,957,61.71223449707031,Q373045,False,False
144,144,61.70205307006836,Q105850628,False,False
591,591,61.559661865234375,Q186290,False,False
817,817,60.7982292175293,Q2713292,False,False
988,988,60.49620056152344,Q403574,False,False
741,741,60.46345520019531,Q223335,False,False
890,890,60.395347595214844,Q30671979,False,False
103,103,60.38596725463867,Q1053999,False,False
804,804,60.15923309326172,Q2613697,False,False
185,185,60.15046691894531,Q107381449,False,False
1454,1454,58.847618103027344,Q926821,False,False
182,182,58.71749496459961,Q107381442,False,False
528,528,58.5890007019043,Q17176533,False,False
36,36,58.541988372802734,P3752,False,False
1418,1418,58.38645935058594,Q8647009,False,False
839,839,58.281517028808594,Q282453,False,False
501,501,58.03235626220703,Q1668024,False,False
1409,1409,57.89759826660156,Q857102,False,False
1366,1366,57.34489440917969,Q8257707,False,False
24,24,57.34063720703125,P2749,False,False
331,331,57.340518951416016,Q116964946,False,False
505,505,57.142433166503906,Q1684188,False,False
123,123,57.03581619262695,Q105849889,False,False
569,569,57.021236419677734,Q181156,False,False
1241,1241,56.803375244140625,Q7005249,False,False
953,953,56.64474868774414,Q364,False,False
808,808,56.568504333496094,Q2642722,False,False
1375,1375,56.4683837890625,Q829546,False,False
1233,1233,56.07384490966797,Q682496,False,False
41,41,55.628700256347656,P3757,False,False
938,938,55.53679275512695,Q3435924,False,False
1303,1303,55.50442886352539,Q7485141,False,False
30,30,55.32965850830078,P306,False,False
968,968,55.20094680786133,Q380172,False,False
1036,1036,55.0869140625,Q47014659,False,False
1453,1453,55.067787170410156,Q92622,False,False
717,717,54.97319412231445,Q215206,False,False
1190,1190,54.911991119384766,Q635346,False,False
364,364,54.697288513183594,Q12017866,False,False
864,864,54.665916442871094,Q2904257,False,False
1289,1289,54.516632080078125,Q7369420,False,False
149,149,54.345863342285156,Q105864297,False,False
78,78,54.10025405883789,Q1034415,False,False
559,559,53.939720153808594,Q177929,False,False
1262,1262,53.8973274230957,Q7215292,False,False
22,22,53.81742477416992,P2184,False,False
1307,1307,53.66584014892578,Q752532,False,False
194,194,53.51164245605469,Q107675654,False,False
17,17,53.44808578491211,P178,False,False
662,662,53.34312057495117,Q1981968,False,False
790,790,53.267539978027344,Q2493,False,False
1288,1288,53.192588806152344,Q736866,False,False
1216,1216,52.876258850097656,Q65938634,False,False
917,917,52.624629974365234,Q3331475,False,False
513,513,52.34729766845703,Q170519,False,False
1026,1026,52.34553527832031,Q461183,False,False
493,493,52.18940734863281,Q163468,False,False
1471,1471,51.945343017578125,Q962139,False,False
360,360,51.901973724365234,Q119953339,False,False
294,294,51.805335998535156,Q116793893,False,False
1261,1261,51.52158737182617,Q7214525,False,False
409,409,51.333045959472656,Q1325106,False,False
527,527,51.32007598876953,Q17155144,False,False
801,801,51.312896728515625,Q2555318,False,False
1061,1061,50.9341926574707,Q49415204,False,False
370,370,50.61900329589844,Q121182,False,False
304,304,50.535186767578125,Q116952787,False,False
608,608,50.234779357910156,Q188610,False,False
852,852,50.006263732910156,Q28746410,False,False
697,697,49.71759033203125,Q20856875,False,False
89,89,49.717018127441406,Q104851,False,False
1035,1035,49.639854431152344,Q46993707,False,False
609,609,49.63153076171875,Q188619,False,False
1229,1229,49.39617919921875,Q676202,False,False
1050,1050,49.32839584350586,Q4795882,False,False
598,598,49.303466796875,Q187560,False,False
1433,1433,49.17279052734375,Q8811,False,False
198,198,48.95703125,Q107986267,False,False
37,37,48.812965393066406,P3753,False,False
828,828,48.68640899658203,Q275596,False,False
400,400,48.66310119628906,Q1304193,False,False
1087,1087,48.61701202392578,Q5227391,False,False
380,380,48.430274963378906,Q12525525,False,False
216,216,48.40959548950195,Q11023,False,False
456,456,48.12376403808594,Q14647,False,False
1329,1329,48.060523986816406,Q7724379,False,False
389,389,48.05416488647461,Q12772052,False,False
999,999,47.98051071166992,Q42515,False,False
1201,1201,47.75000762939453,Q64830866,False,False
1341,1341,47.737396240234375,Q80091,False,False
249,249,47.67778778076172,Q1129466,False,False
172,172,47.60649490356445,Q10729459,False,False
1063,1063,47.507564544677734,Q49416323,False,False
519,519,47.471858978271484,Q170978,False,False
1044,1044,47.355445861816406,Q477202,False,False
602,602,47.25972366333008,Q187906,False,False
1429,1429,47.050270080566406,Q878697,False,False
699,699,47.00846862792969,Q2089134,False,False
1358,1358,46.95586013793945,Q816826,False,False
343,343,46.808074951171875,Q117801,False,False
181,181,46.75263977050781,Q107381441,False,False
878,878,46.44371795654297,Q30232,False,False
578,578,46.41654586791992,Q18395344,False,False
1046,1046,46.139427185058594,Q47755251,False,False
646,646,46.12782287597656,Q1936256,False,False
1440,1440,46.06459426879883,Q897511,False,False
1100,1100,45.93024444580078,Q53755957,False,False
1438,1438,45.64402770996094,Q891723,False,False
498,498,45.59764099121094,Q165436,False,False
818,818,45.57059097290039,Q2715623,False,False
1122,1122,45.54694747924805,Q56062429,False,False
1205,1205,45.533023834228516,Q6501338,False,False
250,250,45.508384704589844,Q1130645,False,False
124,124,45.320648193359375,Q105849892,False,False
341,341,44.95045471191406,Q117356127,False,False
670,670,44.83852767944336,Q20087905,False,False
912,912,44.64640426635742,Q32767144,False,False
939,939,44.484195709228516,Q3478658,False,False
1094,1094,44.42610168457031,Q52948,False,False
914,914,44.415916442871094,Q3297804,False,False
1186,1186,44.32206726074219,Q63087,False,False
1128,1128,44.26294708251953,Q568742,False,False
68,68,43.98088073730469,Q1004415,False,False
