,tail_id,score,tail_label,in_validation,in_testing
857,857,2.708932876586914,Q28865,False,False
1447,1447,2.637157917022705,Q9143,False,False
798,798,2.5817699432373047,Q2539,False,False
1386,1386,2.533249855041504,Q8366,False,False
1292,1292,2.404179573059082,Q7397,False,False
462,462,2.3557071685791016,Q1475717,False,False
524,524,2.264479875564575,Q17146476,False,False
624,624,2.248102903366089,Q190087,False,False
866,866,2.2240395545959473,Q29120,False,False
1446,1446,2.1878902912139893,Q9135,False,False
1340,1340,2.1867246627807617,Q80006,False,False
1032,1032,2.146019458770752,Q467731,False,False
399,399,2.138974905014038,Q1301371,False,False
889,889,2.1115362644195557,Q30642,False,False
589,589,2.0926122665405273,Q186055,False,False
776,776,2.0315046310424805,Q2407,False,False
685,685,2.026747465133667,Q206904,False,False
1347,1347,1.992211103439331,Q80993,False,False
540,540,1.9865225553512573,Q175263,False,False
908,908,1.9490653276443481,Q3257930,False,False
1443,1443,1.946472406387329,Q907375,False,False
568,568,1.936670184135437,Q180634,False,False
444,444,1.925544261932373,Q141495,False,False
590,590,1.8974106311798096,Q186152,False,False
918,918,1.8934314250946045,Q333464,False,False
290,290,1.879770040512085,Q11660,False,False
1326,1326,1.8584778308868408,Q7673435,False,False
979,979,1.8465094566345215,Q395,False,False
281,281,1.837772011756897,Q115564437,False,False
1339,1339,1.8255255222320557,Q79872,False,False
1405,1405,1.805325984954834,Q8513,False,False
748,748,1.7748034000396729,Q2267705,False,False
832,832,1.7716861963272095,Q27948,False,False
1287,1287,1.7578233480453491,Q735441,False,False
761,761,1.754525899887085,Q232661,False,False
678,678,1.7443846464157104,Q205084,False,False
1016,1016,1.7360364198684692,Q4479242,False,False
499,499,1.7346222400665283,Q166142,False,False
791,791,1.7344050407409668,Q251,False,False
1206,1206,1.732082486152649,Q6504956,False,False
72,72,1.7305749654769897,Q1026367,False,False
1071,1071,1.7291618585586548,Q50423863,False,False
276,276,1.7266637086868286,Q1152399,False,False
1425,1425,1.7117791175842285,Q874709,False,False
1444,1444,1.711442232131958,Q908207,False,False
405,405,1.70724356174469,Q131476,False,False
605,605,1.69638991355896,Q188522,False,False
870,870,1.695431113243103,Q29169143,False,False
1412,1412,1.6827480792999268,Q858810,False,False
977,977,1.6820279359817505,Q388,False,False
1461,1461,1.6781024932861328,Q9492,False,False
1457,1457,1.6693360805511475,Q938438,False,False
1379,1379,1.6671802997589111,Q831366,False,False
1454,1454,1.6617830991744995,Q926821,False,False
767,767,1.6607210636138916,Q23542287,False,False
1138,1138,1.658614993095398,Q5862903,False,False
919,919,1.6575918197631836,Q334384,False,False
478,478,1.6551268100738525,Q15777,False,False
1476,1476,1.6545435190200806,Q965769,False,False
494,494,1.654046654701233,Q1635410,False,False
86,86,1.6530357599258423,Q1047113,False,False
236,236,1.6386082172393799,Q11216,False,False
586,586,1.6334742307662964,Q185612,False,False
555,555,1.6279070377349854,Q1770325,False,False
76,76,1.5967239141464233,Q10322548,False,False
1087,1087,1.5847357511520386,Q5227391,False,False
883,883,1.576331377029419,Q3050461,False,False
530,530,1.5738338232040405,Q172491,False,False
688,688,1.5678339004516602,Q207434,False,False
1411,1411,1.567748785018921,Q85810444,False,False
728,728,1.5650715827941895,Q21743174,False,False
770,770,1.5509284734725952,Q23766486,False,False
650,650,1.5471343994140625,Q194152,False,False
939,939,1.545896053314209,Q3478658,False,False
1392,1392,1.5381202697753906,Q844240,False,False
905,905,1.5360218286514282,Q3240252,False,False
394,394,1.5329992771148682,Q128570,False,False
571,571,1.5276883840560913,Q18209310,False,False
149,149,1.5230919122695923,Q105864297,False,False
583,583,1.5144546031951904,Q184793,False,False
641,641,1.5117419958114624,Q193076,False,False
938,938,1.5102946758270264,Q3435924,False,False
1317,1317,1.5011460781097412,Q7600677,False,False
1117,1117,1.4969433546066284,Q55624999,False,False
232,232,1.496249794960022,Q11205,False,False
714,714,1.495190143585205,Q21447895,False,False
846,846,1.4941518306732178,Q28470421,False,False
805,805,1.4842267036437988,Q2631895,False,False
457,457,1.4677605628967285,Q14656,False,False
293,293,1.4669804573059082,Q116777014,False,False
1373,1373,1.4632697105407715,Q827335,False,False
631,631,1.4493571519851685,Q192161,False,False
410,410,1.4319684505462646,Q132874,False,False
1052,1052,1.431593894958496,Q483130,False,False
1360,1360,1.4284254312515259,Q818888,False,False
1029,1029,1.4282690286636353,Q466,False,False
790,790,1.4253244400024414,Q2493,False,False
694,694,1.4199059009552002,Q208042,False,False
1398,1398,1.4190773963928223,Q846636,False,False
1481,1481,1.4064605236053467,Q9820,False,False
89,89,1.4062777757644653,Q104851,False,False
927,927,1.4062389135360718,Q33742,False,False
379,379,1.3973133563995361,Q12503,False,False
1003,1003,1.3949631452560425,Q43260,False,False
490,490,1.3934731483459473,Q163310,False,False
792,792,1.3884073495864868,Q251212,False,False
1239,1239,1.388352870941162,Q7003418,False,False
969,969,1.3702040910720825,Q380679,False,False
968,968,1.3651299476623535,Q380172,False,False
496,496,1.3618855476379395,Q165194,False,False
498,498,1.3564651012420654,Q165436,False,False
434,434,1.3527743816375732,Q13785927,False,False
708,708,1.3505499362945557,Q212108,False,False
1018,1018,1.349776029586792,Q4495220,False,False
438,438,1.3472392559051514,Q1406,False,False
877,877,1.3408013582229614,Q302088,False,False
615,615,1.331524133682251,Q189210,False,False
992,992,1.3294755220413208,Q4118434,False,False
372,372,1.3253092765808105,Q121416,False,False
549,549,1.3252604007720947,Q176645,False,False
1149,1149,1.3152375221252441,Q6027324,False,False
1235,1235,1.3094478845596313,Q690265,False,False
1169,1169,1.3037140369415283,Q621751,False,False
1268,1268,1.3017942905426025,Q722192,False,False
1365,1365,1.2988218069076538,Q82571,False,False
1396,1396,1.2974046468734741,Q845566,False,False
812,812,1.292892336845398,Q268592,False,False
474,474,1.2794220447540283,Q15548076,False,False
536,536,1.2722373008728027,Q1744628,False,False
78,78,1.2692075967788696,Q1034415,False,False
274,274,1.2669951915740967,Q1152135,False,False
464,464,1.264573574066162,Q149972,False,False
1394,1394,1.26300048828125,Q844718,False,False
622,622,1.2591532468795776,Q189900,False,False
1199,1199,1.257786750793457,Q6465232,False,False
419,419,1.254597544670105,Q1343860,False,False
1051,1051,1.2471123933792114,Q4798119,False,False
1162,1162,1.2469011545181274,Q619942,False,False
1225,1225,1.246047019958496,Q671298,False,False
378,378,1.243831992149353,Q12483,False,False
90,90,1.2395256757736206,Q1048526,False,False
661,661,1.2381924390792847,Q197536,False,False
1148,1148,1.2306655645370483,Q60165325,False,False
1475,1475,1.2242224216461182,Q96482266,False,False
546,546,1.222804069519043,Q176452,False,False
634,634,1.2217533588409424,Q192588,False,False
983,983,1.2196388244628906,Q3968,False,False
1165,1165,1.2180333137512207,Q620615,False,False
849,849,1.2168700695037842,Q28643,False,False
483,483,1.2118875980377197,Q15855099,False,False
259,259,1.2074010372161865,Q113660857,False,False
547,547,1.2061986923217773,Q176623,False,False
333,333,1.2038944959640503,Q116964948,False,False
828,828,1.2018210887908936,Q275596,False,False
769,769,1.200357437133789,Q2374463,False,False
1041,1041,1.1972360610961914,Q47506,False,False
365,365,1.1945774555206299,Q120208,False,False
695,695,1.1867507696151733,Q208163,False,False
667,667,1.1696335077285767,Q200125,False,False
994,994,1.1692917346954346,Q4182287,False,False
721,721,1.1689796447753906,Q21652121,False,False
818,818,1.1637290716171265,Q2715623,False,False
267,267,1.1554110050201416,Q1143367,False,False
998,998,1.1541767120361328,Q42478,False,False
648,648,1.152971863746643,Q19399674,False,False
1193,1193,1.1494859457015991,Q638608,False,False
532,532,1.1439203023910522,Q173156,False,False
1004,1004,1.1390451192855835,Q43283,False,False
351,351,1.1371729373931885,Q1188504,False,False
1072,1072,1.1337465047836304,Q504353,False,False
867,867,1.1327483654022217,Q2914952,False,False
1431,1431,1.1310383081436157,Q879969,False,False
1438,1438,1.1241357326507568,Q891723,False,False
1208,1208,1.123523235321045,Q65066631,False,False
1344,1344,1.12052321434021,Q8078,False,False
