,tail_id,score,tail_label,in_validation,in_testing
1489,1489,118006512.0,Q997233,False,False
1488,1488,118006512.0,Q99513286,False,False
1487,1487,118006504.0,Q991202,False,False
1486,1486,118006504.0,Q989632,False,False
1485,1485,118006504.0,Q989016,False,False
1484,1484,118006504.0,Q98844843,False,False
1483,1483,118006504.0,Q9852,False,False
1482,1482,118006504.0,Q98363379,False,False
1481,1481,118006504.0,Q9820,False,False
1476,1476,118006496.0,Q965769,False,False
1472,1472,118006496.0,Q96253971,False,False
1473,1473,118006496.0,Q96273743,False,False
1474,1474,118006496.0,Q96369982,False,False
1475,1475,118006496.0,Q96482266,False,False
1480,1480,118006496.0,Q980509,False,False
1477,1477,118006496.0,Q97008347,False,False
1478,1478,118006496.0,Q97009416,False,False
1479,1479,118006496.0,Q975594,False,False
1467,1467,118006488.0,Q95726734,False,False
1465,1465,118006488.0,Q950981,False,False
1466,1466,118006488.0,Q95726727,False,False
1468,1468,118006488.0,Q95955024,False,False
1470,1470,118006488.0,Q959968,False,False
1471,1471,118006488.0,Q962139,False,False
1469,1469,118006488.0,Q95972795,False,False
1457,1457,118006480.0,Q938438,False,False
1460,1460,118006480.0,Q944,False,False
1456,1456,118006480.0,Q93312,False,False
1459,1459,118006480.0,Q9418,False,False
1458,1458,118006480.0,Q94,False,False
1461,1461,118006480.0,Q9492,False,False
1462,1462,118006480.0,Q95,False,False
1463,1463,118006480.0,Q95001953,False,False
1464,1464,118006480.0,Q950250,False,False
1455,1455,118006472.0,Q931461,False,False
1454,1454,118006472.0,Q926821,False,False
1453,1453,118006472.0,Q92622,False,False
1452,1452,118006472.0,Q92604,False,False
1451,1451,118006472.0,Q925667,False,False
1450,1450,118006472.0,Q9246857,False,False
1449,1449,118006472.0,Q919509,False,False
1441,1441,118006464.0,Q899523,False,False
1443,1443,118006464.0,Q907375,False,False
1440,1440,118006464.0,Q897511,False,False
1442,1442,118006464.0,Q9038,False,False
1444,1444,118006464.0,Q908207,False,False
1445,1445,118006464.0,Q910404,False,False
1446,1446,118006464.0,Q9135,False,False
1447,1447,118006464.0,Q9143,False,False
1448,1448,118006464.0,Q9149760,False,False
1439,1439,118006456.0,Q895726,False,False
1438,1438,118006456.0,Q891723,False,False
1437,1437,118006456.0,Q891055,False,False
1436,1436,118006456.0,Q89021580,False,False
1435,1435,118006456.0,Q8866889,False,False
1434,1434,118006456.0,Q8817189,False,False
1433,1433,118006456.0,Q8811,False,False
1428,1428,118006448.0,Q877977,False,False
1424,1424,118006448.0,Q8718628,False,False
1425,1425,118006448.0,Q874709,False,False
1426,1426,118006448.0,Q8747641,False,False
1427,1427,118006448.0,Q8759226,False,False
1432,1432,118006448.0,Q880371,False,False
1429,1429,118006448.0,Q878697,False,False
1430,1430,118006448.0,Q8789,False,False
1431,1431,118006448.0,Q879969,False,False
1419,1419,118006440.0,Q865760,False,False
1417,1417,118006440.0,Q860755,False,False
1418,1418,118006440.0,Q8647009,False,False
1421,1421,118006440.0,Q868299,False,False
1422,1422,118006440.0,Q87071489,False,False
1420,1420,118006440.0,Q8682340,False,False
1423,1423,118006440.0,Q870780,False,False
1412,1412,118006432.0,Q858810,False,False
1408,1408,118006432.0,Q856741,False,False
1409,1409,118006432.0,Q857102,False,False
1411,1411,118006432.0,Q85810444,False,False
1410,1410,118006432.0,Q858065,False,False
1413,1413,118006432.0,Q858851,False,False
1414,1414,118006432.0,Q85914626,False,False
1415,1415,118006432.0,Q8591663,False,False
1416,1416,118006432.0,Q860654,False,False
1407,1407,118006424.0,Q8548779,False,False
1406,1406,118006424.0,Q8527505,False,False
1405,1405,118006424.0,Q8513,False,False
1404,1404,118006424.0,Q850,False,False
1403,1403,118006424.0,Q8498946,False,False
1402,1402,118006424.0,Q849146,False,False
1401,1401,118006424.0,Q8482479,False,False
1393,1393,118006416.0,Q844565,False,False
1396,1396,118006416.0,Q845566,False,False
1392,1392,118006416.0,Q844240,False,False
1394,1394,118006416.0,Q844718,False,False
1395,1395,118006416.0,Q845118,False,False
1397,1397,118006416.0,Q845739,False,False
1398,1398,118006416.0,Q846636,False,False
1399,1399,118006416.0,Q8479131,False,False
1400,1400,118006416.0,Q848010,False,False
1391,1391,118006408.0,Q842433,False,False
1390,1390,118006408.0,Q8418499,False,False
1389,1389,118006408.0,Q840540,False,False
1388,1388,118006408.0,Q839721,False,False
1387,1387,118006408.0,Q8384546,False,False
1386,1386,118006408.0,Q8366,False,False
1385,1385,118006408.0,Q836575,False,False
1380,1380,118006400.0,Q831390,False,False
1376,1376,118006400.0,Q8299520,False,False
1377,1377,118006400.0,Q8300345,False,False
1378,1378,118006400.0,Q830687,False,False
1379,1379,118006400.0,Q831366,False,False
1384,1384,118006400.0,Q835922,False,False
1381,1381,118006400.0,Q831672,False,False
1382,1382,118006400.0,Q83303,False,False
1383,1383,118006400.0,Q833585,False,False
1372,1372,118006392.0,Q8272677,False,False
1369,1369,118006392.0,Q8267873,False,False
1370,1370,118006392.0,Q8271365,False,False
1371,1371,118006392.0,Q827246,False,False
1373,1373,118006392.0,Q827335,False,False
1375,1375,118006392.0,Q829546,False,False
1374,1374,118006392.0,Q8279954,False,False
1360,1360,118006384.0,Q818888,False,False
1364,1364,118006384.0,Q82550,False,False
1361,1361,118006384.0,Q82059,False,False
1363,1363,118006384.0,Q8226474,False,False
1362,1362,118006384.0,Q8210921,False,False
1365,1365,118006384.0,Q82571,False,False
1366,1366,118006384.0,Q8257707,False,False
1367,1367,118006384.0,Q82604,False,False
1368,1368,118006384.0,Q8264625,False,False
1359,1359,118006376.0,Q817862,False,False
1358,1358,118006376.0,Q816826,False,False
1357,1357,118006376.0,Q8162,False,False
1356,1356,118006376.0,Q815844,False,False
1355,1355,118006376.0,Q815297,False,False
1354,1354,118006376.0,Q8148,False,False
1353,1353,118006376.0,Q814447,False,False
1345,1345,118006368.0,Q8084959,False,False
1347,1347,118006368.0,Q80993,False,False
1344,1344,118006368.0,Q8078,False,False
1346,1346,118006368.0,Q8087,False,False
1348,1348,118006368.0,Q80998,False,False
1350,1350,118006368.0,Q812540,False,False
1351,1351,118006368.0,Q8134,False,False
1352,1352,118006368.0,Q81414,False,False
1349,1349,118006368.0,Q812534,False,False
1338,1338,118006360.0,Q7982,False,False
1343,1343,118006360.0,Q806737,False,False
1342,1342,118006360.0,Q80585,False,False
1341,1341,118006360.0,Q80091,False,False
1340,1340,118006360.0,Q80006,False,False
1339,1339,118006360.0,Q79872,False,False
1337,1337,118006360.0,Q79798,False,False
1332,1332,118006352.0,Q782543,False,False
1329,1329,118006352.0,Q7724379,False,False
1330,1330,118006352.0,Q773196,False,False
1331,1331,118006352.0,Q775159,False,False
1336,1336,118006352.0,Q796212,False,False
1333,1333,118006352.0,Q7832483,False,False
1334,1334,118006352.0,Q783866,False,False
1335,1335,118006352.0,Q7915770,False,False
1328,1328,118006352.0,Q7715973,False,False
1322,1322,118006344.0,Q764810,False,False
1324,1324,118006344.0,Q76592,False,False
1321,1321,118006344.0,Q7631151,False,False
1323,1323,118006344.0,Q76505,False,False
1326,1326,118006344.0,Q7673435,False,False
1325,1325,118006344.0,Q7663977,False,False
1327,1327,118006344.0,Q7705752,False,False
1316,1316,118006336.0,Q759899,False,False
1312,1312,118006336.0,Q757012,False,False
1314,1314,118006336.0,Q7595718,False,False
1315,1315,118006336.0,Q7595944,False,False
1313,1313,118006336.0,Q7574076,False,False
1317,1317,118006336.0,Q7600677,False,False
1318,1318,118006336.0,Q7603,False,False
1319,1319,118006336.0,Q7604,False,False
1320,1320,118006336.0,Q762268,False,False
1311,1311,118006328.0,Q755673,False,False
1310,1310,118006328.0,Q755662,False,False
1309,1309,118006328.0,Q7553,False,False
1308,1308,118006328.0,Q752718,False,False
1307,1307,118006328.0,Q752532,False,False
1306,1306,118006328.0,Q751443,False,False
1305,1305,118006328.0,Q751436,False,False
1297,1297,118006320.0,Q74304,False,False
1298,1298,118006320.0,Q7451136,False,False
1300,1300,118006320.0,Q745243,False,False
1296,1296,118006320.0,Q7427918,False,False
1299,1299,118006320.0,Q7451191,False,False
1303,1303,118006320.0,Q7485141,False,False
1301,1301,118006320.0,Q746242,False,False
1302,1302,118006320.0,Q7480464,False,False
1304,1304,118006320.0,Q75,False,False
1295,1295,118006312.0,Q741490,False,False
1294,1294,118006312.0,Q740970,False,False
1293,1293,118006312.0,Q740083,False,False
1292,1292,118006312.0,Q7397,False,False
1291,1291,118006312.0,Q7388648,False,False
1290,1290,118006312.0,Q738532,False,False
1289,1289,118006312.0,Q7369420,False,False
1284,1284,118006304.0,Q7320811,False,False
1280,1280,118006304.0,Q7285270,False,False
1281,1281,118006304.0,Q729271,False,False
1282,1282,118006304.0,Q730920,False,False
1283,1283,118006304.0,Q7310755,False,False
1288,1288,118006304.0,Q736866,False,False
1285,1285,118006304.0,Q732089,False,False
1286,1286,118006304.0,Q7344712,False,False
1287,1287,118006304.0,Q735441,False,False
1275,1275,118006296.0,Q7247798,False,False
1273,1273,118006296.0,Q72390208,False,False
1274,1274,118006296.0,Q724168,False,False
1276,1276,118006296.0,Q7247856,False,False
1278,1278,118006296.0,Q7263850,False,False
1279,1279,118006296.0,Q7279338,False,False
1277,1277,118006296.0,Q7258040,False,False
1265,1265,118006288.0,Q7216427,False,False
1268,1268,118006288.0,Q722192,False,False
1264,1264,118006288.0,Q7215421,False,False
1267,1267,118006288.0,Q7217021,False,False
1266,1266,118006288.0,Q7216428,False,False
1269,1269,118006288.0,Q722659,False,False
1270,1270,118006288.0,Q72287460,False,False
1271,1271,118006288.0,Q7233576,False,False
1272,1272,118006288.0,Q723897,False,False
1263,1263,118006280.0,Q7215409,False,False
1262,1262,118006280.0,Q7215292,False,False
1261,1261,118006280.0,Q7214525,False,False
1260,1260,118006280.0,Q7184903,False,False
1259,1259,118006280.0,Q7143512,False,False
1258,1258,118006280.0,Q7136128,False,False
1257,1257,118006280.0,Q7135231,False,False
1249,1249,118006272.0,Q7094097,False,False
1251,1251,118006272.0,Q710266,False,False
1248,1248,118006272.0,Q7035728,False,False
1250,1250,118006272.0,Q7102019,False,False
1252,1252,118006272.0,Q7112560,False,False
1254,1254,118006272.0,Q7112734,False,False
1255,1255,118006272.0,Q7126699,False,False
1256,1256,118006272.0,Q7126717,False,False
1253,1253,118006272.0,Q7112712,False,False
1242,1242,118006264.0,Q7012332,False,False
1247,1247,118006264.0,Q7035718,False,False
1246,1246,118006264.0,Q7032352,False,False
1245,1245,118006264.0,Q7015116,False,False
1244,1244,118006264.0,Q7013140,False,False
1243,1243,118006264.0,Q7012659,False,False
1241,1241,118006264.0,Q7005249,False,False
