,tail_id,score,tail_label,in_validation,in_testing
1225,1225,-59.03093719482422,Q671298,False,False
1386,1386,-60.84104537963867,Q8366,False,False
1228,1228,-60.9974250793457,Q6752025,False,False
1179,1179,-62.15803909301758,Q6284201,False,False
394,394,-62.787818908691406,Q128570,False,False
1486,1486,-62.978797912597656,Q989632,False,False
62,62,-63.031585693359375,P8770,False,False
1340,1340,-63.03426742553711,Q80006,False,False
1188,1188,-63.04042053222656,Q633894,False,False
832,832,-63.203495025634766,Q27948,False,False
387,387,-63.33580017089844,Q12715472,False,False
1454,1454,-63.58573913574219,Q926821,False,False
891,891,-64.37081909179688,Q30687244,False,False
1277,1277,-64.37976837158203,Q7258040,False,False
45,45,-64.41427612304688,P408,False,False
309,309,-64.5857162475586,Q116964918,False,False
377,377,-64.76994323730469,Q12482,False,False
371,371,-64.80091094970703,Q12139612,False,False
335,335,-64.83291625976562,Q11707952,False,False
96,96,-64.86701965332031,Q10513445,False,False
192,192,-65.39705657958984,Q1074173,False,False
1477,1477,-65.41232299804688,Q97008347,False,False
862,862,-65.42285919189453,Q29040034,False,False
40,40,-65.7907943725586,P3756,False,False
1060,1060,-65.8042984008789,Q49414097,False,False
1212,1212,-65.98062896728516,Q65560351,False,False
465,465,-65.98979949951172,Q1501882,False,False
1038,1038,-66.08001708984375,Q47165059,False,False
251,251,-66.10354614257812,Q113127963,False,False
98,98,-66.37808990478516,Q1052379,False,False
32,32,-66.44937133789062,P3442,False,False
813,813,-66.51188659667969,Q269415,False,False
364,364,-66.72407531738281,Q12017866,False,False
117,117,-66.85670471191406,Q105849721,False,False
266,266,-66.86363220214844,Q114323186,False,False
290,290,-66.97467041015625,Q11660,False,False
855,855,-67.07022857666016,Q2878974,False,False
1437,1437,-67.35111999511719,Q891055,False,False
1414,1414,-67.40904235839844,Q85914626,False,False
1370,1370,-67.49061584472656,Q8271365,False,False
743,743,-67.49809265136719,Q223655,False,False
682,682,-67.58793640136719,Q2061913,False,False
419,419,-67.63567352294922,Q1343860,False,False
523,523,-67.66185760498047,Q1713118,False,False
38,38,-67.70281982421875,P3754,False,False
1216,1216,-67.73660278320312,Q65938634,False,False
749,749,-67.81941223144531,Q2269096,False,False
1379,1379,-67.83361053466797,Q831366,False,False
383,383,-67.85431671142578,Q1268744,False,False
183,183,-67.8661880493164,Q107381443,False,False
1072,1072,-67.91211700439453,Q504353,False,False
555,555,-67.9614028930664,Q1770325,False,False
154,154,-67.99027252197266,Q105866403,False,False
589,589,-68.00556945800781,Q186055,False,False
365,365,-68.0078125,Q120208,False,False
1260,1260,-68.01201629638672,Q7184903,False,False
285,285,-68.0424575805664,Q1156793,False,False
4,4,-68.10552978515625,P11197,False,False
262,262,-68.25933837890625,Q1138496,False,False
1471,1471,-68.26183319091797,Q962139,False,False
288,288,-68.3330078125,Q116481801,False,False
1161,1161,-68.48428344726562,Q619798,False,False
128,128,-68.55767059326172,Q105849958,False,False
406,406,-68.58834838867188,Q13199995,False,False
606,606,-68.60971069335938,Q188524,False,False
915,915,-68.70964813232422,Q3306359,False,False
714,714,-68.74836730957031,Q21447895,False,False
852,852,-68.80192565917969,Q28746410,False,False
306,306,-68.84933471679688,Q116964913,False,False
920,920,-68.86506652832031,Q334661,False,False
986,986,-68.91726684570312,Q39999225,False,False
515,515,-68.92481231689453,Q170584,False,False
1242,1242,-68.95286560058594,Q7012332,False,False
877,877,-69.0655517578125,Q302088,False,False
1476,1476,-69.11308288574219,Q965769,False,False
574,574,-69.14888000488281,Q182933,False,False
681,681,-69.22183990478516,Q205961,False,False
114,114,-69.23595428466797,Q105849631,False,False
142,142,-69.24330139160156,Q105850519,False,False
121,121,-69.3393325805664,Q105849742,False,False
476,476,-69.36907196044922,Q15659621,False,False
1351,1351,-69.49300384521484,Q8134,False,False
1367,1367,-69.50990295410156,Q82604,False,False
468,468,-69.51608276367188,Q1513879,False,False
1450,1450,-69.64570617675781,Q9246857,False,False
321,321,-69.67931365966797,Q116964934,False,False
1389,1389,-69.77482604980469,Q840540,False,False
1436,1436,-69.77552795410156,Q89021580,False,False
932,932,-69.80864715576172,Q340169,False,False
943,943,-69.8435287475586,Q3509459,False,False
91,91,-69.84812927246094,Q1049183,False,False
1217,1217,-69.91412353515625,Q6600928,False,False
609,609,-69.94359588623047,Q188619,False,False
797,797,-69.96343994140625,Q25346349,False,False
263,263,-69.96359252929688,Q114023761,False,False
1408,1408,-69.9636459350586,Q856741,False,False
663,663,-70.01431274414062,Q19838870,False,False
241,241,-70.08280181884766,Q112661240,False,False
995,995,-70.13505554199219,Q41883552,False,False
930,930,-70.1429214477539,Q340,False,False
974,974,-70.1907958984375,Q386275,False,False
277,277,-70.23878479003906,Q115305900,False,False
446,446,-70.24253845214844,Q1418502,False,False
21,21,-70.38285064697266,P2078,False,False
59,59,-70.38643646240234,P8131,False,False
1438,1438,-70.40188598632812,Q891723,False,False
1033,1033,-70.41022491455078,Q4677469,False,False
784,784,-70.42457580566406,Q246064,False,False
845,845,-70.44279479980469,Q28455561,False,False
591,591,-70.4983139038086,Q186290,False,False
570,570,-70.52432250976562,Q18204,False,False
498,498,-70.54027557373047,Q165436,False,False
1037,1037,-70.58323669433594,Q47146,False,False
434,434,-70.67601776123047,Q13785927,False,False
542,542,-70.68905639648438,Q1759657,False,False
