,tail_id,score,tail_label,in_validation,in_testing
1203,1203,30.492233276367188,Q649732,False,False
816,816,28.957000732421875,Q27058,False,False
1062,1062,28.59589195251465,Q49415700,False,False
1214,1214,27.942235946655273,Q657498,False,False
1038,1038,26.99871826171875,Q47165059,False,False
877,877,26.587562561035156,Q302088,False,False
911,911,24.623096466064453,Q3273595,False,False
998,998,23.445171356201172,Q42478,False,False
1372,1372,23.019702911376953,Q8272677,False,False
508,508,22.88290786743164,Q16965428,False,False
91,91,22.642364501953125,Q1049183,False,False
1247,1247,22.015390396118164,Q7035718,False,False
329,329,21.630123138427734,Q116964944,False,False
1169,1169,21.517969131469727,Q621751,False,False
543,543,21.24571990966797,Q1759786,False,False
1235,1235,21.143047332763672,Q690265,False,False
1427,1427,21.141096115112305,Q8759226,False,False
1227,1227,21.011402130126953,Q6723726,False,False
159,159,20.990488052368164,Q1061656,False,False
1253,1253,20.966936111450195,Q7112712,False,False
1364,1364,20.784072875976562,Q82550,False,False
861,861,20.61214256286621,Q2896872,False,False
742,742,20.518890380859375,Q22349237,False,False
612,612,20.433738708496094,Q188889,False,False
1009,1009,20.273883819580078,Q439245,False,False
799,799,20.159578323364258,Q2550959,False,False
335,335,19.99933624267578,Q11707952,False,False
220,220,19.888111114501953,Q110509808,False,False
963,963,19.588150024414062,Q37517,False,False
910,910,19.44335174560547,Q327353,False,False
870,870,19.36086654663086,Q29169143,False,False
542,542,19.29926300048828,Q1759657,False,False
1481,1481,19.21017074584961,Q9820,False,False
523,523,19.171133041381836,Q1713118,False,False
1293,1293,19.063560485839844,Q740083,False,False
29,29,18.996109008789062,P2992,False,False
1257,1257,18.647188186645508,Q7135231,False,False
819,819,18.40655517578125,Q271680,False,False
983,983,18.394611358642578,Q3968,False,False
1238,1238,18.27843475341797,Q69883,False,False
864,864,18.224437713623047,Q2904257,False,False
211,211,18.220308303833008,Q10963663,False,False
1330,1330,18.145145416259766,Q773196,False,False
1039,1039,18.13775634765625,Q471906,False,False
541,541,18.002220153808594,Q175869,False,False
448,448,17.958606719970703,Q1427251,False,False
1177,1177,17.950363159179688,Q628051,False,False
883,883,17.872880935668945,Q3050461,False,False
964,964,17.85658836364746,Q376937,False,False
1485,1485,17.69083023071289,Q989016,False,False
749,749,17.631851196289062,Q2269096,False,False
702,702,17.59957504272461,Q210832,False,False
356,356,17.51293182373047,Q1191981,False,False
1355,1355,17.46855354309082,Q815297,False,False
1274,1274,17.444164276123047,Q724168,False,False
741,741,17.421236038208008,Q223335,False,False
100,100,17.417524337768555,Q105311707,False,False
934,934,17.390243530273438,Q34059,False,False
274,274,17.310897827148438,Q1152135,False,False
471,471,17.308265686035156,Q154755,False,False
398,398,17.2767391204834,Q1296251,False,False
1354,1354,17.181652069091797,Q8148,False,False
866,866,17.12399673461914,Q29120,False,False
1356,1356,17.091405868530273,Q815844,False,False
58,58,17.00800132751465,P747,False,False
920,920,16.839237213134766,Q334661,False,False
711,711,16.835527420043945,Q21281665,False,False
567,567,16.81365394592285,Q18056796,False,False
783,783,16.77406120300293,Q245748,False,False
971,971,16.45127296447754,Q381060,False,False
1294,1294,16.447063446044922,Q740970,False,False
1369,1369,16.065155029296875,Q8267873,False,False
162,162,16.037311553955078,Q1065131,False,False
64,64,15.928049087524414,P943,False,False
756,756,15.898419380187988,Q23006254,False,False
678,678,15.867452621459961,Q205084,False,False
1113,1113,15.8438081741333,Q5514059,False,False
1043,1043,15.662277221679688,Q4761343,False,False
638,638,15.657883644104004,Q192903,False,False
882,882,15.641136169433594,Q30503704,False,False
946,946,15.636373519897461,Q3519259,False,False
1320,1320,15.610294342041016,Q762268,False,False
1290,1290,15.567625045776367,Q738532,False,False
1141,1141,15.409113883972168,Q59,False,False
307,307,15.33399486541748,Q116964914,False,False
594,594,15.21691608428955,Q1868547,False,False
208,208,14.986119270324707,Q1087987,False,False
653,653,14.967567443847656,Q1948408,False,False
743,743,14.763334274291992,Q223655,False,False
1152,1152,14.729570388793945,Q609588,False,False
355,355,14.705190658569336,Q11917068,False,False
1440,1440,14.586682319641113,Q897511,False,False
839,839,14.558950424194336,Q282453,False,False
396,396,14.534709930419922,Q12894677,False,False
522,522,14.51512336730957,Q17128269,False,False
235,235,14.498863220214844,Q112150238,False,False
713,713,14.264073371887207,Q2144513,False,False
127,127,14.254854202270508,Q105849921,False,False
