,tail_id,score,tail_label,in_validation,in_testing
688,688,88.63069152832031,Q207434,False,False
1351,1351,81.78245544433594,Q8134,False,False
824,824,77.52643585205078,Q272735,False,False
978,978,74.99676513671875,Q389085,False,False
95,95,74.89237976074219,Q1051282,False,False
1097,1097,74.53276062011719,Q5300,False,False
860,860,71.59066772460938,Q28923017,False,False
1451,1451,69.37751770019531,Q925667,False,False
31,31,69.36486053466797,P3418,False,False
758,758,69.14193725585938,Q2308807,False,False
266,266,68.15583801269531,Q114323186,False,False
966,966,67.49598693847656,Q379626,False,False
1166,1166,66.85171508789062,Q621114,False,False
665,665,64.81735229492188,Q1988917,False,False
1356,1356,64.57662963867188,Q815844,False,False
1468,1468,63.89054489135742,Q95955024,False,False
317,317,61.98030471801758,Q116964928,False,False
533,533,59.553688049316406,Q173212,False,False
603,603,57.94318771362305,Q1879820,False,False
545,545,57.491233825683594,Q176165,False,False
1052,1052,57.35935974121094,Q483130,False,False
1184,1184,57.05108642578125,Q63085261,False,False
173,173,56.78803634643555,Q107370303,False,False
1091,1091,53.21916961669922,Q5282087,False,False
1081,1081,52.97016143798828,Q5128020,False,False
304,304,52.631797790527344,Q116952787,False,False
508,508,52.538448333740234,Q16965428,False,False
760,760,52.21192932128906,Q232207,False,False
669,669,52.13654327392578,Q200694,False,False
1189,1189,51.83755874633789,Q634532,False,False
474,474,50.93400955200195,Q15548076,False,False
337,337,50.901275634765625,Q117245199,False,False
448,448,50.147212982177734,Q1427251,False,False
717,717,49.79326248168945,Q215206,False,False
755,755,49.537071228027344,Q229371,False,False
518,518,49.42101287841797,Q1709010,False,False
946,946,49.12945556640625,Q3519259,False,False
561,561,48.96840286254883,Q178677,False,False
1022,1022,48.67780685424805,Q451553,False,False
1346,1346,48.37743377685547,Q8087,False,False
161,161,48.278648376464844,Q1064412,False,False
1430,1430,48.16179656982422,Q8789,False,False
300,300,47.72349166870117,Q116950967,False,False
1306,1306,47.13317108154297,Q751443,False,False
918,918,47.06592559814453,Q333464,False,False
1237,1237,46.702457427978516,Q6938112,False,False
1278,1278,46.38287353515625,Q7263850,False,False
55,55,46.35844421386719,P7078,False,False
1053,1053,46.30082702636719,Q483639,False,False
624,624,46.10813903808594,Q190087,False,False
102,102,45.704750061035156,Q1053367,False,False
1171,1171,45.656009674072266,Q622849,False,False
1067,1067,45.54572296142578,Q496946,False,False
296,296,45.395145416259766,Q116937684,False,False
295,295,45.36929702758789,Q116921423,False,False
1156,1156,45.314815521240234,Q616526,False,False
1294,1294,44.65445327758789,Q740970,False,False
421,421,44.576908111572266,Q1356176,False,False
178,178,44.46791076660156,Q107380935,False,False
575,575,44.42967987060547,Q183197,False,False
672,672,44.379180908203125,Q202400,False,False
530,530,44.082725524902344,Q172491,False,False
709,709,43.898414611816406,Q212542,False,False
752,752,43.82948684692383,Q22725,False,False
1361,1361,43.529335021972656,Q82059,False,False
1121,1121,43.43285369873047,Q5597177,False,False
773,773,43.19525146484375,Q2384798,False,False
584,584,43.09132385253906,Q185020,False,False
1379,1379,42.988285064697266,Q831366,False,False
416,416,42.968475341796875,Q13412532,False,False
410,410,42.939781188964844,Q132874,False,False
1012,1012,42.75922393798828,Q4417999,False,False
1447,1447,42.726890563964844,Q9143,False,False
1279,1279,42.71352005004883,Q7279338,False,False
1434,1434,41.61345291137695,Q8817189,False,False
479,479,41.2844123840332,Q15777392,False,False
301,301,41.253944396972656,Q116950976,False,False
5,5,41.243804931640625,P11201,False,False
1481,1481,40.90629196166992,Q9820,False,False
749,749,40.895164489746094,Q2269096,False,False
182,182,40.770591735839844,Q107381442,False,False
288,288,40.74250793457031,Q116481801,False,False
1464,1464,40.72540283203125,Q950250,False,False
1007,1007,40.71497344970703,Q43627,False,False
831,831,40.329017639160156,Q278425,False,False
767,767,40.3272705078125,Q23542287,False,False
828,828,40.08540725708008,Q275596,False,False
520,520,40.022132873535156,Q17112054,False,False
57,57,40.021793365478516,P7443,False,False
1249,1249,39.65093994140625,Q7094097,False,False
601,601,39.57366180419922,Q187787,False,False
1414,1414,39.31609344482422,Q85914626,False,False
268,268,39.304664611816406,Q114391621,False,False
66,66,39.126731872558594,Q1002535,False,False
888,888,39.04798889160156,Q30640394,False,False
621,621,39.02555847167969,Q189768,False,False
174,174,38.884986877441406,Q107370376,False,False
347,347,38.84770202636719,Q118176939,False,False
0,0,38.71931457519531,P10027,False,False
1217,1217,38.68445587158203,Q6600928,False,False
1106,1106,38.65784454345703,Q54276825,False,False
226,226,37.8014030456543,Q111430684,False,False
1003,1003,37.748111724853516,Q43260,False,False
612,612,37.51694869995117,Q188889,False,False
805,805,37.14625930786133,Q2631895,False,False
855,855,37.06495666503906,Q2878974,False,False
947,947,36.65315628051758,Q352090,False,False
1193,1193,36.49599075317383,Q638608,False,False
412,412,36.46422576904297,Q1331926,False,False
441,441,36.32072448730469,Q1412670,False,False
