,tail_id,score,tail_label,in_validation,in_testing
707,707,-0.5252544283866882,Q21198,False,False
798,798,-0.5364547371864319,Q2539,False,False
1340,1340,-0.5383224487304688,Q80006,False,False
1386,1386,-0.5782975554466248,Q8366,False,False
1232,1232,-0.579746425151825,Q68,False,False
290,290,-0.5845367908477783,Q11660,False,False
1447,1447,-0.5867305397987366,Q9143,False,False
1071,1071,-0.6053277850151062,Q50423863,False,False
678,678,-0.6120926737785339,Q205084,False,False
791,791,-0.6218186616897583,Q251,False,False
1347,1347,-0.624592125415802,Q80993,False,False
857,857,-0.6322610378265381,Q28865,False,False
1292,1292,-0.635948896408081,Q7397,False,False
889,889,-0.6459624767303467,Q30642,False,False
349,349,-0.6513126492500305,Q11862829,False,False
540,540,-0.6532055139541626,Q175263,False,False
748,748,-0.6649426221847534,Q2267705,False,False
589,589,-0.6674811840057373,Q186055,False,False
86,86,-0.6807815432548523,Q1047113,False,False
399,399,-0.6838258504867554,Q1301371,False,False
918,918,-0.6872077584266663,Q333464,False,False
405,405,-0.7081526517868042,Q131476,False,False
524,524,-0.7103570699691772,Q17146476,False,False
935,935,-0.7104033827781677,Q341,False,False
919,919,-0.7131726145744324,Q334384,False,False
1339,1339,-0.7230738401412964,Q79872,False,False
650,650,-0.7246851325035095,Q194152,False,False
1405,1405,-0.728986918926239,Q8513,False,False
685,685,-0.7377867698669434,Q206904,False,False
977,977,-0.7394769191741943,Q388,False,False
478,478,-0.7455877065658569,Q15777,False,False
769,769,-0.7482224106788635,Q2374463,False,False
499,499,-0.7508736252784729,Q166142,False,False
1138,1138,-0.7535842657089233,Q5862903,False,False
771,771,-0.7639216780662537,Q23793561,False,False
1425,1425,-0.7647668123245239,Q874709,False,False
438,438,-0.7709349989891052,Q1406,False,False
714,714,-0.7736395597457886,Q21447895,False,False
568,568,-0.7747053503990173,Q180634,False,False
496,496,-0.7949439287185669,Q165194,False,False
530,530,-0.7955127358436584,Q172491,False,False
1193,1193,-0.7958778142929077,Q638608,False,False
281,281,-0.8006085753440857,Q115564437,False,False
1000,1000,-0.8024407029151917,Q42848,False,False
444,444,-0.803462564945221,Q141495,False,False
636,636,-0.8097358345985413,Q192776,False,False
1392,1392,-0.8105182647705078,Q844240,False,False
1446,1446,-0.8113242387771606,Q9135,False,False
1032,1032,-0.8163151144981384,Q467731,False,False
688,688,-0.8206281661987305,Q207434,False,False
1041,1041,-0.8346741795539856,Q47506,False,False
624,624,-0.835247814655304,Q190087,False,False
1360,1360,-0.8411491513252258,Q818888,False,False
583,583,-0.8470787405967712,Q184793,False,False
72,72,-0.8490741848945618,Q1026367,False,False
1158,1158,-0.8534817099571228,Q6173448,False,False
582,582,-0.862140417098999,Q184754,False,False
394,394,-0.8622778058052063,Q128570,False,False
1461,1461,-0.8675164580345154,Q9492,False,False
806,806,-0.8675494194030762,Q264164,False,False
498,498,-0.8711427450180054,Q165436,False,False
1051,1051,-0.871255099773407,Q4798119,False,False
1378,1378,-0.8729082345962524,Q830687,False,False
648,648,-0.8789384365081787,Q19399674,False,False
761,761,-0.8798680901527405,Q232661,False,False
274,274,-0.8805916905403137,Q1152135,False,False
293,293,-0.889408528804779,Q116777014,False,False
832,832,-0.8897913098335266,Q27948,False,False
1337,1337,-0.8922353982925415,Q79798,False,False
1412,1412,-0.8935295343399048,Q858810,False,False
1344,1344,-0.8968777656555176,Q8078,False,False
641,641,-0.9093752503395081,Q193076,False,False
668,668,-0.909506618976593,Q2005,False,False
605,605,-0.9134777188301086,Q188522,False,False
1379,1379,-0.9144160151481628,Q831366,False,False
1065,1065,-0.9171909093856812,Q494756,False,False
546,546,-0.9187141060829163,Q176452,False,False
236,236,-0.9216530919075012,Q11216,False,False
846,846,-0.9289730191230774,Q28470421,False,False
620,620,-0.9294648170471191,Q189439,False,False
393,393,-0.9302272200584412,Q128392,False,False
983,983,-0.933597207069397,Q3968,False,False
1430,1430,-0.933904230594635,Q8789,False,False
776,776,-0.9427894949913025,Q2407,False,False
1042,1042,-0.9449233412742615,Q47607,False,False
1317,1317,-0.9466635584831238,Q7600677,False,False
1052,1052,-0.9554455280303955,Q483130,False,False
1365,1365,-0.9559640884399414,Q82571,False,False
490,490,-0.9597570896148682,Q163310,False,False
586,586,-0.9605464935302734,Q185612,False,False
924,924,-0.9620024561882019,Q336,False,False
1023,1023,-0.9625077247619629,Q456632,False,False
1373,1373,-0.9633681774139404,Q827335,False,False
578,578,-0.9643682241439819,Q18395344,False,False
1396,1396,-0.965274453163147,Q845566,False,False
747,747,-0.9657545685768127,Q22673982,False,False
1170,1170,-0.965828001499176,Q622825,False,False
379,379,-0.9663470387458801,Q12503,False,False
1419,1419,-0.9666723012924194,Q865760,False,False
232,232,-0.9674117565155029,Q11205,False,False
939,939,-0.9677437543869019,Q3478658,False,False
792,792,-0.9703567028045654,Q251212,False,False
1206,1206,-0.9768190979957581,Q6504956,False,False
1457,1457,-0.9768430590629578,Q938438,False,False
604,604,-0.9780488014221191,Q188267,False,False
905,905,-0.9785763621330261,Q3240252,False,False
1291,1291,-0.987060010433197,Q7388648,False,False
1398,1398,-0.993789792060852,Q846636,False,False
571,571,-0.9950700998306274,Q18209310,False,False
78,78,-0.9976433515548706,Q1034415,False,False
1047,1047,-0.997998058795929,Q4778968,False,False
378,378,-1.0016273260116577,Q12483,False,False
1324,1324,-1.0036635398864746,Q76592,False,False
380,380,-1.0041718482971191,Q12525525,False,False
537,537,-1.0056513547897339,Q174666,False,False
634,634,-1.005777359008789,Q192588,False,False
454,454,-1.0065264701843262,Q14579,False,False
494,494,-1.006952166557312,Q1635410,False,False
519,519,-1.0099594593048096,Q170978,False,False
1287,1287,-1.0181888341903687,Q735441,False,False
1223,1223,-1.018851399421692,Q66747126,False,False
564,564,-1.0201879739761353,Q179976,False,False
547,547,-1.021728515625,Q176623,False,False
726,726,-1.0302236080169678,Q21708200,False,False
267,267,-1.0316591262817383,Q1143367,False,False
661,661,-1.03564453125,Q197536,False,False
1148,1148,-1.0375779867172241,Q60165325,False,False
866,866,-1.0411750078201294,Q29120,False,False
590,590,-1.042466402053833,Q186152,False,False
555,555,-1.0453351736068726,Q1770325,False,False
855,855,-1.045385479927063,Q2878974,False,False
904,904,-1.0466623306274414,Q3238057,False,False
1421,1421,-1.047484040260315,Q868299,False,False
1174,1174,-1.0505551099777222,Q623950,False,False
434,434,-1.054349660873413,Q13785927,False,False
829,829,-1.0563886165618896,Q275603,False,False
1326,1326,-1.0571553707122803,Q7673435,False,False
1016,1016,-1.059371829032898,Q4479242,False,False
750,750,-1.0621778964996338,Q2271421,False,False
819,819,-1.0631461143493652,Q271680,False,False
483,483,-1.0638096332550049,Q15855099,False,False
694,694,-1.0646655559539795,Q208042,False,False
1117,1117,-1.065704345703125,Q55624999,False,False
828,828,-1.0662493705749512,Q275596,False,False
767,767,-1.0692249536514282,Q23542287,False,False
464,464,-1.0694763660430908,Q149972,False,False
562,562,-1.0734400749206543,Q179310,False,False
1440,1440,-1.0743895769119263,Q897511,False,False
1428,1428,-1.0762302875518799,Q877977,False,False
1411,1411,-1.0763921737670898,Q85810444,False,False
770,770,-1.0771673917770386,Q23766486,False,False
549,549,-1.078919768333435,Q176645,False,False
867,867,-1.0793826580047607,Q2914952,False,False
1013,1013,-1.0797990560531616,Q44337,False,False
931,931,-1.0800013542175293,Q34010,False,False
908,908,-1.0819493532180786,Q3257930,False,False
457,457,-1.0822625160217285,Q14656,False,False
1239,1239,-1.0833139419555664,Q7003418,False,False
883,883,-1.0840286016464233,Q3050461,False,False
615,615,-1.0845224857330322,Q189210,False,False
1109,1109,-1.086073875427246,Q5460604,False,False
1053,1053,-1.0863139629364014,Q483639,False,False
552,552,-1.0894033908843994,Q176769,False,False
275,275,-1.0907191038131714,Q115215420,False,False
1409,1409,-1.0913100242614746,Q857102,False,False
1136,1136,-1.0917284488677979,Q583461,False,False
1056,1056,-1.0936285257339478,Q486902,False,False
443,443,-1.0987399816513062,Q141488,False,False
581,581,-1.1000465154647827,Q184609,False,False
944,944,-1.102859377861023,Q3510521,False,False
1476,1476,-1.1055643558502197,Q965769,False,False
458,458,-1.1075103282928467,Q1465654,False,False
1454,1454,-1.1117061376571655,Q926821,False,False
870,870,-1.114875316619873,Q29169143,False,False
410,410,-1.1243382692337036,Q132874,False,False
440,440,-1.1295489072799683,Q14116,False,False
536,536,-1.1297507286071777,Q1744628,False,False
988,988,-1.133172869682312,Q403574,False,False
1030,1030,-1.1358243227005005,Q4671286,False,False
968,968,-1.1385871171951294,Q380172,False,False
462,462,-1.1393157243728638,Q1475717,False,False
466,466,-1.1418957710266113,Q1503724,False,False
992,992,-1.1449511051177979,Q4118434,False,False
927,927,-1.1486353874206543,Q33742,False,False
969,969,-1.1522983312606812,Q380679,False,False
1307,1307,-1.156951665878296,Q752532,False,False
717,717,-1.1580311059951782,Q215206,False,False
695,695,-1.1613082885742188,Q208163,False,False
716,716,-1.1623362302780151,Q214526,False,False
790,790,-1.1645716428756714,Q2493,False,False
1057,1057,-1.1711695194244385,Q48703087,False,False
880,880,-1.1773782968521118,Q30267,False,False
575,575,-1.1821744441986084,Q183197,False,False
958,958,-1.1830520629882812,Q374040,False,False
259,259,-1.1844093799591064,Q113660857,False,False
1003,1003,-1.1924549341201782,Q43260,False,False
619,619,-1.1942102909088135,Q189436,False,False
1225,1225,-1.196758508682251,Q671298,False,False
1464,1464,-1.1995540857315063,Q950250,False,False
77,77,-1.2002309560775757,Q10336440,False,False
1110,1110,-1.2021021842956543,Q5482740,False,False
1037,1037,-1.2073131799697876,Q47146,False,False
526,526,-1.2087516784667969,Q17155032,False,False
772,772,-1.2100365161895752,Q23808,False,False
381,381,-1.2115375995635986,Q1254373,False,False
278,278,-1.212654709815979,Q11538,False,False
667,667,-1.2134443521499634,Q200125,False,False
596,596,-1.2146785259246826,Q187432,False,False
743,743,-1.2162121534347534,Q223655,False,False
1183,1183,-1.2175118923187256,Q63085165,False,False
1384,1384,-1.2185726165771484,Q835922,False,False
1185,1185,-1.2244843244552612,Q63085353,False,False
1087,1087,-1.2248189449310303,Q5227391,False,False
1274,1274,-1.2272282838821411,Q724168,False,False
783,783,-1.2275161743164062,Q245748,False,False
408,408,-1.2320759296417236,Q132364,False,False
630,630,-1.2330737113952637,Q1914636,False,False
1443,1443,-1.2394689321517944,Q907375,False,False
533,533,-1.2474603652954102,Q173212,False,False
1272,1272,-1.2483088970184326,Q723897,False,False
878,878,-1.2505818605422974,Q30232,False,False
824,824,-1.2512998580932617,Q272735,False,False
631,631,-1.2515175342559814,Q192161,False,False
1310,1310,-1.2523131370544434,Q755662,False,False
782,782,-1.253516435623169,Q245652,False,False
1103,1103,-1.2552738189697266,Q53756539,False,False
1135,1135,-1.2591063976287842,Q580427,False,False
965,965,-1.2604930400848389,Q378859,False,False
34,34,-1.2622058391571045,P348,False,False
673,673,-1.2664191722869873,Q202843,False,False
723,723,-1.267800211906433,Q216601,False,False
1394,1394,-1.2687005996704102,Q844718,False,False
646,646,-1.2782487869262695,Q1936256,False,False
1165,1165,-1.2790210247039795,Q620615,False,False
276,276,-1.2791026830673218,Q1152399,False,False
1358,1358,-1.288665771484375,Q816826,False,False
80,80,-1.2889500856399536,Q103701642,False,False
1054,1054,-1.2895704507827759,Q48493,False,False
437,437,-1.2909733057022095,Q1401416,False,False
25,25,-1.2970571517944336,P275,False,False
350,350,-1.2975331544876099,Q1186723,False,False
635,635,-1.3060983419418335,Q192726,False,False
861,861,-1.3072422742843628,Q2896872,False,False
89,89,-1.3083668947219849,Q104851,False,False
665,665,-1.3106485605239868,Q1988917,False,False
1381,1381,-1.314159631729126,Q831672,False,False
774,774,-1.3183215856552124,Q2393193,False,False
559,559,-1.3228366374969482,Q177929,False,False
987,987,-1.3236701488494873,Q40056,False,False
1458,1458,-1.323978304862976,Q94,False,False
1173,1173,-1.3267223834991455,Q623818,False,False
375,375,-1.3281302452087402,Q1238229,False,False
1182,1182,-1.3284825086593628,Q63084966,False,False
1149,1149,-1.3300254344940186,Q6027324,False,False
741,741,-1.330336332321167,Q223335,False,False
702,702,-1.3326361179351807,Q210832,False,False
1306,1306,-1.3343597650527954,Q751443,False,False
622,622,-1.340615153312683,Q189900,False,False
1349,1349,-1.340868353843689,Q812534,False,False
563,563,-1.342032790184021,Q17995793,False,False
1169,1169,-1.3440369367599487,Q621751,False,False
30,30,-1.345481276512146,P306,False,False
554,554,-1.3462029695510864,Q177005,False,False
355,355,-1.3486449718475342,Q11917068,False,False
548,548,-1.3499298095703125,Q176640,False,False
1155,1155,-1.3534449338912964,Q613918,False,False
1028,1028,-1.3534969091415405,Q465274,False,False
1018,1018,-1.3624612092971802,Q4495220,False,False
823,823,-1.3629469871520996,Q272683,False,False
930,930,-1.363328218460083,Q340,False,False
923,923,-1.3758013248443604,Q3353185,False,False
213,213,-1.3762164115905762,Q11012,False,False
572,572,-1.3796403408050537,Q182557,False,False
938,938,-1.3801602125167847,Q3435924,False,False
778,778,-1.3820191621780396,Q241317,False,False
708,708,-1.3846404552459717,Q212108,False,False
435,435,-1.386049509048462,Q1394144,False,False
551,551,-1.394811749458313,Q176737,False,False
960,960,-1.3978171348571777,Q37437,False,False
442,442,-1.400507926940918,Q1414548,False,False
618,618,-1.4029383659362793,Q189401,False,False
814,814,-1.4071325063705444,Q2695280,False,False
255,255,-1.4174004793167114,Q1132755,False,False
947,947,-1.4174917936325073,Q352090,False,False
611,611,-1.4184411764144897,Q188860,False,False
1348,1348,-1.4226025342941284,Q80998,False,False
560,560,-1.425390601158142,Q178377,False,False
671,671,-1.426732063293457,Q201339,False,False
1320,1320,-1.4282703399658203,Q762268,False,False
84,84,-1.4302634000778198,Q104659521,False,False
230,230,-1.431711196899414,Q111862379,False,False
19,19,-1.433087944984436,P18,False,False
1445,1445,-1.434403657913208,Q910404,False,False
389,389,-1.434450387954712,Q12772052,False,False
853,853,-1.4356709718704224,Q28757880,False,False
449,449,-1.4377413988113403,Q1437428,False,False
909,909,-1.4377679824829102,Q327069,False,False
436,436,-1.4390863180160522,Q14001,False,False
1257,1257,-1.4448243379592896,Q7135231,False,False
475,475,-1.4463249444961548,Q15563228,False,False
474,474,-1.4494972229003906,Q15548076,False,False
759,759,-1.4524587392807007,Q2321565,False,False
877,877,-1.4526563882827759,Q302088,False,False
637,637,-1.4537626504898071,Q1928222,False,False
388,388,-1.4540151357650757,Q12718609,False,False
1342,1342,-1.4546115398406982,Q80585,False,False
1353,1353,-1.4569504261016846,Q814447,False,False
1460,1460,-1.4584962129592896,Q944,False,False
1091,1091,-1.4652469158172607,Q5282087,False,False
1231,1231,-1.468184471130371,Q677051,False,False
1176,1176,-1.471139907836914,Q628036,False,False
1184,1184,-1.4722975492477417,Q63085261,False,False
997,997,-1.473820686340332,Q420904,False,False
8,8,-1.4742302894592285,P1401,False,False
206,206,-1.479529619216919,Q1085860,False,False
1233,1233,-1.4820401668548584,Q682496,False,False
882,882,-1.4844169616699219,Q30503704,False,False
721,721,-1.4883431196212769,Q21652121,False,False
809,809,-1.4916729927062988,Q2651576,False,False
39,39,-1.4957010746002197,P3755,False,False
1162,1162,-1.4962513446807861,Q619942,False,False
1473,1473,-1.5017768144607544,Q96273743,False,False
1108,1108,-1.5020049810409546,Q54439832,False,False
1072,1072,-1.5024266242980957,Q504353,False,False
994,994,-1.5046942234039307,Q4182287,False,False
161,161,-1.5050746202468872,Q1064412,False,False
959,959,-1.50576913356781,Q374195,False,False
1151,1151,-1.5094724893569946,Q60740481,False,False
558,558,-1.510576844215393,Q177571,False,False
76,76,-1.512908697128296,Q10322548,False,False
1444,1444,-1.5146727561950684,Q908207,False,False
163,163,-1.5146983861923218,Q1066228,False,False
1388,1388,-1.5203917026519775,Q839721,False,False
1397,1397,-1.5209755897521973,Q845739,False,False
1171,1171,-1.522349238395691,Q622849,False,False
432,432,-1.5232877731323242,Q1376021,False,False
1375,1375,-1.523409128189087,Q829546,False,False
936,936,-1.5258550643920898,Q34253,False,False
990,990,-1.526155710220337,Q40672098,False,False
644,644,-1.5264607667922974,Q193351,False,False
152,152,-1.5286180973052979,Q105864815,False,False
56,56,-1.5291435718536377,P737,False,False
91,91,-1.5316070318222046,Q1049183,False,False
601,601,-1.5321907997131348,Q187787,False,False
12,12,-1.5356543064117432,P1482,False,False
153,153,-1.5365434885025024,Q105866180,False,False
507,507,-1.5479414463043213,Q16927616,False,False
193,193,-1.548187017440796,Q1076638,False,False
92,92,-1.5482786893844604,Q1049878,False,False
998,998,-1.550642490386963,Q42478,False,False
