,tail_id,score,tail_label,in_validation,in_testing
626,626,-5.176583290100098,Q190212,False,False
1056,1056,-5.359849452972412,Q486902,False,False
395,395,-5.78905725479126,Q128751,False,False
766,766,-5.825595855712891,Q23515215,False,False
703,703,-5.876347541809082,Q21091728,False,False
775,775,-5.884268760681152,Q2395230,False,False
919,919,-5.954875946044922,Q334384,False,False
1232,1232,-6.018381118774414,Q68,False,False
49,49,-6.041783332824707,P5196,False,False
678,678,-6.053612232208252,Q205084,False,False
1222,1222,-6.083559036254883,Q6673524,False,False
469,469,-6.09207820892334,Q1517650,False,False
623,623,-6.1044135093688965,Q1900326,False,False
1200,1200,-6.1082892417907715,Q6470767,False,False
622,622,-6.133094787597656,Q189900,False,False
531,531,-6.1404314041137695,Q173142,False,False
572,572,-6.1898651123046875,Q182557,False,False
1284,1284,-6.212169170379639,Q7320811,False,False
1288,1288,-6.242693901062012,Q736866,False,False
1135,1135,-6.248802661895752,Q580427,False,False
729,729,-6.258941650390625,Q217594,False,False
498,498,-6.265133857727051,Q165436,False,False
188,188,-6.281729698181152,Q107381458,False,False
1369,1369,-6.3194966316223145,Q8267873,False,False
307,307,-6.331233024597168,Q116964914,False,False
1180,1180,-6.335186958312988,Q629206,False,False
666,666,-6.336705684661865,Q1993334,False,False
818,818,-6.362227916717529,Q2715623,False,False
1069,1069,-6.364273548126221,Q500716,False,False
1179,1179,-6.365407466888428,Q6284201,False,False
461,461,-6.368925094604492,Q1474542,False,False
618,618,-6.388014793395996,Q189401,False,False
331,331,-6.389508247375488,Q116964946,False,False
289,289,-6.390356540679932,Q1164918,False,False
1278,1278,-6.3937482833862305,Q7263850,False,False
713,713,-6.412341594696045,Q2144513,False,False
1484,1484,-6.412343978881836,Q98844843,False,False
547,547,-6.433161735534668,Q176623,False,False
185,185,-6.438127517700195,Q107381449,False,False
1149,1149,-6.438602447509766,Q6027324,False,False
579,579,-6.455332279205322,Q184148,False,False
1123,1123,-6.460346698760986,Q56273712,False,False
1370,1370,-6.467022895812988,Q8271365,False,False
1182,1182,-6.470646858215332,Q63084966,False,False
162,162,-6.48020601272583,Q1065131,False,False
1398,1398,-6.482354640960693,Q846636,False,False
839,839,-6.487942218780518,Q282453,False,False
1122,1122,-6.489349365234375,Q56062429,False,False
674,674,-6.504473686218262,Q20353483,False,False
177,177,-6.507422924041748,Q107380745,False,False
1340,1340,-6.510468482971191,Q80006,False,False
156,156,-6.511402130126953,Q1058791,False,False
517,517,-6.519449234008789,Q17069496,False,False
432,432,-6.531522750854492,Q1376021,False,False
506,506,-6.545567035675049,Q16889133,False,False
127,127,-6.546907901763916,Q105849921,False,False
