,tail_id,score,tail_label,in_validation,in_testing
405,405,-1.0000001192092896,Q131476,False,False
707,707,-1.167975664138794,Q21198,False,False
379,379,-1.4426418542861938,Q12503,False,False
1344,1344,-1.5682858228683472,Q8078,False,False
1003,1003,-1.6432780027389526,Q43260,False,False
1342,1342,-1.6657719612121582,Q80585,False,False
1171,1171,-1.6775565147399902,Q622849,False,False
678,678,-1.7311317920684814,Q205084,False,False
1104,1104,-1.740125298500061,Q53756551,False,False
654,654,-1.7572613954544067,Q1948412,False,False
1151,1151,-1.7851529121398926,Q60740481,False,False
234,234,-1.7881702184677124,Q11214,False,False
457,457,-1.7884125709533691,Q14656,False,False
304,304,-1.7885478734970093,Q116952787,False,False
290,290,-1.7930816411972046,Q11660,False,False
793,793,-1.7947957515716553,Q2526135,False,False
889,889,-1.8036540746688843,Q30642,False,False
1203,1203,-1.8096635341644287,Q649732,False,False
1263,1263,-1.816954255104065,Q7215409,False,False
974,974,-1.834173321723938,Q386275,False,False
769,769,-1.8395023345947266,Q2374463,False,False
1358,1358,-1.8430951833724976,Q816826,False,False
1419,1419,-1.8470526933670044,Q865760,False,False
349,349,-1.8536195755004883,Q11862829,False,False
1138,1138,-1.8544169664382935,Q5862903,False,False
229,229,-1.8678550720214844,Q11169,False,False
972,972,-1.8771239519119263,Q382207,False,False
1102,1102,-1.8786373138427734,Q53756006,False,False
1365,1365,-1.8896687030792236,Q82571,False,False
902,902,-1.8900773525238037,Q322202,False,False
376,376,-1.8945178985595703,Q12479,False,False
39,39,-1.8958191871643066,P3755,False,False
464,464,-1.8964742422103882,Q149972,False,False
586,586,-1.9049851894378662,Q185612,False,False
1340,1340,-1.9088739156723022,Q80006,False,False
29,29,-1.9104005098342896,P2992,False,False
62,62,-1.9152507781982422,P8770,False,False
275,275,-1.9233025312423706,Q115215420,False,False
192,192,-1.9247417449951172,Q1074173,False,False
548,548,-1.9320372343063354,Q176640,False,False
1235,1235,-1.9348057508468628,Q690265,False,False
835,835,-1.9476171731948853,Q28113351,False,False
853,853,-1.9513622522354126,Q28757880,False,False
730,730,-1.9649605751037598,Q217608,False,False
983,983,-1.9651769399642944,Q3968,False,False
1319,1319,-1.9661418199539185,Q7604,False,False
433,433,-1.972182273864746,Q1378470,False,False
236,236,-1.9749882221221924,Q11216,False,False
985,985,-1.976797342300415,Q39809,False,False
158,158,-1.9802597761154175,Q10609775,False,False
177,177,-1.9835681915283203,Q107380745,False,False
836,836,-1.98491370677948,Q281472,False,False
754,754,-1.9861421585083008,Q2283,False,False
905,905,-1.9877259731292725,Q3240252,False,False
1289,1289,-1.9907658100128174,Q7369420,False,False
264,264,-1.9907848834991455,Q1141518,False,False
897,897,-1.9909917116165161,Q3115587,False,False
924,924,-1.9985005855560303,Q336,False,False
1383,1383,-2.0035393238067627,Q833585,False,False
