,tail_id,score,tail_label,in_validation,in_testing
405,405,249.67196655273438,Q131476,False,False
430,430,80.33743286132812,Q13677,False,False
440,440,80.00877380371094,Q14116,False,False
306,306,74.7899169921875,Q116964913,False,False
292,292,71.421630859375,Q116709136,False,False
1095,1095,69.12899780273438,Q5297,False,False
296,296,65.97882080078125,Q116937684,False,False
470,470,65.91712951660156,Q151885,False,False
81,81,64.73005676269531,Q1042397,False,False
150,150,64.40837860107422,Q105864520,False,False
1432,1432,63.98848342895508,Q880371,False,False
1421,1421,62.70479202270508,Q868299,False,False
301,301,62.58758544921875,Q116950976,False,False
161,161,59.57261657714844,Q1064412,False,False
265,265,59.46979522705078,Q1143023,False,False
1038,1038,59.30516815185547,Q47165059,False,False
558,558,58.865806579589844,Q177571,False,False
612,612,58.707664489746094,Q188889,False,False
836,836,58.2911376953125,Q281472,False,False
1256,1256,57.84174346923828,Q7126717,False,False
1001,1001,57.26734161376953,Q43015,False,False
1197,1197,57.15562438964844,Q6459089,False,False
531,531,56.9138298034668,Q173142,False,False
507,507,56.50431442260742,Q16927616,False,False
1131,1131,56.43477249145508,Q5752075,False,False
681,681,56.26909637451172,Q205961,False,False
309,309,56.07123565673828,Q116964918,False,False
1117,1117,55.57307434082031,Q55624999,False,False
452,452,55.54890060424805,Q1455952,False,False
946,946,55.404869079589844,Q3519259,False,False
629,629,54.5670051574707,Q191026,False,False
1132,1132,54.54175567626953,Q575650,False,False
134,134,53.51496124267578,Q105850226,False,False
1430,1430,53.17534255981445,Q8789,False,False
63,63,53.08251190185547,P8966,False,False
1326,1326,52.97538375854492,Q7673435,False,False
323,323,52.722999572753906,Q116964936,False,False
333,333,52.67942428588867,Q116964948,False,False
471,471,51.8758544921875,Q154755,False,False
1275,1275,51.852115631103516,Q7247798,False,False
86,86,51.35255813598633,Q1047113,False,False
827,827,51.11957550048828,Q2748079,False,False
734,734,51.09053039550781,Q220184,False,False
190,190,51.039127349853516,Q107381460,False,False
529,529,50.93166732788086,Q17237365,False,False
990,990,50.83668518066406,Q40672098,False,False
425,425,50.10943603515625,Q1363085,False,False
304,304,50.052757263183594,Q116952787,False,False
1125,1125,49.936012268066406,Q5653416,False,False
1321,1321,49.39915084838867,Q7631151,False,False
1246,1246,48.9705924987793,Q7032352,False,False
889,889,48.95866394042969,Q30642,False,False
1114,1114,48.703468322753906,Q55337796,False,False
367,367,48.19878005981445,Q120470,False,False
1463,1463,48.13136291503906,Q95001953,False,False
988,988,48.10717010498047,Q403574,False,False
1056,1056,47.85549545288086,Q486902,False,False
338,338,47.1021842956543,Q117246174,False,False
781,781,46.81572723388672,Q2453355,False,False
1004,1004,46.70669937133789,Q43283,False,False
1090,1090,46.66518020629883,Q527464,False,False
485,485,46.63277816772461,Q1593782,False,False
10,10,46.576969146728516,P1424,False,False
1091,1091,46.36802673339844,Q5282087,False,False
427,427,46.31257247924805,Q13649246,False,False
443,443,46.293792724609375,Q141488,False,False
139,139,46.23986053466797,Q105850508,False,False
1003,1003,46.055423736572266,Q43260,False,False
416,416,45.78712463378906,Q13412532,False,False
1155,1155,45.376670837402344,Q613918,False,False
385,385,45.21717071533203,Q1268980,False,False
1438,1438,44.829071044921875,Q891723,False,False
1035,1035,44.798587799072266,Q46993707,False,False
1092,1092,44.61660385131836,Q5288,False,False
926,926,44.362205505371094,Q3369731,False,False
1454,1454,44.07054138183594,Q926821,False,False
1459,1459,43.77484130859375,Q9418,False,False
640,640,43.70973587036133,Q193040,False,False
467,467,43.70340347290039,Q1505415,False,False
1418,1418,43.68632507324219,Q8647009,False,False
1285,1285,43.667579650878906,Q732089,False,False
1353,1353,43.582672119140625,Q814447,False,False
1295,1295,43.33961486816406,Q741490,False,False
927,927,43.32645797729492,Q33742,False,False
543,543,43.31796646118164,Q1759786,False,False
1317,1317,43.22455596923828,Q7600677,False,False
1231,1231,42.50074768066406,Q677051,False,False
633,633,42.38362121582031,Q192521,False,False
1328,1328,42.34319305419922,Q7715973,False,False
