,tail_id,score,tail_label,in_validation,in_testing
1232,1232,-3.666358470916748,Q68,False,False
232,232,-3.838593006134033,Q11205,False,False
1340,1340,-3.8388314247131348,Q80006,False,False
707,707,-3.8754515647888184,Q21198,False,False
379,379,-3.900193691253662,Q12503,False,False
380,380,-3.923365831375122,Q12525525,False,False
667,667,-3.932433843612671,Q200125,False,False
464,464,-3.95036244392395,Q149972,False,False
547,547,-3.9577174186706543,Q176623,False,False
1000,1000,-4.057450771331787,Q42848,False,False
1065,1065,-4.091163635253906,Q494756,False,False
252,252,-4.091667652130127,Q113171054,False,False
1138,1138,-4.110668182373047,Q5862903,False,False
1049,1049,-4.125743389129639,Q478798,False,False
716,716,-4.155941963195801,Q214526,False,False
510,510,-4.181291103363037,Q170058,False,False
1447,1447,-4.185550212860107,Q9143,False,False
562,562,-4.199044227600098,Q179310,False,False
1394,1394,-4.240992546081543,Q844718,False,False
639,639,-4.251730442047119,Q192969,False,False
560,560,-4.269357681274414,Q178377,False,False
1456,1456,-4.286919593811035,Q93312,False,False
574,574,-4.303560256958008,Q182933,False,False
37,37,-4.304773330688477,P3753,False,False
1360,1360,-4.305133819580078,Q818888,False,False
1344,1344,-4.3079833984375,Q8078,False,False
772,772,-4.308815002441406,Q23808,False,False
224,224,-4.309654712677002,Q110857125,False,False
622,622,-4.314417362213135,Q189900,False,False
737,737,-4.323187828063965,Q22073956,False,False
376,376,-4.334057807922363,Q12479,False,False
1461,1461,-4.3391313552856445,Q9492,False,False
876,876,-4.362668514251709,Q30086013,False,False
927,927,-4.372002601623535,Q33742,False,False
1383,1383,-4.372336387634277,Q833585,False,False
17,17,-4.375557899475098,P178,False,False
1019,1019,-4.377188682556152,Q45037095,False,False
983,983,-4.403204441070557,Q3968,False,False
816,816,-4.405872821807861,Q27058,False,False
1386,1386,-4.407320022583008,Q8366,False,False
147,147,-4.437203884124756,Q105857730,False,False
258,258,-4.440975666046143,Q113495219,False,False
365,365,-4.441595077514648,Q120208,False,False
548,548,-4.44346284866333,Q176640,False,False
886,886,-4.4518938064575195,Q30594664,False,False
1026,1026,-4.452217102050781,Q461183,False,False
300,300,-4.470234394073486,Q116950967,False,False
40,40,-4.480120658874512,P3756,False,False
941,941,-4.498994827270508,Q3503416,False,False
339,339,-4.505810260772705,Q117286419,False,False
340,340,-4.511653900146484,Q117303591,False,False
1139,1139,-4.517341613769531,Q58636917,False,False
1013,1013,-4.518253803253174,Q44337,False,False
626,626,-4.523078918457031,Q190212,False,False
570,570,-4.53851318359375,Q18204,False,False
593,593,-4.547340393066406,Q18665344,False,False
590,590,-4.5574564933776855,Q186152,False,False
793,793,-4.563414096832275,Q2526135,False,False
909,909,-4.570888519287109,Q327069,False,False
78,78,-4.572024822235107,Q1034415,False,False
723,723,-4.5720415115356445,Q216601,False,False
875,875,-4.576411724090576,Q30,False,False
259,259,-4.579775333404541,Q113660857,False,False
1345,1345,-4.579928398132324,Q8084959,False,False
302,302,-4.585063934326172,Q116950977,False,False
236,236,-4.589386940002441,Q11216,False,False
1442,1442,-4.590174674987793,Q9038,False,False
240,240,-4.599731922149658,Q11253473,False,False
1218,1218,-4.606960773468018,Q660848,False,False
217,217,-4.60835075378418,Q11024,False,False
382,382,-4.609447479248047,Q1257468,False,False
766,766,-4.610872745513916,Q23515215,False,False
1336,1336,-4.628570079803467,Q796212,False,False
1003,1003,-4.639569282531738,Q43260,False,False
230,230,-4.660035610198975,Q111862379,False,False
546,546,-4.664016246795654,Q176452,False,False
961,961,-4.672054290771484,Q374814,False,False
1084,1084,-4.674839019775391,Q5157286,False,False
831,831,-4.678071022033691,Q278425,False,False
901,901,-4.67814302444458,Q319417,False,False
1161,1161,-4.679220676422119,Q619798,False,False
375,375,-4.6811418533325195,Q1238229,False,False
1281,1281,-4.681617259979248,Q729271,False,False
462,462,-4.6902174949646,Q1475717,False,False
874,874,-4.693630695343018,Q2974105,False,False
278,278,-4.698720932006836,Q11538,False,False
532,532,-4.702835559844971,Q173156,False,False
852,852,-4.705224990844727,Q28746410,False,False
728,728,-4.710397243499756,Q21743174,False,False
782,782,-4.712358474731445,Q245652,False,False
765,765,-4.722691059112549,Q23498,False,False
1059,1059,-4.726923942565918,Q49310003,False,False
1428,1428,-4.739598751068115,Q877977,False,False
743,743,-4.74177885055542,Q223655,False,False
226,226,-4.744345188140869,Q111430684,False,False
1273,1273,-4.750820636749268,Q72390208,False,False
1285,1285,-4.751235485076904,Q732089,False,False
1446,1446,-4.753522872924805,Q9135,False,False
862,862,-4.756847858428955,Q29040034,False,False
1187,1187,-4.7569451332092285,Q631425,False,False
356,356,-4.763899326324463,Q1191981,False,False
1210,1210,-4.764427185058594,Q6537698,False,False
815,815,-4.765901565551758,Q27017232,False,False
1203,1203,-4.766269683837891,Q649732,False,False
504,504,-4.769753932952881,Q16773055,False,False
1324,1324,-4.771506309509277,Q76592,False,False
405,405,-4.771978378295898,Q131476,False,False
292,292,-4.777570724487305,Q116709136,False,False
1322,1322,-4.778567314147949,Q764810,False,False
1156,1156,-4.783517837524414,Q616526,False,False
1315,1315,-4.784668922424316,Q7595944,False,False
675,675,-4.785292625427246,Q2035437,False,False
1309,1309,-4.785797595977783,Q7553,False,False
1423,1423,-4.786770343780518,Q870780,False,False
64,64,-4.7918524742126465,P943,False,False
821,821,-4.799740314483643,Q272404,False,False
930,930,-4.799877166748047,Q340,False,False
134,134,-4.8033447265625,Q105850226,False,False
812,812,-4.8038153648376465,Q268592,False,False
858,858,-4.805263996124268,Q28874898,False,False
1341,1341,-4.805300712585449,Q80091,False,False
146,146,-4.807672023773193,Q105857557,False,False
1402,1402,-4.808248043060303,Q849146,False,False
540,540,-4.809275150299072,Q175263,False,False
1181,1181,-4.810997486114502,Q6303648,False,False
398,398,-4.812331199645996,Q1296251,False,False
695,695,-4.814515113830566,Q208163,False,False
65,65,-4.815135955810547,P9601,False,False
444,444,-4.81654691696167,Q141495,False,False
47,47,-4.818608283996582,P4428,False,False
908,908,-4.820446014404297,Q3257930,False,False
733,733,-4.821969509124756,Q220182,False,False
846,846,-4.8226318359375,Q28470421,False,False
235,235,-4.8226470947265625,Q112150238,False,False
582,582,-4.826834678649902,Q184754,False,False
1107,1107,-4.829034805297852,Q54277,False,False
1411,1411,-4.832240104675293,Q85810444,False,False
399,399,-4.8370771408081055,Q1301371,False,False
439,439,-4.837440013885498,Q141090,False,False
103,103,-4.839652061462402,Q1053999,False,False
1346,1346,-4.840862274169922,Q8087,False,False
396,396,-4.842814922332764,Q12894677,False,False
1111,1111,-4.84628438949585,Q55080113,False,False
1353,1353,-4.847450256347656,Q814447,False,False
255,255,-4.847578525543213,Q1132755,False,False
1108,1108,-4.847937107086182,Q54439832,False,False
108,108,-4.8552446365356445,Q105606338,False,False
1202,1202,-4.858588218688965,Q64845926,False,False
1421,1421,-4.863029479980469,Q868299,False,False
1124,1124,-4.863232135772705,Q56274981,False,False
364,364,-4.863289833068848,Q12017866,False,False
704,704,-4.866482734680176,Q21129801,False,False
523,523,-4.869100093841553,Q1713118,False,False
74,74,-4.870389461517334,Q1027879,False,False
1464,1464,-4.871423244476318,Q950250,False,False
1199,1199,-4.871485233306885,Q6465232,False,False
287,287,-4.872531890869141,Q1164699,False,False
237,237,-4.876831531524658,Q112162285,False,False
712,712,-4.882270336151123,Q213092,False,False
620,620,-4.882504463195801,Q189439,False,False
1305,1305,-4.883050918579102,Q751436,False,False
132,132,-4.886929988861084,Q105850107,False,False
247,247,-4.890987396240234,Q1129239,False,False
1254,1254,-4.891846656799316,Q7112734,False,False
624,624,-4.892183780670166,Q190087,False,False
291,291,-4.893427848815918,Q11661,False,False
586,586,-4.899929523468018,Q185612,False,False
1134,1134,-4.900744438171387,Q579488,False,False
972,972,-4.90145206451416,Q382207,False,False
1097,1097,-4.910129070281982,Q5300,False,False
16,16,-4.915017604827881,P1613,False,False
1238,1238,-4.916278839111328,Q69883,False,False
395,395,-4.91885232925415,Q128751,False,False
1280,1280,-4.920737266540527,Q7285270,False,False
1227,1227,-4.921343803405762,Q6723726,False,False
43,43,-4.921512603759766,P400,False,False
304,304,-4.923900604248047,Q116952787,False,False
276,276,-4.927828788757324,Q1152399,False,False
770,770,-4.929445743560791,Q23766486,False,False
514,514,-4.9348039627075195,Q17054505,False,False
612,612,-4.939704895019531,Q188889,False,False
1372,1372,-4.939991474151611,Q8272677,False,False
1040,1040,-4.940070629119873,Q47461344,False,False
919,919,-4.94558572769165,Q334384,False,False
602,602,-4.947836875915527,Q187906,False,False
479,479,-4.949466705322266,Q15777392,False,False
1195,1195,-4.950714111328125,Q6452951,False,False
978,978,-4.951143264770508,Q389085,False,False
253,253,-4.954624652862549,Q1132051,False,False
1477,1477,-4.95570182800293,Q97008347,False,False
121,121,-4.961338520050049,Q105849742,False,False
57,57,-4.961908340454102,P7443,False,False
1265,1265,-4.966670036315918,Q7216427,False,False
922,922,-4.968015670776367,Q33521,False,False
917,917,-4.971599102020264,Q3331475,False,False
495,495,-4.973580360412598,Q1650915,False,False
525,525,-4.973873615264893,Q171477,False,False
101,101,-4.974044322967529,Q1053358,False,False
1432,1432,-4.974079608917236,Q880371,False,False
70,70,-4.978461265563965,Q101333,False,False
794,794,-4.979523658752441,Q25339818,False,False
1420,1420,-4.981569766998291,Q8682340,False,False
995,995,-4.982069492340088,Q41883552,False,False
185,185,-4.982838153839111,Q107381449,False,False
1222,1222,-4.98322868347168,Q6673524,False,False
250,250,-4.983287811279297,Q1130645,False,False
491,491,-4.984254360198975,Q16338,False,False
264,264,-4.985227584838867,Q1141518,False,False
1263,1263,-4.986144065856934,Q7215409,False,False
420,420,-4.986800193786621,Q13471665,False,False
1233,1233,-4.989952087402344,Q682496,False,False
1023,1023,-4.990060806274414,Q456632,False,False
1327,1327,-4.990656852722168,Q7705752,False,False
554,554,-4.991693019866943,Q177005,False,False
290,290,-4.9937920570373535,Q11660,False,False
658,658,-4.994510173797607,Q19636176,False,False
1158,1158,-4.995137691497803,Q6173448,False,False
90,90,-4.99522590637207,Q1048526,False,False
1234,1234,-4.99664306640625,Q6859388,False,False
1365,1365,-4.997126579284668,Q82571,False,False
660,660,-4.997738838195801,Q197520,False,False
1095,1095,-4.999180316925049,Q5297,False,False
297,297,-5.00011682510376,Q116950962,False,False
1012,1012,-5.001864910125732,Q4417999,False,False
559,559,-5.004634380340576,Q177929,False,False
156,156,-5.005186557769775,Q1058791,False,False
1470,1470,-5.006135940551758,Q959968,False,False
753,753,-5.008334159851074,Q22744240,False,False
2,2,-5.0110321044921875,P1032,False,False
492,492,-5.0124053955078125,Q16346,False,False
24,24,-5.0148773193359375,P2749,False,False
202,202,-5.017703056335449,Q108498206,False,False
263,263,-5.019014835357666,Q114023761,False,False
175,175,-5.019211292266846,Q107380446,False,False
643,643,-5.021067142486572,Q193321,False,False
515,515,-5.021081924438477,Q170584,False,False
573,573,-5.021233558654785,Q182598,False,False
1120,1120,-5.021340847015381,Q55933668,False,False
1030,1030,-5.023519039154053,Q4671286,False,False
784,784,-5.024867057800293,Q246064,False,False
1159,1159,-5.0281782150268555,Q6173703,False,False
503,503,-5.029475212097168,Q16766476,False,False
1168,1168,-5.034946441650391,Q621673,False,False
412,412,-5.03508186340332,Q1331926,False,False
951,951,-5.035828590393066,Q3570412,False,False
533,533,-5.036157131195068,Q173212,False,False
1299,1299,-5.037206649780273,Q7451191,False,False
75,75,-5.037527084350586,Q10302162,False,False
1205,1205,-5.042563438415527,Q6501338,False,False
1253,1253,-5.045244216918945,Q7112712,False,False
589,589,-5.045328617095947,Q186055,False,False
1015,1015,-5.046996116638184,Q44749723,False,False
1486,1486,-5.048918724060059,Q989632,False,False
1094,1094,-5.051316738128662,Q52948,False,False
1220,1220,-5.05499267578125,Q6661985,False,False
201,201,-5.0565361976623535,Q108496793,False,False
1487,1487,-5.056910991668701,Q991202,False,False
543,543,-5.057868003845215,Q1759786,False,False
1025,1025,-5.059640407562256,Q46094,False,False
215,215,-5.060815811157227,Q110224587,False,False
157,157,-5.06119441986084,Q1058914,False,False
1058,1058,-5.0615234375,Q489709,False,False
1179,1179,-5.061643123626709,Q6284201,False,False
129,129,-5.062291622161865,Q105850048,False,False
1092,1092,-5.063694477081299,Q5288,False,False
615,615,-5.067884922027588,Q189210,False,False
745,745,-5.068809986114502,Q2264109,False,False
1166,1166,-5.069044589996338,Q621114,False,False
210,210,-5.070315837860107,Q109558711,False,False
807,807,-5.073899269104004,Q2642629,False,False
107,107,-5.075465202331543,Q105604957,False,False
1147,1147,-5.076446056365967,Q6015447,False,False
1216,1216,-5.078832626342773,Q65938634,False,False
1385,1385,-5.0810980796813965,Q836575,False,False
283,283,-5.081535816192627,Q1156474,False,False
1288,1288,-5.085834503173828,Q736866,False,False
45,45,-5.088077068328857,P408,False,False
415,415,-5.092184066772461,Q13398782,False,False
34,34,-5.096625804901123,P348,False,False
1055,1055,-5.099822044372559,Q48522,False,False
1089,1089,-5.100732326507568,Q5249244,False,False
1478,1478,-5.102224349975586,Q97009416,False,False
696,696,-5.108519554138184,Q20825628,False,False
957,957,-5.1091814041137695,Q373045,False,False
1325,1325,-5.110689640045166,Q7663977,False,False
1154,1154,-5.1114115715026855,Q613566,False,False
1404,1404,-5.114757537841797,Q850,False,False
58,58,-5.116214752197266,P747,False,False
373,373,-5.117917537689209,Q1229611,False,False
1125,1125,-5.118056297302246,Q5653416,False,False
520,520,-5.120011329650879,Q17112054,False,False
1101,1101,-5.122264862060547,Q53755989,False,False
664,664,-5.122991561889648,Q19844913,False,False
1083,1083,-5.123317241668701,Q5155966,False,False
956,956,-5.124630928039551,Q37103,False,False
1113,1113,-5.125815391540527,Q5514059,False,False
203,203,-5.1315741539001465,Q10856233,False,False
305,305,-5.132275104522705,Q116964912,False,False
167,167,-5.132497310638428,Q1068715,False,False
789,789,-5.132840633392334,Q24803809,False,False
836,836,-5.133236885070801,Q281472,False,False
348,348,-5.134366512298584,Q1185804,False,False
1150,1150,-5.136997222900391,Q6030997,False,False
938,938,-5.13746452331543,Q3435924,False,False
1296,1296,-5.1377153396606445,Q7427918,False,False
1438,1438,-5.13803243637085,Q891723,False,False
971,971,-5.139583587646484,Q381060,False,False
14,14,-5.1401495933532715,P1547,False,False
1330,1330,-5.143409729003906,Q773196,False,False
131,131,-5.14454460144043,Q105850072,False,False
1045,1045,-5.144847869873047,Q477538,False,False
423,423,-5.145720481872559,Q1361088,False,False
1021,1021,-5.1469407081604,Q4505959,False,False
335,335,-5.147339820861816,Q11707952,False,False
1137,1137,-5.147414207458496,Q58531884,False,False
575,575,-5.147459506988525,Q183197,False,False
803,803,-5.1476287841796875,Q2600299,False,False
1361,1361,-5.148282051086426,Q82059,False,False
306,306,-5.14914083480835,Q116964913,False,False
556,556,-5.149608612060547,Q177058,False,False
42,42,-5.1505231857299805,P3985,False,False
635,635,-5.151035308837891,Q192726,False,False
1149,1149,-5.152342796325684,Q6027324,False,False
425,425,-5.1524577140808105,Q1363085,False,False
369,369,-5.157649993896484,Q1211721,False,False
296,296,-5.158544063568115,Q116937684,False,False
20,20,-5.160322189331055,P1814,False,False
473,473,-5.160524368286133,Q15548064,False,False
1244,1244,-5.161279678344727,Q7013140,False,False
1462,1462,-5.1636199951171875,Q95,False,False
1482,1482,-5.164843559265137,Q98363379,False,False
799,799,-5.165665149688721,Q2550959,False,False
1282,1282,-5.1658477783203125,Q730920,False,False
