,tail_id,score,tail_label,in_validation,in_testing
115,115,-0.31798821687698364,Q68,False,False
140,140,-0.34315189719200134,Q9143,False,False
66,66,-0.35561320185661316,Q21198,False,False
67,67,-0.3582123816013336,Q21447895,False,False
94,94,-0.35846200585365295,Q395,False,False
124,124,-0.3622693121433258,Q80006,False,False
130,130,-0.362456351518631,Q8366,False,False
108,108,-0.3667190670967102,Q5862903,False,False
96,96,-0.3702159523963928,Q42848,False,False
18,18,-0.3702724874019623,Q1406,False,False
41,41,-0.37053680419921875,Q179310,False,False
35,35,-0.3784891664981842,Q175263,False,False
128,128,-0.3814855217933655,Q827335,False,False
139,139,-0.383419394493103,Q9135,False,False
54,54,-0.38401150703430176,Q190087,False,False
61,61,-0.3847750723361969,Q205084,False,False
64,64,-0.38740405440330505,Q208042,False,False
93,93,-0.3881804645061493,Q388,False,False
38,38,-0.3910042941570282,Q176645,False,False
110,110,-0.3915996253490448,Q6173448,False,False
91,91,-0.39428237080574036,Q341,False,False
144,144,-0.39481568336486816,Q965769,False,False
83,83,-0.395023912191391,Q28865,False,False
97,97,-0.3960247337818146,Q43260,False,False
62,62,-0.3967382609844208,Q206904,False,False
17,17,-0.3968343734741211,Q131476,False,False
37,37,-0.39695826172828674,Q176623,False,False
104,104,-0.3978382349014282,Q4798119,False,False
49,49,-0.39826032519340515,Q186152,False,False
25,25,-0.39902037382125854,Q15855099,False,False
1,1,-0.39920422434806824,Q1047113,False,False
71,71,-0.4004295766353607,Q23542287,False,False
134,134,-0.4016423523426056,Q85810444,False,False
19,19,-0.40262994170188904,Q141488,False,False
103,103,-0.4033305048942566,Q4778968,False,False
39,39,-0.40339091420173645,Q1770325,False,False
57,57,-0.4041047692298889,Q193076,False,False
89,89,-0.4042685627937317,Q333464,False,False
70,70,-0.40437832474708557,Q232661,False,False
90,90,-0.4056489169597626,Q334384,False,False
12,12,-0.4077792465686798,Q12483,False,False
111,111,-0.40793851017951965,Q622825,False,False
47,47,-0.40805134177207947,Q185612,False,False
107,107,-0.40818026661872864,Q583461,False,False
44,44,-0.40836092829704285,Q18395344,False,False
117,117,-0.40892493724823,Q735441,False,False
32,32,-0.4098295271396637,Q17146476,False,False
74,74,-0.4103498160839081,Q23808,False,False
95,95,-0.4103831350803375,Q3968,False,False
33,33,-0.4106837213039398,Q172491,False,False
23,23,-0.4114682078361511,Q149972,False,False
82,82,-0.4114755690097809,Q28470421,False,False
84,84,-0.4118947982788086,Q29120,False,False
36,36,-0.4122103750705719,Q176452,False,False
60,60,-0.41235607862472534,Q200125,False,False
92,92,-0.41295623779296875,Q380172,False,False
69,69,-0.4130629599094391,Q2267705,False,False
123,123,-0.41318413615226746,Q79872,False,False
40,40,-0.4135400652885437,Q177929,False,False
11,11,-0.4137458801269531,Q121416,False,False
85,85,-0.4140017330646515,Q3050461,False,False
109,109,-0.4145094156265259,Q60165325,False,False
