,tail_id,score,tail_label,in_validation,in_testing
320,320,153.72695922851562,Q116964933,False,False
531,531,130.8584442138672,Q173142,False,False
564,564,128.06285095214844,Q179976,False,False
132,132,123.59992980957031,Q105850107,False,False
942,942,118.2514877319336,Q3509055,False,False
1026,1026,117.95326232910156,Q461183,False,False
243,243,115.18917846679688,Q112702082,False,False
1188,1188,111.80589294433594,Q633894,False,False
1343,1343,109.87515258789062,Q806737,False,False
54,54,109.80427551269531,P6823,False,False
1086,1086,107.21791076660156,Q5159109,False,False
1246,1246,106.10749816894531,Q7032352,False,False
793,793,105.43988037109375,Q2526135,False,False
508,508,105.37913513183594,Q16965428,False,False
603,603,103.68057250976562,Q1879820,False,False
121,121,102.88021850585938,Q105849742,False,False
289,289,97.52214813232422,Q1164918,False,False
1100,1100,94.27920532226562,Q53755957,False,False
1389,1389,93.95832061767578,Q840540,False,False
483,483,91.52774047851562,Q15855099,False,False
902,902,90.72955322265625,Q322202,False,False
677,677,90.26077270507812,Q2041543,False,False
1391,1391,89.45767211914062,Q842433,False,False
406,406,88.05762481689453,Q13199995,False,False
685,685,87.34856414794922,Q206904,False,False
393,393,86.4773941040039,Q128392,False,False
321,321,86.17090606689453,Q116964934,False,False
363,363,86.02285766601562,Q12015335,False,False
743,743,85.20720672607422,Q223655,False,False
120,120,84.8113784790039,Q105849736,False,False
358,358,84.03236389160156,Q1192971,False,False
518,518,83.43726348876953,Q1709010,False,False
326,326,83.21931457519531,Q116964941,False,False
1302,1302,82.6978988647461,Q7480464,False,False
623,623,82.30027770996094,Q1900326,False,False
446,446,81.28793334960938,Q1418502,False,False
327,327,79.65951538085938,Q116964942,False,False
100,100,79.36093139648438,Q105311707,False,False
1131,1131,78.567138671875,Q5752075,False,False
761,761,78.44046783447266,Q232661,False,False
304,304,78.43040466308594,Q116952787,False,False
1471,1471,78.12165832519531,Q962139,False,False
1023,1023,77.6910400390625,Q456632,False,False
1182,1182,77.53683471679688,Q63084966,False,False
486,486,75.03387451171875,Q15976092,False,False
403,403,74.82180786132812,Q131200,False,False
