,tail_id,score,tail_label,in_validation,in_testing
707,707,-0.8159270286560059,Q21198,True,False
979,979,-0.9266715049743652,Q395,False,False
1447,1447,-0.9670923352241516,Q9143,False,False
540,540,-0.9725853204727173,Q175263,False,False
1292,1292,-1.020021677017212,Q7397,False,False
685,685,-1.0525789260864258,Q206904,False,False
918,918,-1.0552821159362793,Q333464,False,False
791,791,-1.0662262439727783,Q251,False,False
1000,1000,-1.0759646892547607,Q42848,False,False
1405,1405,-1.0857359170913696,Q8513,False,False
1347,1347,-1.0864791870117188,Q80993,False,False
798,798,-1.0907859802246094,Q2539,False,False
582,582,-1.113830327987671,Q184754,False,False
372,372,-1.1363866329193115,Q121416,False,False
546,546,-1.1390831470489502,Q176452,False,False
1446,1446,-1.1414562463760376,Q9135,False,False
547,547,-1.1490693092346191,Q176623,False,False
1317,1317,-1.1563338041305542,Q7600677,False,False
72,72,-1.1568045616149902,Q1026367,False,False
464,464,-1.160433053970337,Q149972,False,False
490,490,-1.1747946739196777,Q163310,False,False
394,394,-1.1809537410736084,Q128570,False,False
1344,1344,-1.1907706260681152,Q8078,False,False
857,857,-1.2005457878112793,Q28865,False,False
761,761,-1.2030143737792969,Q232661,False,False
624,624,-1.2074346542358398,Q190087,False,False
1365,1365,-1.210616111755371,Q82571,False,False
443,443,-1.2141677141189575,Q141488,False,False
499,499,-1.230217695236206,Q166142,False,False
399,399,-1.2314172983169556,Q1301371,False,False
1013,1013,-1.2339344024658203,Q44337,False,False
636,636,-1.2382276058197021,Q192776,False,False
562,562,-1.2417306900024414,Q179310,False,False
889,889,-1.2470602989196777,Q30642,False,False
586,586,-1.2520713806152344,Q185612,False,False
281,281,-1.25407075881958,Q115564437,False,False
1339,1339,-1.2549221515655518,Q79872,False,False
714,714,-1.2595176696777344,Q21447895,False,False
1032,1032,-1.2643661499023438,Q467731,False,False
589,589,-1.2645535469055176,Q186055,False,False
883,883,-1.2690315246582031,Q3050461,False,False
236,236,-1.272465705871582,Q11216,False,False
524,524,-1.2810215950012207,Q17146476,False,False
605,605,-1.28534996509552,Q188522,False,False
866,866,-1.285691738128662,Q29120,False,False
846,846,-1.2884488105773926,Q28470421,False,False
1360,1360,-1.2949106693267822,Q818888,False,False
1324,1324,-1.2955050468444824,Q76592,False,False
1412,1412,-1.295807123184204,Q858810,False,False
688,688,-1.3029749393463135,Q207434,False,False
379,379,-1.304903268814087,Q12503,False,False
1425,1425,-1.3093926906585693,Q874709,False,False
1065,1065,-1.3101840019226074,Q494756,False,False
494,494,-1.3135931491851807,Q1635410,False,False
919,919,-1.3156869411468506,Q334384,False,False
564,564,-1.319674015045166,Q179976,False,False
694,694,-1.3253659009933472,Q208042,False,False
1326,1326,-1.3263285160064697,Q7673435,False,False
648,648,-1.3263564109802246,Q19399674,False,False
583,583,-1.3311071395874023,Q184793,False,False
274,274,-1.3334704637527466,Q1152135,False,False
771,771,-1.3356497287750244,Q23793561,False,False
1056,1056,-1.3357717990875244,Q486902,False,False
927,927,-1.338642954826355,Q33742,False,False
1136,1136,-1.3395699262619019,Q583461,False,False
349,349,-1.343243956565857,Q11862829,False,False
1051,1051,-1.344693899154663,Q4798119,False,False
498,498,-1.3463294506072998,Q165436,False,False
1193,1193,-1.3511850833892822,Q638608,False,False
568,568,-1.3530529737472534,Q180634,False,False
1430,1430,-1.3542323112487793,Q8789,False,False
1337,1337,-1.359439492225647,Q79798,False,False
1394,1394,-1.3611674308776855,Q844718,False,False
977,977,-1.3643571138381958,Q388,False,False
792,792,-1.3685991764068604,Q251212,False,False
1421,1421,-1.3690706491470337,Q868299,False,False
641,641,-1.3708174228668213,Q193076,False,False
1042,1042,-1.371309757232666,Q47607,False,False
1396,1396,-1.3726197481155396,Q845566,False,False
723,723,-1.3744666576385498,Q216601,False,False
748,748,-1.3756314516067505,Q2267705,False,False
530,530,-1.3760738372802734,Q172491,False,False
1041,1041,-1.3761464357376099,Q47506,False,False
1428,1428,-1.3790605068206787,Q877977,False,False
380,380,-1.3798956871032715,Q12525525,False,False
232,232,-1.3876553773880005,Q11205,False,False
533,533,-1.3973183631896973,Q173212,False,False
1411,1411,-1.4003095626831055,Q85810444,False,False
496,496,-1.4035632610321045,Q165194,False,False
908,908,-1.40683114528656,Q3257930,False,False
983,983,-1.4085214138031006,Q3968,False,False
519,519,-1.4091973304748535,Q170978,False,False
293,293,-1.4115850925445557,Q116777014,False,False
571,571,-1.4166537523269653,Q18209310,False,False
478,478,-1.416952133178711,Q15777,False,False
716,716,-1.4170267581939697,Q214526,False,False
1003,1003,-1.4179458618164062,Q43260,False,False
549,549,-1.4274890422821045,Q176645,False,True
832,832,-1.4275243282318115,Q27948,False,False
1174,1174,-1.4282329082489014,Q623950,False,False
622,622,-1.4340403079986572,Q189900,False,False
559,559,-1.4365239143371582,Q177929,False,False
1373,1373,-1.4374580383300781,Q827335,False,False
905,905,-1.4427375793457031,Q3240252,False,False
855,855,-1.4434025287628174,Q2878974,False,False
555,555,-1.4434447288513184,Q1770325,False,False
806,806,-1.4453094005584717,Q264164,False,False
86,86,-1.4479719400405884,Q1047113,False,False
1379,1379,-1.4642071723937988,Q831366,False,False
1419,1419,-1.4671852588653564,Q865760,False,False
769,769,-1.467297911643982,Q2374463,False,False
747,747,-1.4683740139007568,Q22673982,False,False
944,944,-1.4685255289077759,Q3510521,False,False
590,590,-1.4715220928192139,Q186152,False,False
938,938,-1.472585916519165,Q3435924,False,False
483,483,-1.4737374782562256,Q15855099,False,False
821,821,-1.4779126644134521,Q272404,False,False
1047,1047,-1.4821374416351318,Q4778968,False,False
620,620,-1.482241153717041,Q189439,False,False
548,548,-1.4834548234939575,Q176640,False,False
278,278,-1.4853780269622803,Q11538,False,False
909,909,-1.485434651374817,Q327069,False,False
776,776,-1.48635995388031,Q2407,False,False
1287,1287,-1.4868894815444946,Q735441,False,False
560,560,-1.4873371124267578,Q178377,False,False
259,259,-1.4902180433273315,Q113660857,False,False
615,615,-1.4910252094268799,Q189210,False,False
790,790,-1.4919168949127197,Q2493,False,False
829,829,-1.492912769317627,Q275603,False,False
378,378,-1.5097187757492065,Q12483,True,False
510,510,-1.5233283042907715,Q170058,False,False
1016,1016,-1.525970458984375,Q4479242,False,False
650,650,-1.5273758172988892,Q194152,False,False
1307,1307,-1.5336346626281738,Q752532,False,False
276,276,-1.5398415327072144,Q1152399,False,False
89,89,-1.540062665939331,Q104851,False,False
78,78,-1.5412909984588623,Q1034415,False,False
1037,1037,-1.5423216819763184,Q47146,False,False
828,828,-1.547953724861145,Q275596,False,False
1052,1052,-1.5490254163742065,Q483130,False,False
952,952,-1.549503207206726,Q363874,False,False
634,634,-1.5583667755126953,Q192588,False,False
695,695,-1.5587482452392578,Q208163,False,False
1170,1170,-1.5598483085632324,Q622825,False,False
1206,1206,-1.563317060470581,Q6504956,False,False
275,275,-1.5684442520141602,Q115215420,False,False
1454,1454,-1.5709733963012695,Q926821,False,False
767,767,-1.5841107368469238,Q23542287,False,False
1378,1378,-1.5859769582748413,Q830687,False,False
867,867,-1.5861454010009766,Q2914952,False,False
552,552,-1.5874323844909668,Q176769,False,False
874,874,-1.5878925323486328,Q2974105,False,False
1023,1023,-1.5890746116638184,Q456632,False,False
640,640,-1.5937156677246094,Q193040,False,False
578,578,-1.5960876941680908,Q18395344,False,False
1476,1476,-1.5961012840270996,Q965769,False,False
553,553,-1.5973999500274658,Q176953,False,False
708,708,-1.5980949401855469,Q212108,False,False
458,458,-1.60495924949646,Q1465654,False,False
1148,1148,-1.6057133674621582,Q60165325,False,False
619,619,-1.608797550201416,Q189436,False,False
878,878,-1.6178255081176758,Q30232,False,False
772,772,-1.6213483810424805,Q23808,False,False
1057,1057,-1.6237473487854004,Q48703087,False,False
1384,1384,-1.624314785003662,Q835922,False,False
1392,1392,-1.6287834644317627,Q844240,False,False
661,661,-1.6323857307434082,Q197536,False,False
1165,1165,-1.6348145008087158,Q620615,False,False
1071,1071,-1.6405653953552246,Q50423863,False,False
80,80,-1.6427613496780396,Q103701642,False,False
1381,1381,-1.6454094648361206,Q831672,False,False
1291,1291,-1.6462757587432861,Q7388648,False,False
255,255,-1.6512980461120605,Q1132755,False,False
1274,1274,-1.654409646987915,Q724168,False,False
1149,1149,-1.6570444107055664,Q6027324,False,False
988,988,-1.6596726179122925,Q403574,False,False
1398,1398,-1.6603909730911255,Q846636,False,False
1169,1169,-1.6701538562774658,Q621751,False,False
393,393,-1.672173023223877,Q128392,False,False
264,264,-1.673272967338562,Q1141518,False,False
702,702,-1.675369381904602,Q210832,False,False
408,408,-1.6754124164581299,Q132364,False,False
1322,1322,-1.679350733757019,Q764810,False,False
84,84,-1.684482216835022,Q104659521,False,False
1239,1239,-1.6852524280548096,Q7003418,False,False
960,960,-1.6858913898468018,Q37437,False,False
1091,1091,-1.6891586780548096,Q5282087,False,False
261,261,-1.689950942993164,Q11368,False,False
532,532,-1.6903376579284668,Q173156,False,False
457,457,-1.6919405460357666,Q14656,False,False
743,743,-1.6921699047088623,Q223655,False,False
1346,1346,-1.6930193901062012,Q8087,False,False
665,665,-1.6997489929199219,Q1988917,False,False
969,969,-1.699995517730713,Q380679,False,False
1409,1409,-1.7024221420288086,Q857102,False,False
805,805,-1.7025034427642822,Q2631895,False,False
741,741,-1.7050851583480835,Q223335,False,False
269,269,-1.7077054977416992,Q11456,False,False
783,783,-1.712904453277588,Q245748,False,False
816,816,-1.720353603363037,Q27058,False,False
1443,1443,-1.7240936756134033,Q907375,False,False
581,581,-1.724362850189209,Q184609,False,False
1097,1097,-1.7244189977645874,Q5300,False,False
1440,1440,-1.7249037027359009,Q897511,False,False
442,442,-1.7278746366500854,Q1414548,False,False
935,935,-1.7290675640106201,Q341,False,False
968,968,-1.7320642471313477,Q380172,False,False
1225,1225,-1.7351100444793701,Q671298,False,False
267,267,-1.7351911067962646,Q1143367,False,False
377,377,-1.7355796098709106,Q12482,False,False
700,700,-1.740304946899414,Q2089905,False,False
1310,1310,-1.7457647323608398,Q755662,False,False
1117,1117,-1.7522341012954712,Q55624999,False,False
784,784,-1.7531813383102417,Q246064,False,False
965,965,-1.7537950277328491,Q378859,False,False
1383,1383,-1.7543656826019287,Q833585,False,False
1408,1408,-1.7548787593841553,Q856741,False,False
939,939,-1.7569046020507812,Q3478658,False,False
156,156,-1.7592265605926514,Q1058791,False,False
438,438,-1.7605197429656982,Q1406,False,False
462,462,-1.763734221458435,Q1475717,False,False
76,76,-1.7639966011047363,Q10322548,False,False
95,95,-1.7712013721466064,Q1051282,False,False
213,213,-1.7712552547454834,Q11012,False,False
1028,1028,-1.7716071605682373,Q465274,False,False
1349,1349,-1.78090238571167,Q812534,False,False
604,604,-1.7814781665802002,Q188267,False,False
1030,1030,-1.7817130088806152,Q4671286,False,False
736,736,-1.7827675342559814,Q220644,False,False
1049,1049,-1.7872283458709717,Q478798,False,False
447,447,-1.7887766361236572,Q1426863,False,False
957,957,-1.7915029525756836,Q373045,False,False
1388,1388,-1.7915972471237183,Q839721,False,False
958,958,-1.7936747074127197,Q374040,False,False
635,635,-1.7951374053955078,Q192726,False,False
475,475,-1.7987439632415771,Q15563228,False,False
350,350,-1.8020308017730713,Q1186723,False,False
575,575,-1.8058881759643555,Q183197,False,False
1460,1460,-1.8069074153900146,Q944,False,False
668,668,-1.8128259181976318,Q2005,False,False
551,551,-1.8146880865097046,Q176737,False,False
744,744,-1.8154512643814087,Q224055,False,False
1087,1087,-1.8160860538482666,Q5227391,False,False
376,376,-1.8182966709136963,Q12479,False,False
717,717,-1.8221549987792969,Q215206,False,False
491,491,-1.824610948562622,Q16338,False,False
1116,1116,-1.8309508562088013,Q555032,False,False
537,537,-1.831604242324829,Q174666,False,False
824,824,-1.833589792251587,Q272735,False,False
671,671,-1.837209701538086,Q201339,False,False
924,924,-1.8376381397247314,Q336,False,False
1358,1358,-1.844409704208374,Q816826,False,False
1158,1158,-1.8555370569229126,Q6173448,False,False
163,163,-1.8595069646835327,Q1066228,False,False
782,782,-1.8595690727233887,Q245652,False,False
437,437,-1.8604010343551636,Q1401416,False,False
1223,1223,-1.8651697635650635,Q66747126,False,False
987,987,-1.8682773113250732,Q40056,False,False
1053,1053,-1.8757426738739014,Q483639,False,False
819,819,-1.876785397529602,Q271680,False,False
721,721,-1.87764573097229,Q21652121,False,False
77,77,-1.8805108070373535,Q10336440,False,False
1072,1072,-1.880580186843872,Q504353,False,False
673,673,-1.8861334323883057,Q202843,False,False
877,877,-1.8863784074783325,Q302088,False,False
1294,1294,-1.8875172138214111,Q740970,False,False
161,161,-1.8890080451965332,Q1064412,False,False
880,880,-1.8911073207855225,Q30267,False,False
410,410,-1.8981986045837402,Q132874,False,False
1231,1231,-1.8988139629364014,Q677051,False,False
381,381,-1.905151128768921,Q1254373,False,False
355,355,-1.9124161005020142,Q11917068,False,False
1272,1272,-1.9187250137329102,Q723897,False,False
630,630,-1.918813943862915,Q1914636,False,False
1481,1481,-1.9195537567138672,Q9820,False,False
1433,1433,-1.9216899871826172,Q8811,False,False
1171,1171,-1.9226223230361938,Q622849,False,False
1470,1470,-1.9232006072998047,Q959968,False,False
526,526,-1.9241347312927246,Q17155032,False,False
208,208,-1.928846001625061,Q1087987,False,False
692,692,-1.9301142692565918,Q20789991,False,False
638,638,-1.9314203262329102,Q192903,False,False
1218,1218,-1.932849407196045,Q660848,False,False
1305,1305,-1.932898759841919,Q751436,False,False
997,997,-1.932969331741333,Q420904,False,False
474,474,-1.9351211786270142,Q15548076,False,False
1162,1162,-1.9353251457214355,Q619942,False,False
1375,1375,-1.9356422424316406,Q829546,False,False
1486,1486,-1.9369821548461914,Q989632,False,False
1464,1464,-1.9370462894439697,Q950250,False,False
