,tail_id,score,tail_label,in_validation,in_testing
979,979,0.5448570847511292,Q395,False,False
1447,1447,0.5187086462974548,Q9143,False,False
707,707,0.4981813430786133,Q21198,True,False
1392,1392,0.495978444814682,Q844240,False,False
791,791,0.45908018946647644,Q251,False,False
540,540,0.42598187923431396,Q175263,False,False
1456,1456,0.41839325428009033,Q93312,False,False
855,855,0.40834423899650574,Q2878974,False,False
1032,1032,0.404659241437912,Q467731,False,False
685,685,0.383788526058197,Q206904,False,False
464,464,0.3789025545120239,Q149972,False,False
668,668,0.37632712721824646,Q2005,False,False
72,72,0.3691355884075165,Q1026367,False,False
536,536,0.3685784339904785,Q1744628,False,False
1309,1309,0.3647780120372772,Q7553,False,False
1477,1477,0.3632138967514038,Q97008347,False,False
1405,1405,0.36035871505737305,Q8513,False,False
1270,1270,0.3579004406929016,Q72287460,False,False
1304,1304,0.35464560985565186,Q75,False,False
1291,1291,0.3537442088127136,Q7388648,False,False
524,524,0.34930750727653503,Q17146476,False,False
519,519,0.33252379298210144,Q170978,False,False
947,947,0.33221569657325745,Q352090,False,False
549,549,0.32970768213272095,Q176645,False,True
889,889,0.32640311121940613,Q30642,False,False
977,977,0.32616493105888367,Q388,False,False
532,532,0.3247350752353668,Q173156,False,False
241,241,0.3225351572036743,Q112661240,False,False
217,217,0.3186342120170593,Q11024,False,False
1292,1292,0.3180277645587921,Q7397,False,False
1041,1041,0.3154301047325134,Q47506,False,False
1454,1454,0.3139851689338684,Q926821,False,False
805,805,0.3096080422401428,Q2631895,False,False
748,748,0.3058537244796753,Q2267705,False,False
552,552,0.3039388358592987,Q176769,False,False
1430,1430,0.30066561698913574,Q8789,False,False
1252,1252,0.3003634512424469,Q7112560,False,False
1128,1128,0.29395943880081177,Q568742,False,False
499,499,0.29361632466316223,Q166142,False,False
1438,1438,0.2921036183834076,Q891723,False,False
75,75,0.2916682958602905,Q10302162,False,False
395,395,0.29043206572532654,Q128751,False,False
106,106,0.28992751240730286,Q105514255,False,False
1025,1025,0.28516119718551636,Q46094,False,False
1146,1146,0.28500980138778687,Q599384,False,False
209,209,0.28360259532928467,Q108928644,False,False
490,490,0.28273260593414307,Q163310,False,False
1361,1361,0.2827306091785431,Q82059,False,False
983,983,0.27861714363098145,Q3968,False,False
945,945,0.27733591198921204,Q35127,False,False
256,256,0.27366960048675537,Q113364611,False,False
1231,1231,0.2733548581600189,Q677051,False,False
1061,1061,0.2708635926246643,Q49415204,False,False
1166,1166,0.26943662762641907,Q621114,False,False
76,76,0.2693561017513275,Q10322548,False,False
1428,1428,0.2683628797531128,Q877977,False,False
1022,1022,0.2656919062137604,Q451553,False,False
404,404,0.26377755403518677,Q131222,False,False
665,665,0.26267528533935547,Q1988917,False,False
1013,1013,0.2603367865085602,Q44337,False,False
737,737,0.25767961144447327,Q22073956,False,False
1406,1406,0.2566213309764862,Q8527505,False,False
86,86,0.255020409822464,Q1047113,False,False
1439,1439,0.2549667954444885,Q895726,False,False
1190,1190,0.25401389598846436,Q635346,False,False
332,332,0.25375866889953613,Q116964947,False,False
663,663,0.25369560718536377,Q19838870,False,False
688,688,0.25188273191452026,Q207434,False,False
816,816,0.24797502160072327,Q27058,False,False
752,752,0.24795891344547272,Q22725,False,False
214,214,0.24442864954471588,Q11016,False,False
432,432,0.24424344301223755,Q1376021,False,False
1240,1240,0.24329876899719238,Q7003976,False,False
616,616,0.2426116019487381,Q18922260,False,False
842,842,0.2409599870443344,Q2835898,False,False
555,555,0.23779091238975525,Q1770325,False,False
2,2,0.23578917980194092,P1032,False,False
511,511,0.23555074632167816,Q17008256,False,False
113,113,0.23520268499851227,Q105849630,False,False
202,202,0.23500044643878937,Q108498206,False,False
30,30,0.23482459783554077,P306,False,False
747,747,0.2342676967382431,Q22673982,False,False
961,961,0.23423649370670319,Q374814,False,False
527,527,0.23331646621227264,Q17155144,False,False
962,962,0.23324768245220184,Q3751111,False,False
446,446,0.23182563483715057,Q1418502,False,False
997,997,0.23151567578315735,Q420904,False,False
349,349,0.22984792292118073,Q11862829,False,False
1149,1149,0.22905641794204712,Q6027324,False,False
1233,1233,0.2280607372522354,Q682496,False,False
547,547,0.2280246615409851,Q176623,False,False
394,394,0.2266971468925476,Q128570,False,False
466,466,0.22625984251499176,Q1503724,False,False
794,794,0.22603075206279755,Q25339818,False,False
988,988,0.22587379813194275,Q403574,False,False
919,919,0.22554460167884827,Q334384,False,False
61,61,0.22547085583209991,P856,False,False
440,440,0.22416222095489502,Q14116,False,False
1446,1446,0.2224932610988617,Q9135,False,False
896,896,0.22238770127296448,Q30942,False,False
169,169,0.22149652242660522,Q1070689,False,False
1266,1266,0.21940352022647858,Q7216428,False,False
892,892,0.21920183300971985,Q30826373,False,False
512,512,0.21910397708415985,Q17012245,False,False
1092,1092,0.21894600987434387,Q5288,False,False
257,257,0.21603839099407196,Q113403137,False,False
364,364,0.21598197519779205,Q12017866,False,False
713,713,0.2157607227563858,Q2144513,False,False
1347,1347,0.21522043645381927,Q80993,False,False
717,717,0.21395060420036316,Q215206,False,False
263,263,0.21317067742347717,Q114023761,False,False
548,548,0.21285396814346313,Q176640,False,False
744,744,0.2116803377866745,Q224055,False,False
1294,1294,0.2109445035457611,Q740970,False,False
551,551,0.21075884997844696,Q176737,False,False
33,33,0.21062253415584564,P3463,False,False
