,tail_id,score,tail_label,in_validation,in_testing
386,386,3.1462152004241943,Q1271424,False,False
911,911,3.1462152004241943,Q3273595,False,False
672,672,3.1462152004241943,Q202400,False,False
1390,1390,3.1462152004241943,Q8418499,False,False
1208,1208,3.1462152004241943,Q65066631,False,False
1351,1351,3.1462152004241943,Q8134,False,False
627,627,3.1462152004241943,Q190524,False,False
1410,1410,3.1462152004241943,Q858065,False,False
1,1,3.1462152004241943,P101,False,False
984,984,3.1462152004241943,Q39680,False,False
1251,1251,3.1462152004241943,Q710266,False,False
527,527,3.1462152004241943,Q17155144,False,False
50,50,3.1462152004241943,P527,False,False
906,906,3.1462152004241943,Q3245113,False,False
319,319,3.1462152004241943,Q116964932,False,False
966,966,3.1462152004241943,Q379626,False,False
1267,1267,3.1462152004241943,Q7217021,False,False
842,842,3.1462152004241943,Q2835898,False,False
87,87,3.1462152004241943,Q1047554,False,False
931,931,3.1462152004241943,Q34010,False,False
433,433,3.1462152004241943,Q1378470,False,False
1211,1211,3.1462152004241943,Q6554356,False,False
425,425,3.1462152004241943,Q1363085,False,False
418,418,3.1462152004241943,Q13425103,False,False
421,421,3.1462152004241943,Q1356176,False,False
180,180,3.1462152004241943,Q107381180,False,False
1358,1358,3.1462152004241943,Q816826,False,False
339,339,3.1462152004241943,Q117286419,False,False
77,77,3.1462152004241943,Q10336440,False,False
509,509,3.1462152004241943,Q16980,False,False
880,880,3.1462152004241943,Q30267,False,False
893,893,3.1462152004241943,Q3087440,False,False
73,73,3.1462152004241943,Q1026626,False,False
429,429,3.1462152004241943,Q1366323,False,False
671,671,3.1462152004241943,Q201339,False,False
338,338,3.1462152004241943,Q117246174,False,False
1383,1383,3.1462152004241943,Q833585,False,False
511,511,3.1462152004241943,Q17008256,False,False
1165,1165,3.1462152004241943,Q620615,False,False
209,209,3.1462152004241943,Q108928644,False,False
838,838,3.1462152004241943,Q28194277,False,False
381,381,3.1462152004241943,Q1254373,False,False
284,284,3.1462152004241943,Q115661535,False,False
1269,1269,3.1462152004241943,Q722659,False,False
1111,1111,3.1462152004241943,Q55080113,False,False
928,928,3.1462152004241943,Q338047,False,False
929,929,3.1462152004241943,Q339072,False,False
696,696,3.1462152004241943,Q20825628,False,False
1082,1082,3.1462152004241943,Q513861,False,False
274,274,3.1462152004241943,Q1152135,False,False
791,791,3.1462152004241943,Q251,False,False
1057,1057,3.1462152004241943,Q48703087,False,False
789,789,3.1462152004241943,Q24803809,False,False
1077,1077,3.1462152004241943,Q5082128,False,False
483,483,3.1462152004241943,Q15855099,False,False
1307,1307,3.1462152004241943,Q752532,False,False
