,tail_id,score,tail_label,in_validation,in_testing
3,3,-4.149023532867432,P1068,False,False
824,824,-4.192179203033447,Q272735,False,False
855,855,-4.202676773071289,Q2878974,False,False
348,348,-4.220705986022949,Q1185804,False,False
690,690,-4.220857620239258,Q207527,False,False
43,43,-4.222662925720215,P400,False,False
355,355,-4.23382043838501,Q11917068,False,False
298,298,-4.239867687225342,Q116950963,False,False
380,380,-4.262320518493652,Q12525525,False,False
190,190,-4.264431953430176,Q107381460,False,False
174,174,-4.266332626342773,Q107370376,False,False
119,119,-4.268003940582275,Q105849724,False,False
197,197,-4.269003391265869,Q1078276,False,False
131,131,-4.281394004821777,Q105850072,False,False
1051,1051,-4.300371170043945,Q4798119,False,False
1099,1099,-4.303636074066162,Q534112,False,False
806,806,-4.309061050415039,Q264164,False,False
1303,1303,-4.3111958503723145,Q7485141,False,False
1427,1427,-4.3112406730651855,Q8759226,False,False
1203,1203,-4.313579082489014,Q649732,False,False
1435,1435,-4.3162336349487305,Q8866889,False,False
145,145,-4.320309638977051,Q105850634,False,False
189,189,-4.321778297424316,Q107381459,False,False
385,385,-4.322015762329102,Q1268980,False,False
156,156,-4.325754642486572,Q1058791,False,False
19,19,-4.3278727531433105,P18,False,False
424,424,-4.329064846038818,Q1362688,False,False
339,339,-4.331292152404785,Q117286419,False,False
857,857,-4.331756591796875,Q28865,False,False
935,935,-4.333998203277588,Q341,False,False
1222,1222,-4.334395408630371,Q6673524,False,False
309,309,-4.3376851081848145,Q116964918,False,False
1278,1278,-4.339545726776123,Q7263850,False,False
374,374,-4.344335556030273,Q1235236,False,False
1233,1233,-4.345234394073486,Q682496,False,False
1197,1197,-4.346275806427002,Q6459089,False,False
651,651,-4.348160266876221,Q1941921,False,False
530,530,-4.348357200622559,Q172491,False,False
499,499,-4.348495006561279,Q166142,False,False
185,185,-4.348598003387451,Q107381449,False,False
75,75,-4.35279655456543,Q10302162,False,False
398,398,-4.355637550354004,Q1296251,False,False
1,1,-4.361627101898193,P101,False,False
336,336,-4.3638014793396,Q1172412,False,False
160,160,-4.363875865936279,Q1063837,False,False
827,827,-4.366459369659424,Q2748079,False,False
1345,1345,-4.367581844329834,Q8084959,False,False
932,932,-4.367886543273926,Q340169,False,False
1384,1384,-4.370704174041748,Q835922,False,False
1169,1169,-4.370722770690918,Q621751,False,False
488,488,-4.379112720489502,Q161733,False,False
1450,1450,-4.380255222320557,Q9246857,False,False
927,927,-4.38279914855957,Q33742,False,False
1131,1131,-4.387711048126221,Q5752075,False,False
435,435,-4.389720439910889,Q1394144,False,False
1247,1247,-4.391891002655029,Q7035718,False,False
1134,1134,-4.393594264984131,Q579488,False,False
819,819,-4.394382953643799,Q271680,False,False
761,761,-4.395877361297607,Q232661,False,False
353,353,-4.396585464477539,Q1189746,False,False
1473,1473,-4.397110939025879,Q96273743,False,False
883,883,-4.398012161254883,Q3050461,False,False
138,138,-4.3988237380981445,Q105850495,False,False
977,977,-4.398899555206299,Q388,False,False
1100,1100,-4.398950576782227,Q53755957,False,False
1088,1088,-4.400302410125732,Q5227393,False,False
1106,1106,-4.401495456695557,Q54276825,False,False
154,154,-4.401758670806885,Q105866403,False,False
962,962,-4.401912689208984,Q3751111,False,False
1004,1004,-4.402697563171387,Q43283,False,False
142,142,-4.4029459953308105,Q105850519,False,False
179,179,-4.404336929321289,Q107381132,False,False
318,318,-4.404438495635986,Q116964929,False,False
176,176,-4.404594898223877,Q107380511,False,False
865,865,-4.407565116882324,Q29052049,False,False
187,187,-4.408259391784668,Q107381454,False,False
968,968,-4.409224510192871,Q380172,False,False
1236,1236,-4.4110822677612305,Q691652,False,False
273,273,-4.411838531494141,Q1149776,False,False
895,895,-4.411945343017578,Q309100,False,False
980,980,-4.412326335906982,Q3952330,False,False
177,177,-4.413365840911865,Q107380745,False,False
433,433,-4.413384437561035,Q1378470,False,False
246,246,-4.413996696472168,Q112889106,False,False
620,620,-4.41429328918457,Q189439,False,False
800,800,-4.415539264678955,Q2551624,False,False
642,642,-4.415594100952148,Q193231,False,False
1487,1487,-4.415757656097412,Q991202,False,False
59,59,-4.418789863586426,P8131,False,False
870,870,-4.420059680938721,Q29169143,False,False
1469,1469,-4.420955657958984,Q95972795,False,False
1444,1444,-4.42221736907959,Q908207,False,False
1060,1060,-4.4225568771362305,Q49414097,False,False
1243,1243,-4.422714710235596,Q7012659,False,False
713,713,-4.423190116882324,Q2144513,False,False
475,475,-4.423829078674316,Q15563228,False,False
1058,1058,-4.424276351928711,Q489709,False,False
1344,1344,-4.4242963790893555,Q8078,False,False
1397,1397,-4.4259490966796875,Q845739,False,False
396,396,-4.42789888381958,Q12894677,False,False
1467,1467,-4.4279465675354,Q95726734,False,False
683,683,-4.42882776260376,Q2067937,False,False
908,908,-4.429982662200928,Q3257930,False,False
1029,1029,-4.430097579956055,Q466,False,False
1066,1066,-4.430968284606934,Q494823,False,False
1196,1196,-4.431819438934326,Q6453666,False,False
632,632,-4.433335781097412,Q1924819,False,False
1216,1216,-4.4337477684021,Q65938634,False,False
779,779,-4.433794021606445,Q2424752,False,False
502,502,-4.434218883514404,Q16691,False,False
1079,1079,-4.434290409088135,Q50843083,False,False
843,843,-4.435370445251465,Q28365500,False,False
554,554,-4.435654640197754,Q177005,False,False
1038,1038,-4.435710906982422,Q47165059,False,False
1094,1094,-4.4359965324401855,Q52948,False,False
484,484,-4.436123847961426,Q15898201,False,False
1093,1093,-4.4369072914123535,Q5293,False,False
257,257,-4.438535690307617,Q113403137,False,False
127,127,-4.438638210296631,Q105849921,False,False
575,575,-4.438700199127197,Q183197,False,False
1096,1096,-4.439188480377197,Q52990223,False,False
906,906,-4.4396867752075195,Q3245113,False,False
727,727,-4.439712047576904,Q21711047,False,False
635,635,-4.440124988555908,Q192726,False,False
73,73,-4.440560340881348,Q1026626,False,False
731,731,-4.441125392913818,Q218616,False,False
777,777,-4.441381454467773,Q24070291,False,False
1366,1366,-4.4414472579956055,Q8257707,False,False
1400,1400,-4.4414753913879395,Q848010,False,False
684,684,-4.442237377166748,Q2068418,False,False
234,234,-4.442561626434326,Q11214,False,False
136,136,-4.442628383636475,Q105850478,False,False
771,771,-4.443721771240234,Q23793561,False,False
1091,1091,-4.444957733154297,Q5282087,False,False
616,616,-4.445362091064453,Q18922260,False,False
17,17,-4.446264266967773,P178,False,False
696,696,-4.446268558502197,Q20825628,False,False
