,tail_id,score,tail_label,in_validation,in_testing
90,90,-5.247160911560059,Q2539,False,False
168,168,-7.155090808868408,Q9143,False,False
128,128,-7.273748874664307,Q6504956,False,False
13,13,-7.405474662780762,Q1152135,False,False
87,87,-7.769730091094971,Q2493,False,False
21,21,-7.773122787475586,Q12479,False,False
152,152,-7.7885422706604,Q833585,False,False
121,121,-7.801364898681641,Q486902,False,False
99,99,-7.9162278175354,Q3240252,False,False
44,44,-7.927497863769531,Q172491,False,False
102,102,-8.009833335876465,Q334384,False,False
17,17,-8.018370628356934,Q116777014,False,False
46,46,-8.0209379196167,Q175263,False,False
28,28,-8.043791770935059,Q132364,False,False
103,103,-8.106871604919434,Q33742,False,False
110,110,-8.1398286819458,Q395,False,False
64,64,-8.13998794555664,Q193076,False,False
97,97,-8.143163681030273,Q30642,False,False
98,98,-8.189723014831543,Q319400,False,False
55,55,-8.20888614654541,Q184754,False,False
114,114,-8.256478309631348,Q44337,False,False
101,101,-8.262601852416992,Q333464,False,False
40,40,-8.298640251159668,Q165436,False,False
25,25,-8.320878982543945,Q128570,False,False
142,142,-8.323922157287598,Q79798,False,False
9,9,-8.332751274108887,Q11216,False,False
150,150,-8.349954605102539,Q827335,False,False
20,20,-8.373573303222656,Q121416,False,False
8,8,-8.379770278930664,Q11205,False,False
139,139,-8.406009674072266,Q76592,False,False
135,135,-8.408949851989746,Q752718,False,False
63,63,-8.465716361999512,Q192776,False,False
26,26,-8.560378074645996,Q1301371,False,False
6,6,-8.582917213439941,Q1070689,False,False
113,113,-8.585284233093262,Q43260,False,False
166,166,-8.589299201965332,Q8789,False,False
92,92,-8.59961986541748,Q275596,False,False
5,5,-8.60455322265625,Q1051282,False,False
138,138,-8.635356903076172,Q764810,False,False
164,164,-8.690183639526367,Q874709,False,False
86,86,-8.710474014282227,Q23808,False,False
112,112,-8.740469932556152,Q42848,False,False
60,60,-8.76676082611084,Q189900,False,False
12,12,-8.769004821777344,Q11476,False,False
19,19,-8.793227195739746,Q11862829,False,False
149,149,-8.797083854675293,Q82571,False,False
34,34,-8.79781436920166,Q149972,False,False
130,130,-8.816908836364746,Q729271,False,False
66,66,-8.82124137878418,Q19399674,False,False
104,104,-8.82523250579834,Q3435924,False,False
84,84,-8.835315704345703,Q2374463,False,False
61,61,-8.8800048828125,Q190087,False,False
35,35,-8.887917518615723,Q15777,False,False
89,89,-8.891932487487793,Q251212,False,False
143,143,-8.90075969696045,Q79872,False,False
156,156,-8.90161418914795,Q844240,False,False
57,57,-8.902141571044922,Q185612,False,False
42,42,-8.918890953063965,Q170978,False,False
30,30,-8.940606117248535,Q13649246,False,False
147,147,-8.941913604736328,Q80993,False,False
56,56,-8.9613676071167,Q184793,False,False
50,50,-8.962786674499512,Q178377,False,False
67,67,-8.975424766540527,Q194152,False,False
80,80,-8.976757049560547,Q224055,False,False
75,75,-8.995966911315918,Q21447895,False,False
3,3,-9.007597923278809,Q1047113,False,False
33,33,-9.040027618408203,Q1474542,False,False
23,23,-9.041918754577637,Q12503,False,False
88,88,-9.049786567687988,Q251,False,False
120,120,-9.052763938903809,Q483130,False,False
91,91,-9.05346393585205,Q27058,False,False
81,81,-9.056288719177246,Q2267705,False,False
45,45,-9.059456825256348,Q173212,False,False
83,83,-9.102459907531738,Q232661,False,False
117,117,-9.10923957824707,Q47506,False,False
162,162,-9.110237121582031,Q85810444,False,False
123,123,-9.11281681060791,Q50423863,False,False
73,73,-9.151103019714355,Q211496,False,False
96,96,-9.172205924987793,Q3050461,False,False
59,59,-9.173441886901855,Q188522,False,False
71,71,-9.180159568786621,Q207434,False,False
106,106,-9.207321166992188,Q363874,False,False
153,153,-9.233185768127441,Q835922,False,False
24,24,-9.243590354919434,Q12525525,False,False
119,119,-9.263340950012207,Q4798119,False,False
165,165,-9.282206535339355,Q877977,False,False
155,155,-9.289268493652344,Q840540,False,False
1,1,-9.31364917755127,Q1026367,False,False
148,148,-9.325794219970703,Q818888,False,False
4,4,-9.336538314819336,Q1047554,False,False
134,134,-9.352502822875977,Q752532,False,False
36,36,-9.353724479675293,Q163310,False,False
163,163,-9.38920783996582,Q868299,False,False
108,108,-9.394173622131348,Q37437,False,False
109,109,-9.403594017028809,Q388,False,False
160,160,-9.41238021850586,Q8513,False,False
39,39,-9.425902366638184,Q165194,False,False
141,141,-9.429475784301758,Q796212,False,False
14,14,-9.431916236877441,Q11538,False,False
146,146,-9.4617280960083,Q8087,False,False
52,52,-9.469983100891113,Q179976,False,False
77,77,-9.491674423217773,Q216601,False,False
47,47,-9.511707305908203,Q176452,False,False
137,137,-9.522245407104492,Q7600677,False,False
125,125,-9.528079986572266,Q583461,False,False
167,167,-9.534178733825684,Q9135,False,False
105,105,-9.550360679626465,Q3510521,False,False
70,70,-9.559613227844238,Q206904,False,False
32,32,-9.576920509338379,Q1427251,False,False
2,2,-9.580506324768066,Q1034415,False,False
158,158,-9.608733177185059,Q845566,False,False
107,107,-9.651188850402832,Q373045,False,False
43,43,-9.686248779296875,Q17146476,False,False
122,122,-9.68899154663086,Q494756,False,False
82,82,-9.69254207611084,Q2321565,False,False
136,136,-9.701025009155273,Q755662,False,False
65,65,-9.708233833312988,Q1936256,False,False
51,51,-9.721464157104492,Q179310,False,False
145,145,-9.723671913146973,Q8078,False,False
7,7,-9.73754596710205,Q11012,False,False
95,95,-9.741026878356934,Q28865,False,False
15,15,-9.741750717163086,Q115564437,False,False
10,10,-9.755656242370605,Q11368,False,False
53,53,-9.765571594238281,Q180634,False,False
127,127,-9.77717113494873,Q638608,False,False
79,79,-9.784805297851562,Q223335,False,False
93,93,-9.805456161499023,Q28470421,False,False
58,58,-9.831708908081055,Q186055,False,False
111,111,-9.836986541748047,Q3968,False,False
132,132,-9.841547012329102,Q735441,False,False
85,85,-9.864742279052734,Q23793561,False,False
