,tail_id,score,tail_label,in_validation,in_testing
979,979,-0.1468125730752945,Q395,False,False
707,707,-0.21157945692539215,Q21198,True,False
379,379,-0.24382168054580688,Q12503,False,False
380,380,-0.30505135655403137,Q12525525,False,False
1344,1344,-0.312818706035614,Q8078,False,False
1000,1000,-0.32370516657829285,Q42848,False,False
372,372,-0.3438498377799988,Q121416,False,False
232,232,-0.36722052097320557,Q11205,False,False
1360,1360,-0.36735519766807556,Q818888,False,False
716,716,-0.3896709680557251,Q214526,False,False
562,562,-0.40003982186317444,Q179310,False,False
464,464,-0.4055210053920746,Q149972,False,False
983,983,-0.41077524423599243,Q3968,False,False
547,547,-0.4220104217529297,Q176623,False,False
1447,1447,-0.4227582514286041,Q9143,False,False
1065,1065,-0.43537697196006775,Q494756,False,False
540,540,-0.4555147588253021,Q175263,False,False
1446,1446,-0.463433176279068,Q9135,False,False
1013,1013,-0.4688612222671509,Q44337,False,False
816,816,-0.4696902632713318,Q27058,False,False
1394,1394,-0.47491464018821716,Q844718,False,False
1428,1428,-0.4903234541416168,Q877977,False,False
952,952,-0.4924203157424927,Q363874,False,False
927,927,-0.5112997889518738,Q33742,False,False
1003,1003,-0.511685311794281,Q43260,False,False
1388,1388,-0.5208373665809631,Q839721,False,False
236,236,-0.5265954732894897,Q11216,False,False
938,938,-0.5271590948104858,Q3435924,False,False
622,622,-0.5281310677528381,Q189900,False,False
855,855,-0.5303824543952942,Q2878974,False,False
909,909,-0.5325205326080322,Q327069,False,False
533,533,-0.5398266315460205,Q173212,False,False
278,278,-0.5425320267677307,Q11538,False,False
548,548,-0.5425829887390137,Q176640,False,False
723,723,-0.5545545816421509,Q216601,False,False
793,793,-0.5549781322479248,Q2526135,False,False
1405,1405,-0.5591496825218201,Q8513,False,False
399,399,-0.560246467590332,Q1301371,False,False
624,624,-0.5645472407341003,Q190087,False,False
217,217,-0.5736958980560303,Q11024,False,False
546,546,-0.5737112164497375,Q176452,False,False
560,560,-0.5758068561553955,Q178377,False,False
510,510,-0.5776963233947754,Q170058,False,False
1383,1383,-0.5777305960655212,Q833585,False,False
874,874,-0.58188796043396,Q2974105,False,False
1042,1042,-0.5829372406005859,Q47607,False,False
1341,1341,-0.5832948684692383,Q80091,False,False
1317,1317,-0.589872419834137,Q7600677,False,False
376,376,-0.5906010270118713,Q12479,False,False
1373,1373,-0.596076250076294,Q827335,False,False
264,264,-0.5963469743728638,Q1141518,False,False
1365,1365,-0.5973706841468811,Q82571,False,False
77,77,-0.5978499054908752,Q10336440,False,False
261,261,-0.5984405279159546,Q11368,False,False
490,490,-0.6001572012901306,Q163310,False,False
1095,1095,-0.6051939129829407,Q5297,False,False
712,712,-0.6070331335067749,Q213092,False,False
1056,1056,-0.6111072897911072,Q486902,False,False
167,167,-0.6125105023384094,Q1068715,False,False
686,686,-0.6134302020072937,Q207011,False,False
1218,1218,-0.6152754426002502,Q660848,False,False
1389,1389,-0.6176696419715881,Q840540,False,False
1049,1049,-0.6218105554580688,Q478798,False,False
532,532,-0.6240271925926208,Q173156,False,False
78,78,-0.6241186261177063,Q1034415,False,False
590,590,-0.6241598725318909,Q186152,False,False
1400,1400,-0.6276522278785706,Q848010,False,False
1282,1282,-0.6283695697784424,Q730920,False,False
700,700,-0.6284852027893066,Q2089905,False,False
993,993,-0.6320256590843201,Q41689629,False,False
620,620,-0.6331558227539062,Q189439,False,False
1322,1322,-0.6341591477394104,Q764810,False,False
518,518,-0.6355868577957153,Q1709010,False,False
461,461,-0.6371937990188599,Q1474542,False,False
1358,1358,-0.6371943950653076,Q816826,False,False
425,425,-0.6392781138420105,Q1363085,False,False
84,84,-0.6395179033279419,Q104659521,False,False
1421,1421,-0.6414145231246948,Q868299,False,False
976,976,-0.6414387226104736,Q386724,False,False
1226,1226,-0.6431351900100708,Q6719052,False,False
1255,1255,-0.6462326645851135,Q7126699,False,False
7,7,-0.6470187902450562,P138,False,False
564,564,-0.6477782726287842,Q179976,False,False
435,435,-0.6479544043540955,Q1394144,False,False
1412,1412,-0.6487063765525818,Q858810,False,False
25,25,-0.6487146019935608,P275,False,False
1353,1353,-0.6488553881645203,Q814447,False,False
781,781,-0.6490969061851501,Q2453355,False,False
559,559,-0.6493510603904724,Q177929,False,False
798,798,-0.6507962346076965,Q2539,False,False
496,496,-0.6508423089981079,Q165194,False,False
766,766,-0.6511387228965759,Q23515215,False,False
1449,1449,-0.651210367679596,Q919509,False,False
377,377,-0.6517889499664307,Q12482,False,False
1086,1086,-0.6526134610176086,Q5159109,False,False
690,690,-0.6531363129615784,Q207527,False,False
747,747,-0.6560880541801453,Q22673982,False,False
821,821,-0.6565400958061218,Q272404,False,False
491,491,-0.6570882201194763,Q16338,False,False
1209,1209,-0.6591229438781738,Q6526225,False,False
1324,1324,-0.6593337655067444,Q76592,False,False
117,117,-0.6616423726081848,Q105849721,False,False
1307,1307,-0.6621002554893494,Q752532,False,False
778,778,-0.6628814935684204,Q241317,False,False
27,27,-0.6655780673027039,P287,False,False
769,769,-0.6657141447067261,Q2374463,False,False
344,344,-0.6662964820861816,Q117879,False,False
427,427,-0.667552649974823,Q13649246,False,False
1342,1342,-0.6679679751396179,Q80585,False,False
900,900,-0.6684228777885437,Q319400,False,False
653,653,-0.668792724609375,Q1948408,False,False
617,617,-0.6691253185272217,Q189224,False,False
623,623,-0.6701882481575012,Q1900326,False,False
1227,1227,-0.6703162789344788,Q6723726,False,False
743,743,-0.6709504723548889,Q223655,False,False
1072,1072,-0.6719095706939697,Q504353,False,False
988,988,-0.6720362901687622,Q403574,False,False
661,661,-0.6721199154853821,Q197536,False,False
198,198,-0.6721556782722473,Q107986267,False,False
12,12,-0.6722712516784668,P1482,False,False
1173,1173,-0.6724684238433838,Q623818,False,False
1051,1051,-0.6730203628540039,Q4798119,False,False
1346,1346,-0.6734018325805664,Q8087,False,False
499,499,-0.6743906140327454,Q166142,False,False
180,180,-0.6750738620758057,Q107381180,False,False
502,502,-0.6752588152885437,Q16691,False,False
708,708,-0.6773359775543213,Q212108,False,False
203,203,-0.6775185465812683,Q10856233,False,False
1359,1359,-0.6779382228851318,Q817862,False,False
1036,1036,-0.6782229542732239,Q47014659,False,False
776,776,-0.6784537434577942,Q2407,False,False
275,275,-0.678806483745575,Q115215420,False,False
681,681,-0.678954541683197,Q205961,False,False
466,466,-0.6790385842323303,Q1503724,False,False
992,992,-0.6804898381233215,Q4118434,False,False
144,144,-0.6806180477142334,Q105850628,False,False
944,944,-0.6819618940353394,Q3510521,False,False
1436,1436,-0.683228075504303,Q89021580,False,False
1037,1037,-0.6835677623748779,Q47146,False,False
113,113,-0.6839829087257385,Q105849630,False,False
87,87,-0.6854634881019592,Q1047554,False,False
1197,1197,-0.6855833530426025,Q6459089,False,False
586,586,-0.686084508895874,Q185612,False,False
919,919,-0.6875277161598206,Q334384,False,False
1345,1345,-0.6875457167625427,Q8084959,False,False
1321,1321,-0.6876680850982666,Q7631151,False,False
429,429,-0.6882307529449463,Q1366323,False,False
494,494,-0.6883794665336609,Q1635410,False,False
1462,1462,-0.6895501017570496,Q95,False,False
1087,1087,-0.6896640062332153,Q5227391,False,False
39,39,-0.6899175047874451,P3755,False,False
960,960,-0.690267026424408,Q37437,False,False
1292,1292,-0.6916545033454895,Q7397,False,False
172,172,-0.6918345093727112,Q10729459,False,False
276,276,-0.6918883919715881,Q1152399,False,False
34,34,-0.6921164989471436,P348,False,False
878,878,-0.6923883557319641,Q30232,False,False
780,780,-0.6924250721931458,Q2429814,False,False
368,368,-0.6924323439598083,Q12052378,False,False
1269,1269,-0.6925740838050842,Q722659,False,False
70,70,-0.6928006410598755,Q101333,False,False
578,578,-0.6928807497024536,Q18395344,False,False
258,258,-0.6930392384529114,Q113495219,False,False
792,792,-0.6937825083732605,Q251212,False,False
263,263,-0.6939067244529724,Q114023761,False,False
475,475,-0.6944645643234253,Q15563228,False,False
1387,1387,-0.6947070956230164,Q8384546,False,False
443,443,-0.6947735548019409,Q141488,False,False
228,228,-0.694976806640625,Q1116876,False,False
107,107,-0.695037841796875,Q105604957,False,False
1484,1484,-0.6955502033233643,Q98844843,False,False
1256,1256,-0.6956530809402466,Q7126717,False,False
891,891,-0.6963679194450378,Q30687244,False,False
55,55,-0.6963738203048706,P7078,False,False
569,569,-0.6965980529785156,Q181156,False,False
583,583,-0.6966757774353027,Q184793,False,False
1170,1170,-0.6966971755027771,Q622825,False,False
271,271,-0.6967073678970337,Q11476,False,False
1379,1379,-0.6978002786636353,Q831366,False,False
905,905,-0.6979020833969116,Q3240252,False,False
721,721,-0.6979185342788696,Q21652121,False,False
41,41,-0.6979204416275024,P3757,False,False
913,913,-0.698224663734436,Q327675,False,False
924,924,-0.6991073489189148,Q336,False,False
1381,1381,-0.6991369128227234,Q831672,False,False
710,710,-0.6992567181587219,Q212569,False,False
1016,1016,-0.6993610858917236,Q4479242,False,False
995,995,-0.7003724575042725,Q41883552,False,False
42,42,-0.7009549736976624,P3985,False,False
688,688,-0.7015121579170227,Q207434,False,False
483,483,-0.7020902037620544,Q15855099,False,False
1151,1151,-0.7021303772926331,Q60740481,False,False
38,38,-0.7022402286529541,P3754,False,False
654,654,-0.7025290131568909,Q1948412,False,False
665,665,-0.7030746340751648,Q1988917,False,False
824,824,-0.7030879855155945,Q272735,False,False
251,251,-0.7032374143600464,Q113127963,False,False
779,779,-0.7033350467681885,Q2424752,False,False
1339,1339,-0.7034891843795776,Q79872,False,False
230,230,-0.7035539746284485,Q111862379,False,False
876,876,-0.7037643790245056,Q30086013,False,False
880,880,-0.70482337474823,Q30267,False,False
147,147,-0.7050758004188538,Q105857730,False,False
394,394,-0.7054352164268494,Q128570,False,False
772,772,-0.7058323621749878,Q23808,False,False
248,248,-0.7059071063995361,Q112936830,False,False
829,829,-0.7061800360679626,Q275603,False,False
1153,1153,-0.7065940499305725,Q613299,False,False
