,tail_id,score,tail_label,in_validation,in_testing
798,798,-0.0,Q2539,False,False
1287,1287,-7.009937763214111,Q735441,False,False
1291,1291,-7.141055583953857,Q7388648,False,False
1347,1347,-7.2067975997924805,Q80993,False,False
919,919,-7.331894397735596,Q334384,False,False
685,685,-7.440018653869629,Q206904,False,False
1071,1071,-7.456220626831055,Q50423863,False,False
1462,1462,-7.478800296783447,Q95,False,False
1447,1447,-7.481756210327148,Q9143,False,False
857,857,-7.520846366882324,Q28865,False,False
1223,1223,-7.599702835083008,Q66747126,False,False
275,275,-7.669022560119629,Q115215420,False,False
578,578,-7.688783645629883,Q18395344,False,False
552,552,-7.694911956787109,Q176769,False,False
393,393,-7.70237922668457,Q128392,False,False
1418,1418,-7.770190715789795,Q8647009,False,False
1016,1016,-7.791008949279785,Q4479242,False,False
549,549,-7.7923994064331055,Q176645,False,True
222,222,-7.837871551513672,Q110609455,False,False
588,588,-7.859428405761719,Q1860,False,False
399,399,-7.911297798156738,Q1301371,False,False
524,524,-7.932409763336182,Q17146476,False,False
1052,1052,-7.935279846191406,Q483130,False,False
86,86,-7.945478916168213,Q1047113,False,False
648,648,-7.969047546386719,Q19399674,False,False
464,464,-7.984482288360596,Q149972,False,False
478,478,-7.984917640686035,Q15777,False,False
145,145,-7.986192226409912,Q105850634,False,False
791,791,-8.009332656860352,Q251,False,False
1419,1419,-8.013914108276367,Q865760,False,False
349,349,-8.02315616607666,Q11862829,False,False
259,259,-8.037629127502441,Q113660857,False,False
568,568,-8.038262367248535,Q180634,False,False
571,571,-8.049455642700195,Q18209310,False,False
1430,1430,-8.053306579589844,Q8789,False,False
561,561,-8.065143585205078,Q178677,False,False
132,132,-8.079708099365234,Q105850107,False,False
1057,1057,-8.081491470336914,Q48703087,False,False
267,267,-8.084541320800781,Q1143367,False,False
155,155,-8.089733123779297,Q1058754,False,False
944,944,-8.105563163757324,Q3510521,False,False
1378,1378,-8.11241340637207,Q830687,False,False
1193,1193,-8.117742538452148,Q638608,False,False
274,274,-8.120437622070312,Q1152135,False,False
883,883,-8.121297836303711,Q3050461,False,False
1446,1446,-8.123146057128906,Q9135,False,False
1087,1087,-8.128727912902832,Q5227391,False,False
494,494,-8.136454582214355,Q1635410,False,False
591,591,-8.151101112365723,Q186290,False,False
889,889,-8.180582046508789,Q30642,False,False
1085,1085,-8.197930335998535,Q5157340,False,False
695,695,-8.226370811462402,Q208163,False,False
72,72,-8.23274040222168,Q1026367,False,False
615,615,-8.240596771240234,Q189210,False,False
264,264,-8.249000549316406,Q1141518,False,False
1171,1171,-8.26138973236084,Q622849,False,False
174,174,-8.265738487243652,Q107370376,False,False
293,293,-8.267332077026367,Q116777014,False,False
317,317,-8.28506088256836,Q116964928,False,False
20,20,-8.285165786743164,P1814,False,False
647,647,-8.290472030639648,Q1936384,False,False
1043,1043,-8.296558380126953,Q4761343,False,False
