,tail_id,score,tail_label,in_validation,in_testing
1036,1036,217.2918243408203,Q47014659,False,False
597,597,186.9458770751953,Q187466,False,False
1396,1396,183.88523864746094,Q845566,False,False
1266,1266,177.91294860839844,Q7216428,False,False
288,288,176.16357421875,Q116481801,False,False
491,491,171.9477081298828,Q16338,False,False
390,390,165.94927978515625,Q1277447,False,False
782,782,162.1980438232422,Q245652,False,False
537,537,161.34295654296875,Q174666,False,False
756,756,160.49050903320312,Q23006254,False,False
753,753,156.57781982421875,Q22744240,False,False
715,715,155.7029266357422,Q2145211,False,False
397,397,155.39962768554688,Q1293908,False,False
1362,1362,154.23968505859375,Q8210921,False,False
1035,1035,154.15286254882812,Q46993707,False,False
832,832,152.71253967285156,Q27948,False,False
970,970,152.1703338623047,Q381,False,False
1231,1231,150.70802307128906,Q677051,False,False
242,242,148.23617553710938,Q112661245,False,False
110,110,144.57351684570312,Q1056451,False,False
173,173,143.60667419433594,Q107370303,False,False
429,429,142.86569213867188,Q1366323,False,False
1222,1222,141.0921630859375,Q6673524,False,False
1077,1077,140.84536743164062,Q5082128,False,False
843,843,139.45123291015625,Q28365500,False,False
1141,1141,139.0030975341797,Q59,False,False
1462,1462,138.94430541992188,Q95,False,False
707,707,138.49722290039062,Q21198,False,False
771,771,138.02894592285156,Q23793561,False,False
0,0,137.30601501464844,P10027,False,False
1461,1461,137.03500366210938,Q9492,False,False
115,115,136.37489318847656,Q105849646,False,False
1321,1321,136.0667266845703,Q7631151,False,False
36,36,135.5824737548828,P3752,False,False
1236,1236,134.7345428466797,Q691652,False,False
1127,1127,134.5073699951172,Q567759,False,False
701,701,134.3269500732422,Q209455,False,False
954,954,132.278564453125,Q366872,False,False
602,602,132.24148559570312,Q187906,False,False
1142,1142,131.7820281982422,Q5910871,False,False
1020,1020,131.11553955078125,Q45038012,False,False
33,33,130.41091918945312,P3463,False,False
1472,1472,129.8279266357422,Q96253971,False,False
1203,1203,129.49618530273438,Q649732,False,False
65,65,124.63516998291016,P9601,False,False
17,17,123.55567169189453,P178,False,False
68,68,123.3899917602539,Q1004415,False,False
11,11,121.55439758300781,P144,False,False
466,466,121.16900634765625,Q1503724,False,False
1431,1431,121.02098083496094,Q879969,False,False
1395,1395,121.0108642578125,Q845118,False,False
568,568,120.62950897216797,Q180634,False,False
442,442,120.22831726074219,Q1414548,False,False
916,916,120.1412582397461,Q331716,False,False
660,660,119.1413345336914,Q197520,False,False
1269,1269,118.70283508300781,Q722659,False,False
762,762,116.81157684326172,Q2334061,False,False
975,975,116.34613037109375,Q3867040,False,False
868,868,116.22762298583984,Q2916098,False,False
221,221,114.9540023803711,Q110558466,False,False
1360,1360,114.8905029296875,Q818888,False,False
725,725,113.994140625,Q216861,False,False
1010,1010,113.29667663574219,Q43967068,False,False
445,445,112.58489227294922,Q1416732,False,False
790,790,112.09347534179688,Q2493,False,False
648,648,111.87140655517578,Q19399674,False,False
385,385,111.64543151855469,Q1268980,False,False
1154,1154,111.53739929199219,Q613566,False,False
1186,1186,111.45138549804688,Q63087,False,False
884,884,111.20197296142578,Q30555529,False,False
377,377,110.47805786132812,Q12482,False,False
422,422,110.10176086425781,Q135707,False,False
486,486,109.4551010131836,Q15976092,False,False
891,891,108.5850601196289,Q30687244,False,False
387,387,108.17498016357422,Q12715472,False,False
481,481,108.11019134521484,Q15836568,False,False
993,993,107.55915069580078,Q41689629,False,False
320,320,107.14987182617188,Q116964933,False,False
367,367,106.34951782226562,Q120470,False,False
86,86,106.08132934570312,Q1047113,False,False
488,488,105.89691162109375,Q161733,False,False
1048,1048,104.77063751220703,Q4781497,False,False
929,929,104.07771301269531,Q339072,False,False
470,470,104.0630874633789,Q151885,False,False
689,689,102.80902099609375,Q207440,False,False
802,802,102.26116180419922,Q2555816,False,False
371,371,102.16576385498047,Q12139612,False,False
930,930,102.12232971191406,Q340,False,False
1125,1125,101.85028076171875,Q5653416,False,False
871,871,101.64027404785156,Q2919848,False,False
124,124,101.53177642822266,Q105849892,False,False
693,693,101.20267486572266,Q207977,False,False
1226,1226,100.81845092773438,Q6719052,False,False
1411,1411,100.15690612792969,Q85810444,False,False
1296,1296,99.88707733154297,Q7427918,False,False
540,540,98.72586059570312,Q175263,False,False
303,303,98.72099304199219,Q116951326,False,False
145,145,98.445068359375,Q105850634,False,False
104,104,98.06448364257812,Q1054011,False,False
