,tail_id,score,tail_label,in_validation,in_testing
1394,1394,0.6895889639854431,Q844718,False,False
662,662,0.6083894968032837,Q1981968,False,False
184,184,0.5516389012336731,Q107381446,False,False
818,818,0.5226821303367615,Q2715623,False,False
74,74,0.5108475089073181,Q1027879,False,False
1011,1011,0.5075336694717407,Q44127,False,False
156,156,0.5045355558395386,Q1058791,False,False
918,918,0.5028496384620667,Q333464,False,False
429,429,0.49408233165740967,Q1366323,False,False
1369,1369,0.4922903776168823,Q8267873,False,False
1272,1272,0.4768574833869934,Q723897,False,False
201,201,0.4637719988822937,Q108496793,False,False
760,760,0.46371421217918396,Q232207,False,False
671,671,0.44805264472961426,Q201339,False,False
628,628,0.44653916358947754,Q190637,False,False
73,73,0.446214497089386,Q1026626,False,False
592,592,0.4409193992614746,Q1863837,False,False
1044,1044,0.43201714754104614,Q477202,False,False
1429,1429,0.4273184537887573,Q878697,False,False
707,707,0.41667717695236206,Q21198,False,False
952,952,0.4144957363605499,Q363874,False,False
546,546,0.40735769271850586,Q176452,False,False
682,682,0.40724027156829834,Q2061913,False,False
1479,1479,0.4035613238811493,Q975594,False,False
753,753,0.40310290455818176,Q22744240,False,False
965,965,0.40036603808403015,Q378859,False,False
821,821,0.3914622962474823,Q272404,False,False
183,183,0.3896772265434265,Q107381443,False,False
1097,1097,0.3890865445137024,Q5300,False,False
984,984,0.3885112404823303,Q39680,False,False
716,716,0.3884635865688324,Q214526,False,False
1031,1031,0.3841608166694641,Q467252,False,False
1436,1436,0.38221627473831177,Q89021580,False,False
408,408,0.37944862246513367,Q132364,False,False
855,855,0.3788317143917084,Q2878974,False,False
957,957,0.3745657503604889,Q373045,False,False
1106,1106,0.37351858615875244,Q54276825,False,False
728,728,0.37143686413764954,Q21743174,False,False
726,726,0.36957547068595886,Q21708200,False,False
708,708,0.35839343070983887,Q212108,False,False
1169,1169,0.35791903734207153,Q621751,False,False
1405,1405,0.3559863567352295,Q8513,False,False
93,93,0.35311973094940186,Q1050404,False,False
564,564,0.3484497368335724,Q179976,False,False
440,440,0.3451080322265625,Q14116,False,False
533,533,0.3449835181236267,Q173212,False,False
72,72,0.34277331829071045,Q1026367,False,False
558,558,0.3425127863883972,Q177571,False,False
1293,1293,0.3402253985404968,Q740083,False,False
1082,1082,0.3362836241722107,Q513861,False,False
1294,1294,0.33595946431159973,Q740970,False,False
915,915,0.33547794818878174,Q3306359,False,False
1231,1231,0.3351237177848816,Q677051,False,False
793,793,0.3337912857532501,Q2526135,False,False
411,411,0.3296067416667938,Q1330336,False,False
1446,1446,0.328984797000885,Q9135,False,False
