,tail_id,score,tail_label,in_validation,in_testing
76,76,11.7991943359375,Q10322548,False,False
870,870,10.806854248046875,Q29169143,False,False
962,962,10.599855422973633,Q3751111,False,False
766,766,10.426763534545898,Q23515215,False,False
196,196,10.426763534545898,Q1078262,False,False
863,863,10.426763534545898,Q2904006,False,False
910,910,10.426763534545898,Q327353,False,False
518,518,10.426763534545898,Q1709010,False,False
272,272,10.426763534545898,Q114869997,False,False
284,284,10.426763534545898,Q115661535,False,False
1478,1478,10.426763534545898,Q97009416,False,False
486,486,10.426763534545898,Q15976092,False,False
304,304,10.426763534545898,Q116952787,False,False
85,85,10.426763534545898,Q104659813,False,False
1477,1477,10.068503379821777,Q97008347,False,False
18,18,9.952173233032227,P1793,False,False
57,57,9.952173233032227,P7443,False,False
42,42,9.952173233032227,P3985,False,False
65,65,9.952173233032227,P9601,False,False
63,63,9.952173233032227,P8966,False,False
46,46,9.952173233032227,P4240,False,False
47,47,9.952173233032227,P4428,False,False
62,62,9.952173233032227,P8770,False,False
60,60,9.952173233032227,P8423,False,False
54,54,9.952173233032227,P6823,False,False
26,26,9.699745178222656,P277,False,False
55,55,9.699745178222656,P7078,False,False
24,24,9.699745178222656,P2749,False,False
773,773,9.650218963623047,Q2384798,False,False
729,729,9.650218963623047,Q217594,False,False
1355,1355,9.650218963623047,Q815297,False,False
662,662,9.650218963623047,Q1981968,False,False
371,371,9.650218963623047,Q12139612,False,False
512,512,9.650218963623047,Q17012245,False,False
946,946,9.650218963623047,Q3519259,False,False
699,699,9.650218963623047,Q2089134,False,False
711,711,9.650218963623047,Q21281665,False,False
1100,1100,9.650218963623047,Q53755957,False,False
608,608,9.650218963623047,Q188610,False,False
1101,1101,9.650218963623047,Q53755989,False,False
99,99,9.650218963623047,Q1053064,False,False
742,742,9.650218963623047,Q22349237,False,False
573,573,9.650218963623047,Q182598,False,False
535,535,9.650218963623047,Q173341,False,False
599,599,9.650218963623047,Q187588,False,False
595,595,9.650218963623047,Q18733,False,False
1316,1316,9.650218963623047,Q759899,False,False
1315,1315,9.650218963623047,Q7595944,False,False
788,788,9.650218963623047,Q2479726,False,False
963,963,9.650218963623047,Q37517,False,False
593,593,9.650218963623047,Q18665344,False,False
90,90,9.650218963623047,Q1048526,False,False
570,570,9.650218963623047,Q18204,False,False
775,775,9.650218963623047,Q2395230,False,False
949,949,9.650218963623047,Q3537694,False,False
1166,1166,9.650218963623047,Q621114,False,False
1154,1154,9.650218963623047,Q613566,False,False
280,280,9.650218963623047,Q115467851,False,False
830,830,9.650218963623047,Q2765105,False,False
1483,1483,9.650218963623047,Q9852,False,False
831,831,9.650218963623047,Q278425,False,False
1134,1134,9.650218963623047,Q579488,False,False
1201,1201,9.650218963623047,Q64830866,False,False
237,237,9.650218963623047,Q112162285,False,False
479,479,9.650218963623047,Q15777392,False,False
1465,1465,9.650218963623047,Q950981,False,False
424,424,9.650218963623047,Q1362688,False,False
905,905,9.486800193786621,Q3240252,False,False
1284,1284,9.431804656982422,Q7320811,False,False
520,520,9.431804656982422,Q17112054,False,False
720,720,9.431804656982422,Q21623039,False,False
770,770,9.026735305786133,Q23766486,False,False
996,996,9.009332656860352,Q4205080,False,False
903,903,9.009332656860352,Q3231826,False,False
469,469,9.009332656860352,Q1517650,False,False
166,166,9.009332656860352,Q1068652,False,False
921,921,9.009332656860352,Q3348143,False,False
527,527,9.009332656860352,Q17155144,False,False
1004,1004,8.856054306030273,Q43283,False,False
714,714,8.620988845825195,Q21447895,False,False
72,72,8.563115119934082,Q1026367,False,False
1140,1140,8.527112007141113,Q5879648,False,False
912,912,8.527112007141113,Q32767144,False,False
1181,1181,8.527112007141113,Q6303648,False,False
1163,1163,8.527112007141113,Q6200392,False,False
360,360,8.527112007141113,Q119953339,False,False
1194,1194,8.527112007141113,Q6391615,False,False
934,934,8.527112007141113,Q34059,False,False
1160,1160,8.527112007141113,Q6187717,False,False
1237,1237,8.527112007141113,Q6938112,False,False
892,892,8.527112007141113,Q30826373,False,False
1195,1195,8.527112007141113,Q6452951,False,False
1245,1245,8.527112007141113,Q7015116,False,False
658,658,8.527112007141113,Q19636176,False,False
1241,1241,8.527112007141113,Q7005249,False,False
1234,1234,8.527112007141113,Q6859388,False,False
1228,1228,8.527112007141113,Q6752025,False,False
1199,1199,8.527112007141113,Q6465232,False,False
1242,1242,8.527112007141113,Q7012332,False,False
1243,1243,8.527112007141113,Q7012659,False,False
1244,1244,8.527112007141113,Q7013140,False,False
1119,1119,8.527112007141113,Q558331,False,False
1246,1246,8.527112007141113,Q7032352,False,False
1198,1198,8.527112007141113,Q6465220,False,False
887,887,8.527112007141113,Q30640383,False,False
888,888,8.527112007141113,Q30640394,False,False
1247,1247,8.527112007141113,Q7035718,False,False
1248,1248,8.527112007141113,Q7035728,False,False
1114,1114,8.527112007141113,Q55337796,False,False
891,891,8.527112007141113,Q30687244,False,False
777,777,8.527112007141113,Q24070291,False,False
1240,1240,8.527112007141113,Q7003976,False,False
1125,1125,8.527112007141113,Q5653416,False,False
