,tail_id,score,tail_label,in_validation,in_testing
857,857,0.8019188046455383,Q28865,False,False
1340,1340,0.6949668526649475,Q80006,True,False
78,78,0.6948456764221191,Q1034415,False,False
1257,1257,0.678203821182251,Q7135231,False,False
540,540,0.6447893381118774,Q175263,False,False
1447,1447,0.5650941729545593,Q9143,False,False
605,605,0.5472701191902161,Q188522,False,False
1071,1071,0.5194411277770996,Q50423863,False,False
1041,1041,0.5154873132705688,Q47506,False,False
1386,1386,0.48108071088790894,Q8366,False,False
496,496,0.4796460270881653,Q165194,False,False
661,661,0.4562207758426666,Q197536,False,False
1409,1409,0.44970452785491943,Q857102,False,False
1421,1421,0.4434608519077301,Q868299,False,False
1396,1396,0.43735557794570923,Q845566,False,False
582,582,0.4314854145050049,Q184754,False,False
405,405,0.4205964207649231,Q131476,False,False
927,927,0.41119006276130676,Q33742,False,False
641,641,0.4076244831085205,Q193076,False,False
399,399,0.40450865030288696,Q1301371,False,False
274,274,0.40187451243400574,Q1152135,False,False
819,819,0.4018666744232178,Q271680,False,False
624,624,0.40032780170440674,Q190087,False,False
1347,1347,0.3991284966468811,Q80993,False,False
604,604,0.392240047454834,Q188267,False,False
546,546,0.3866598606109619,Q176452,False,False
443,443,0.386028528213501,Q141488,False,False
1481,1481,0.37373512983322144,Q9820,False,False
1306,1306,0.3727574348449707,Q751443,False,False
498,498,0.3591774106025696,Q165436,False,False
578,578,0.35906171798706055,Q18395344,False,False
791,791,0.35723766684532166,Q251,False,False
685,685,0.35686665773391724,Q206904,False,False
747,747,0.35317501425743103,Q22673982,False,False
806,806,0.3364824950695038,Q264164,False,False
668,668,0.3320792317390442,Q2005,False,False
741,741,0.3242522180080414,Q223335,False,False
530,530,0.31976038217544556,Q172491,False,False
1231,1231,0.3108315169811249,Q677051,False,False
726,726,0.3094620108604431,Q21708200,False,False
290,290,0.3057992458343506,Q11660,False,False
944,944,0.305019736289978,Q3510521,False,False
1023,1023,0.3037433922290802,Q456632,False,False
1292,1292,0.30086731910705566,Q7397,False,False
1110,1110,0.3002960681915283,Q5482740,False,False
1042,1042,0.2977057695388794,Q47607,False,False
478,478,0.2960468828678131,Q15777,False,False
1037,1037,0.29340070486068726,Q47146,False,False
919,919,0.2930136024951935,Q334384,False,False
