,tail_id,score,tail_label,in_validation,in_testing
1457,1457,0.02741304412484169,Q938438,False,False
1141,1141,0.026717880740761757,Q59,False,False
641,641,0.02611401677131653,Q193076,False,False
688,688,0.02599913626909256,Q207434,False,False
823,823,0.024067355319857597,Q272683,False,False
935,935,0.023398878052830696,Q341,False,False
547,547,0.022984499111771584,Q176623,False,False
320,320,0.022654786705970764,Q116964933,False,False
814,814,0.022615976631641388,Q2695280,False,False
1489,1489,0.022230112925171852,Q997233,False,False
309,309,0.022128211334347725,Q116964918,False,False
433,433,0.021973423659801483,Q1378470,False,False
1052,1052,0.021928180009126663,Q483130,False,False
520,520,0.02186429686844349,Q17112054,False,False
1182,1182,0.02173149399459362,Q63084966,False,False
414,414,0.021471796557307243,Q1332643,False,False
953,953,0.021294018253684044,Q364,False,False
409,409,0.021176235750317574,Q1325106,False,False
1096,1096,0.02106737717986107,Q52990223,False,False
257,257,0.02103402093052864,Q113403137,False,False
201,201,0.02047760784626007,Q108496793,False,False
1046,1046,0.02034984529018402,Q47755251,False,False
12,12,0.020182795822620392,P1482,False,False
1453,1453,0.01958594098687172,Q92622,False,False
438,438,0.019497795030474663,Q1406,False,False
1186,1186,0.019318638369441032,Q63087,False,False
995,995,0.019282054156064987,Q41883552,False,False
675,675,0.019177813082933426,Q2035437,False,False
577,577,0.019168788567185402,Q18357734,False,False
218,218,0.018990207463502884,Q1103464,False,False
1264,1264,0.018908537924289703,Q7215421,False,False
1391,1391,0.018798964098095894,Q842433,False,False
71,71,0.018706757575273514,Q1025017,False,False
816,816,0.018693746998906136,Q27058,False,False
75,75,0.018643174320459366,Q10302162,False,False
443,443,0.01836211606860161,Q141488,False,False
1385,1385,0.018223898485302925,Q836575,False,False
624,624,0.01818133518099785,Q190087,False,False
1215,1215,0.018054014071822166,Q6588467,False,False
665,665,0.017829667776823044,Q1988917,False,False
1346,1346,0.017665501683950424,Q8087,False,False
267,267,0.017419399693608284,Q1143367,False,False
1446,1446,0.017351673915982246,Q9135,False,False
465,465,0.017209896817803383,Q1501882,False,False
455,455,0.017106838524341583,Q14623823,False,False
1037,1037,0.017094900831580162,Q47146,False,False
484,484,0.017093300819396973,Q15898201,False,False
1150,1150,0.0170814860612154,Q6030997,False,False
1028,1028,0.01688702218234539,Q465274,False,False
383,383,0.01682436093688011,Q1268744,False,False
93,93,0.01674686186015606,Q1050404,False,False
1459,1459,0.016733484342694283,Q9418,False,False
666,666,0.01672564446926117,Q1993334,False,False
444,444,0.016608314588665962,Q141495,False,False
959,959,0.016512548550963402,Q374195,False,False
89,89,0.016345703974366188,Q104851,False,False
592,592,0.01631733775138855,Q1863837,False,False
482,482,0.016290955245494843,Q15838309,False,False
1013,1013,0.016278062015771866,Q44337,False,False
653,653,0.016234789043664932,Q1948408,False,False
1376,1376,0.016149107366800308,Q8299520,False,False
810,810,0.016104787588119507,Q2657718,False,False
449,449,0.015959782525897026,Q1437428,False,False
1237,1237,0.01592639461159706,Q6938112,False,False
1022,1022,0.015899106860160828,Q451553,False,False
255,255,0.01579085737466812,Q1132755,False,False
681,681,0.015770696103572845,Q205961,False,False
1476,1476,0.01566937379539013,Q965769,False,False
611,611,0.015661459416151047,Q188860,False,False
1308,1308,0.015478876419365406,Q752718,False,False
160,160,0.01539125107228756,Q1063837,False,False
23,23,0.015302350744605064,P2537,False,False
1468,1468,0.01528097689151764,Q95955024,False,False
1024,1024,0.015141322277486324,Q457396,False,False
1469,1469,0.015053680166602135,Q95972795,False,False
111,111,0.015012005344033241,Q1057802,False,False
1348,1348,0.015007155016064644,Q80998,False,False
403,403,0.014931288547813892,Q131200,False,False
156,156,0.014909380115568638,Q1058791,False,False
743,743,0.01488135289400816,Q223655,False,False
1370,1370,0.014846100471913815,Q8271365,False,False
5,5,0.01481309998780489,P11201,False,False
1332,1332,0.01479874737560749,Q782543,False,False
1116,1116,0.014787566848099232,Q555032,False,False
728,728,0.014782888814806938,Q21743174,False,False
50,50,0.01473318412899971,P527,False,False
1401,1401,0.014661530032753944,Q8482479,False,False
1318,1318,0.014633482322096825,Q7603,False,False
516,516,0.014575310051441193,Q17068357,False,False
517,517,0.014550354331731796,Q17069496,False,False
502,502,0.01451785583049059,Q16691,False,False
603,603,0.014491324312984943,Q1879820,False,False
1203,1203,0.014467675238847733,Q649732,False,False
745,745,0.01440831646323204,Q2264109,False,False
585,585,0.014392795041203499,Q185524,False,False
339,339,0.01438634842634201,Q117286419,False,False
630,630,0.014359984546899796,Q1914636,False,False
134,134,0.01423993706703186,Q105850226,False,False
135,135,0.014135482721030712,Q105850321,False,False
1263,1263,0.014125056564807892,Q7215409,False,False
1387,1387,0.014109930954873562,Q8384546,False,False
511,511,0.013996005989611149,Q17008256,False,False
1481,1481,0.013981673866510391,Q9820,False,False
1292,1292,0.013963607139885426,Q7397,False,False
714,714,0.013784194365143776,Q21447895,False,False
1426,1426,0.013775517232716084,Q8747641,False,False
445,445,0.013755404390394688,Q1416732,False,False
913,913,0.013744227588176727,Q327675,False,False
941,941,0.013534743338823318,Q3503416,False,False
704,704,0.013496313244104385,Q21129801,False,False
346,346,0.013481357134878635,Q118155,False,False
851,851,0.013421965762972832,Q2872634,False,False
118,118,0.013365834020078182,Q105849723,False,False
1180,1180,0.013344326987862587,Q629206,False,False
564,564,0.013307498767971992,Q179976,False,False
10,10,0.013300107792019844,P1424,False,False
289,289,0.01329011470079422,Q1164918,False,False
1006,1006,0.013267610222101212,Q4355609,False,False
879,879,0.013260852545499802,Q30251943,False,False
232,232,0.013216543942689896,Q11205,False,False
525,525,0.013185795396566391,Q171477,False,False
332,332,0.013167540542781353,Q116964947,False,False
997,997,0.013154825195670128,Q420904,False,False
1211,1211,0.013140054419636726,Q6554356,False,False
1054,1054,0.013091673143208027,Q48493,False,False
450,450,0.013082025572657585,Q1444631,False,False
614,614,0.013046519830822945,Q189177,False,False
895,895,0.013008857145905495,Q309100,False,False
1436,1436,0.012987174093723297,Q89021580,False,False
602,602,0.01298670656979084,Q187906,False,False
262,262,0.01295984722673893,Q1138496,False,False
843,843,0.012925704941153526,Q28365500,False,False
1273,1273,0.012905249372124672,Q72390208,False,False
307,307,0.01288137398660183,Q116964914,False,False
691,691,0.012878946959972382,Q207542,False,False
832,832,0.01276317611336708,Q27948,False,False
949,949,0.012745466083288193,Q3537694,False,False
1188,1188,0.012640764005482197,Q633894,False,False
103,103,0.01259147934615612,Q1053999,False,False
1229,1229,0.012588564306497574,Q676202,False,False
1144,1144,0.01257937029004097,Q5926373,False,False
1107,1107,0.01248410064727068,Q54277,False,False
62,62,0.01244357693940401,P8770,False,False
1122,1122,0.012377153150737286,Q56062429,False,False
1418,1418,0.01237497478723526,Q8647009,False,False
792,792,0.012361383065581322,Q251212,False,False
360,360,0.012298749759793282,Q119953339,False,False
1423,1423,0.012289248406887054,Q870780,False,False
92,92,0.012258877977728844,Q1049878,False,False
548,548,0.012207595631480217,Q176640,False,False
701,701,0.012186767533421516,Q209455,False,False
643,643,0.012164350599050522,Q193321,False,False
1101,1101,0.012138883583247662,Q53755989,False,False
176,176,0.012110507115721703,Q107380511,False,False
857,857,0.012091942131519318,Q28865,False,False
631,631,0.012068290263414383,Q192161,False,False
185,185,0.011966748163104057,Q107381449,False,False
45,45,0.011927775107324123,P408,False,False
85,85,0.011906021274626255,Q104659813,False,False
1333,1333,0.011837564408779144,Q7832483,False,False
950,950,0.011827428825199604,Q355,False,False
1199,1199,0.011782227084040642,Q6465232,False,False
94,94,0.011774115264415741,Q105078662,False,False
503,503,0.011756675317883492,Q16766476,False,False
213,213,0.011741550639271736,Q11012,False,False
421,421,0.011709649115800858,Q1356176,False,False
644,644,0.011681008152663708,Q193351,False,False
973,973,0.011640390381217003,Q3839507,False,False
1392,1392,0.011588441208004951,Q844240,False,False
1205,1205,0.011497308500111103,Q6501338,False,False
384,384,0.011494459584355354,Q1268978,False,False
1386,1386,0.011488646268844604,Q8366,False,False
598,598,0.011487499810755253,Q187560,False,False
1250,1250,0.01146363653242588,Q7102019,False,False
673,673,0.011333495378494263,Q202843,False,False
1226,1226,0.011311964131891727,Q6719052,False,False
1412,1412,0.011309601366519928,Q858810,False,False
625,625,0.011284148320555687,Q190169,False,False
288,288,0.0112598342821002,Q116481801,False,False
510,510,0.011250374838709831,Q170058,False,False
1109,1109,0.011181384325027466,Q5460604,False,False
189,189,0.011176259256899357,Q107381459,False,False
1460,1460,0.01115114800632,Q944,False,False
133,133,0.01112366747111082,Q105850179,False,False
1077,1077,0.011118793860077858,Q5082128,False,False
1482,1482,0.01109795831143856,Q98363379,False,False
413,413,0.011029662564396858,Q133250,False,False
846,846,0.01097133569419384,Q28470421,False,False
73,73,0.010970521718263626,Q1026626,False,False
47,47,0.010859642177820206,P4428,False,False
437,437,0.010843787342309952,Q1401416,False,False
494,494,0.010815953835844994,Q1635410,False,False
891,891,0.010785352438688278,Q30687244,False,False
1082,1082,0.010696710087358952,Q513861,False,False
1305,1305,0.010649774223566055,Q751436,False,False
960,960,0.01060811709612608,Q37437,False,False
1216,1216,0.010527212172746658,Q65938634,False,False
8,8,0.01051759161055088,P1401,False,False
640,640,0.010465276427567005,Q193040,False,False
419,419,0.010464202612638474,Q1343860,False,False
946,946,0.010398047976195812,Q3519259,False,False
881,881,0.010370202362537384,Q30452988,False,False
612,612,0.010366356931626797,Q188889,False,False
522,522,0.010350977070629597,Q17128269,False,False
294,294,0.010341990739107132,Q116793893,False,False
1119,1119,0.010326757095754147,Q558331,False,False
1194,1194,0.010321630164980888,Q6391615,False,False
1474,1474,0.010317901149392128,Q96369982,False,False
55,55,0.010281582362949848,P7078,False,False
844,844,0.01023699901998043,Q28366261,False,False
1202,1202,0.01021778304129839,Q64845926,False,False
974,974,0.010213036090135574,Q386275,False,False
1220,1220,0.010199839249253273,Q6661985,False,False
637,637,0.010169655084609985,Q1928222,False,False
930,930,0.010138058103621006,Q340,False,False
853,853,0.010126734152436256,Q28757880,False,False
526,526,0.010088601149618626,Q17155032,False,False
464,464,0.010074349120259285,Q149972,False,False
463,463,0.010066742077469826,Q147638,False,False
954,954,0.010050841607153416,Q366872,False,False
97,97,0.010022434405982494,Q10513450,False,False
1304,1304,0.009998300112783909,Q75,False,False
1374,1374,0.00996177177876234,Q8279954,False,False
1023,1023,0.00994289293885231,Q456632,False,False
1113,1113,0.009939398616552353,Q5514059,False,False
873,873,0.009808776900172234,Q29642950,False,False
1031,1031,0.009787175804376602,Q467252,False,False
969,969,0.009786983020603657,Q380679,False,False
1330,1330,0.009777696803212166,Q773196,False,False
1433,1433,0.00977255403995514,Q8811,False,False
700,700,0.009756534360349178,Q2089905,False,False
842,842,0.009748555719852448,Q2835898,False,False
597,597,0.00971338152885437,Q187466,False,False
116,116,0.009685564786195755,Q105849677,False,False
987,987,0.009632785804569721,Q40056,False,False
493,493,0.009622644633054733,Q163468,False,False
1048,1048,0.009579528123140335,Q4781497,False,False
1443,1443,0.009564641863107681,Q907375,False,False
605,605,0.009530840441584587,Q188522,False,False
1074,1074,0.009526960551738739,Q504843,False,False
199,199,0.009510230273008347,Q108118090,False,False
587,587,0.00947022344917059,Q1859284,False,False
143,143,0.00939200073480606,Q105850575,False,False
1131,1131,0.009385434910655022,Q5752075,False,False
385,385,0.009384188801050186,Q1268980,False,False
732,732,0.00932146143168211,Q219320,False,False
509,509,0.009293904528021812,Q16980,False,False
852,852,0.009253127500414848,Q28746410,False,False
593,593,0.009214043617248535,Q18665344,False,False
1050,1050,0.009208425879478455,Q4795882,False,False
980,980,0.009204771369695663,Q3952330,False,False
508,508,0.009197364561259747,Q16965428,False,False
1252,1252,0.009195346385240555,Q7112560,False,False
1406,1406,0.009181827306747437,Q8527505,False,False
1301,1301,0.009167347103357315,Q746242,False,False
754,754,0.009144059382379055,Q2283,False,False
1066,1066,0.009141422808170319,Q494823,False,False
158,158,0.009065679274499416,Q10609775,False,False
1486,1486,0.009064600802958012,Q989632,False,False
265,265,0.009060774929821491,Q1143023,False,False
1198,1198,0.009058973751962185,Q6465220,False,False
334,334,0.009043505415320396,Q116964951,False,False
838,838,0.009037807583808899,Q28194277,False,False
82,82,0.009027811698615551,Q1045706,False,False
1364,1364,0.008940191939473152,Q82550,False,False
1044,1044,0.00892407912760973,Q477202,False,False
191,191,0.008904294110834599,Q107381461,False,False
1397,1397,0.008888942189514637,Q845739,False,False
779,779,0.008866000920534134,Q2424752,False,False
