,tail_id,score,tail_label,in_validation,in_testing
1000,1000,-2.2317912578582764,Q42848,False,False
236,236,-2.2750003337860107,Q11216,False,False
1447,1447,-2.2823855876922607,Q9143,False,False
1461,1461,-2.346571445465088,Q9492,False,False
464,464,-2.4333062171936035,Q149972,False,False
707,707,-2.4533517360687256,Q21198,False,False
1386,1386,-2.4591031074523926,Q8366,False,False
1232,1232,-2.4601151943206787,Q68,False,False
1340,1340,-2.545469045639038,Q80006,False,False
290,290,-2.5684893131256104,Q11660,False,False
540,540,-2.577554225921631,Q175263,False,False
547,547,-2.5776631832122803,Q176623,False,False
678,678,-2.6360411643981934,Q205084,False,False
1446,1446,-2.64840030670166,Q9135,False,False
499,499,-2.67610502243042,Q166142,False,False
1405,1405,-2.6764485836029053,Q8513,False,False
405,405,-2.6819405555725098,Q131476,False,False
562,562,-2.6902191638946533,Q179310,False,False
533,533,-2.7038025856018066,Q173212,False,False
798,798,-2.7054295539855957,Q2539,False,False
918,918,-2.7082252502441406,Q333464,False,False
1138,1138,-2.756460666656494,Q5862903,False,False
379,379,-2.835325002670288,Q12503,False,False
1428,1428,-2.863368511199951,Q877977,False,False
372,372,-2.868948459625244,Q121416,False,False
444,444,-2.889251470565796,Q141495,False,False
1339,1339,-2.894686698913574,Q79872,False,False
1344,1344,-2.904175281524658,Q8078,False,False
874,874,-2.9191508293151855,Q2974105,False,False
343,343,-2.9240574836730957,Q117801,False,False
829,829,-2.9345216751098633,Q275603,False,False
278,278,-2.9378063678741455,Q11538,False,False
78,78,-2.954099178314209,Q1034415,False,False
1457,1457,-2.962583541870117,Q938438,False,False
641,641,-2.965684413909912,Q193076,False,False
761,761,-2.976174831390381,Q232661,False,False
1317,1317,-2.986354351043701,Q7600677,False,False
1365,1365,-3.0108518600463867,Q82571,False,False
1347,1347,-3.033259630203247,Q80993,False,False
605,605,-3.0515072345733643,Q188522,False,False
1056,1056,-3.0556955337524414,Q486902,False,False
909,909,-3.0590012073516846,Q327069,False,False
960,960,-3.072676181793213,Q37437,False,False
983,983,-3.097421884536743,Q3968,False,False
1360,1360,-3.099412441253662,Q818888,False,False
855,855,-3.1349756717681885,Q2878974,False,False
1430,1430,-3.1565659046173096,Q8789,False,False
546,546,-3.1617164611816406,Q176452,False,False
1324,1324,-3.1662869453430176,Q76592,False,False
490,490,-3.1732819080352783,Q163310,False,False
952,952,-3.177173376083374,Q363874,False,False
156,156,-3.1868371963500977,Q1058791,False,False
979,979,-3.200812816619873,Q395,False,False
1003,1003,-3.2365376949310303,Q43260,False,False
1292,1292,-3.2510695457458496,Q7397,False,False
582,582,-3.2859115600585938,Q184754,False,False
232,232,-3.2867345809936523,Q11205,False,False
1042,1042,-3.299844264984131,Q47607,False,False
723,723,-3.3091342449188232,Q216601,False,False
1394,1394,-3.310906171798706,Q844718,False,False
1322,1322,-3.3241827487945557,Q764810,False,False
1037,1037,-3.328227996826172,Q47146,False,False
927,927,-3.412001609802246,Q33742,False,False
564,564,-3.41442608833313,Q179976,False,False
264,264,-3.415163516998291,Q1141518,False,False
1013,1013,-3.423018455505371,Q44337,False,False
1065,1065,-3.4377808570861816,Q494756,False,False
700,700,-3.4447214603424072,Q2089905,False,False
590,590,-3.444981098175049,Q186152,False,False
695,695,-3.4461522102355957,Q208163,False,False
944,944,-3.4479682445526123,Q3510521,False,False
549,549,-3.4536588191986084,Q176645,False,False
380,380,-3.471325635910034,Q12525525,False,False
667,667,-3.474062204360962,Q200125,False,False
1396,1396,-3.4916129112243652,Q845566,False,False
759,759,-3.4954042434692383,Q2321565,False,False
823,823,-3.507344961166382,Q272683,False,False
889,889,-3.526456356048584,Q30642,False,False
791,791,-3.5313045978546143,Q251,False,False
673,673,-3.5395328998565674,Q202843,False,False
586,586,-3.547025680541992,Q185612,False,False
1022,1022,-3.5502216815948486,Q451553,False,False
769,769,-3.5699896812438965,Q2374463,False,False
510,510,-3.5723960399627686,Q170058,False,False
393,393,-3.58449387550354,Q128392,False,False
1421,1421,-3.5950658321380615,Q868299,False,False
1041,1041,-3.6006808280944824,Q47506,False,False
821,821,-3.6134212017059326,Q272404,False,False
532,532,-3.6272590160369873,Q173156,False,False
1384,1384,-3.643331527709961,Q835922,False,False
1341,1341,-3.64955735206604,Q80091,False,False
519,519,-3.6500542163848877,Q170978,False,False
619,619,-3.65368914604187,Q189436,False,False
624,624,-3.661048173904419,Q190087,False,False
636,636,-3.6748738288879395,Q192776,False,False
793,793,-3.6750264167785645,Q2526135,False,False
1373,1373,-3.6788241863250732,Q827335,False,False
559,559,-3.679866075515747,Q177929,False,False
376,376,-3.688277244567871,Q12479,False,False
167,167,-3.706315040588379,Q1068715,False,False
908,908,-3.7087483406066895,Q3257930,False,False
378,378,-3.721312999725342,Q12483,False,False
900,900,-3.722428798675537,Q319400,False,False
583,583,-3.7283613681793213,Q184793,False,False
665,665,-3.734537124633789,Q1988917,False,False
498,498,-3.7355690002441406,Q165436,False,False
784,784,-3.7370693683624268,Q246064,False,False
568,568,-3.739445686340332,Q180634,False,False
1346,1346,-3.7519586086273193,Q8087,False,False
560,560,-3.775932550430298,Q178377,False,False
744,744,-3.776738166809082,Q224055,False,False
1310,1310,-3.7848005294799805,Q755662,False,False
1016,1016,-3.8006696701049805,Q4479242,False,False
1425,1425,-3.801089286804199,Q874709,False,False
1272,1272,-3.803586483001709,Q723897,False,False
1337,1337,-3.8050572872161865,Q79798,False,False
