,tail_id,score,tail_label,in_validation,in_testing
1138,1138,-0.9929080009460449,Q5862903,False,False
1386,1386,-1.014172077178955,Q8366,False,False
1447,1447,-1.0206419229507446,Q9143,False,False
343,343,-1.0235753059387207,Q117801,False,False
1000,1000,-1.024249792098999,Q42848,False,False
547,547,-1.0287668704986572,Q176623,False,False
707,707,-1.029463768005371,Q21198,False,False
1461,1461,-1.034485936164856,Q9492,False,False
1340,1340,-1.0351673364639282,Q80006,False,False
1457,1457,-1.044258713722229,Q938438,False,False
1232,1232,-1.0521119832992554,Q68,False,False
798,798,-1.0559357404708862,Q2539,False,False
1360,1360,-1.058426856994629,Q818888,False,False
1065,1065,-1.058576226234436,Q494756,False,False
540,540,-1.060641884803772,Q175263,False,False
444,444,-1.0630334615707397,Q141495,False,False
1344,1344,-1.0635846853256226,Q8078,False,False
979,979,-1.0674574375152588,Q395,False,False
372,372,-1.068781852722168,Q121416,False,False
678,678,-1.0751140117645264,Q205084,False,False
1013,1013,-1.0791893005371094,Q44337,False,False
290,290,-1.0794634819030762,Q11660,False,False
918,918,-1.0855052471160889,Q333464,False,False
1317,1317,-1.0879088640213013,Q7600677,False,False
927,927,-1.0926356315612793,Q33742,False,False
855,855,-1.0961496829986572,Q2878974,False,False
1405,1405,-1.1075419187545776,Q8513,False,False
1394,1394,-1.1095952987670898,Q844718,False,False
983,983,-1.1143548488616943,Q3968,False,False
562,562,-1.1181086301803589,Q179310,False,False
405,405,-1.1243674755096436,Q131476,False,False
952,952,-1.1247822046279907,Q363874,False,False
490,490,-1.125345230102539,Q163310,False,False
622,622,-1.1257258653640747,Q189900,False,False
909,909,-1.1278102397918701,Q327069,False,False
232,232,-1.1359096765518188,Q11205,False,False
560,560,-1.1419979333877563,Q178377,False,False
379,379,-1.1472008228302002,Q12503,False,False
380,380,-1.151369333267212,Q12525525,False,False
498,498,-1.1517598628997803,Q165436,False,False
716,716,-1.1702995300292969,Q214526,False,False
624,624,-1.1708823442459106,Q190087,False,False
1003,1003,-1.174600601196289,Q43260,False,False
464,464,-1.1752690076828003,Q149972,False,False
723,723,-1.178383469581604,Q216601,False,False
546,546,-1.179610252380371,Q176452,False,False
667,667,-1.1797822713851929,Q200125,False,False
1365,1365,-1.1920427083969116,Q82571,False,False
533,533,-1.1948139667510986,Q173212,False,False
217,217,-1.1955368518829346,Q11024,False,False
1346,1346,-1.198926568031311,Q8087,False,False
264,264,-1.2030880451202393,Q1141518,False,False
236,236,-1.2066290378570557,Q11216,False,False
1446,1446,-1.2068774700164795,Q9135,False,False
564,564,-1.2070434093475342,Q179976,False,False
582,582,-1.2081103324890137,Q184754,False,False
78,78,-1.2085354328155518,Q1034415,False,False
1339,1339,-1.2124285697937012,Q79872,False,False
695,695,-1.2142637968063354,Q208163,False,False
1425,1425,-1.217872142791748,Q874709,False,False
874,874,-1.220377802848816,Q2974105,False,False
548,548,-1.2207578420639038,Q176640,False,False
1421,1421,-1.2265318632125854,Q868299,False,False
1042,1042,-1.2282241582870483,Q47607,False,False
156,156,-1.2390894889831543,Q1058791,False,False
965,965,-1.239551067352295,Q378859,False,False
1324,1324,-1.2462222576141357,Q76592,False,False
1383,1383,-1.2463511228561401,Q833585,False,False
1388,1388,-1.2546824216842651,Q839721,False,False
821,821,-1.2555571794509888,Q272404,False,False
761,761,-1.2641639709472656,Q232661,False,False
634,634,-1.2673474550247192,Q192588,False,False
1193,1193,-1.2680447101593018,Q638608,False,False
944,944,-1.2723941802978516,Q3510521,False,False
806,806,-1.2751867771148682,Q264164,False,False
1049,1049,-1.2800357341766357,Q478798,False,False
1097,1097,-1.2839831113815308,Q5300,False,False
1428,1428,-1.2846646308898926,Q877977,False,False
960,960,-1.2991300821304321,Q37437,False,False
510,510,-1.3089067935943604,Q170058,False,False
1056,1056,-1.3217755556106567,Q486902,False,False
1310,1310,-1.3219799995422363,Q755662,False,False
816,816,-1.322214961051941,Q27058,False,False
1347,1347,-1.3380533456802368,Q80993,False,False
1389,1389,-1.347751498222351,Q840540,False,False
1341,1341,-1.3550713062286377,Q80091,False,False
1373,1373,-1.3552221059799194,Q827335,False,False
586,586,-1.3580124378204346,Q185612,False,False
278,278,-1.3606746196746826,Q11538,False,False
641,641,-1.361506700515747,Q193076,False,False
1307,1307,-1.3669307231903076,Q752532,False,False
1430,1430,-1.374711513519287,Q8789,False,False
74,74,-1.3780864477157593,Q1027879,False,False
708,708,-1.3790695667266846,Q212108,False,False
639,639,-1.3790745735168457,Q192969,False,False
1322,1322,-1.3847135305404663,Q764810,False,False
776,776,-1.393084168434143,Q2407,False,False
686,686,-1.4130736589431763,Q207011,False,False
1292,1292,-1.4207557439804077,Q7397,False,False
376,376,-1.424735188484192,Q12479,False,False
1037,1037,-1.4285624027252197,Q47146,False,False
590,590,-1.4287679195404053,Q186152,False,False
499,499,-1.4308336973190308,Q166142,False,False
167,167,-1.4330683946609497,Q1068715,False,False
213,213,-1.4332990646362305,Q11012,False,False
549,549,-1.437276840209961,Q176645,False,False
1041,1041,-1.445349931716919,Q47506,False,False
627,627,-1.4498625993728638,Q190524,False,False
