,tail_id,score,tail_label,in_validation,in_testing
1447,1447,1.7671382427215576,Q9143,False,False
707,707,1.676890254020691,Q21198,False,False
524,524,1.5358319282531738,Q17146476,False,False
1292,1292,1.4898592233657837,Q7397,False,False
1386,1386,1.4837274551391602,Q8366,False,False
685,685,1.4609163999557495,Q206904,False,False
798,798,1.425584077835083,Q2539,False,False
589,589,1.402201771736145,Q186055,False,False
791,791,1.3916363716125488,Q251,False,False
290,290,1.355860710144043,Q11660,False,False
857,857,1.3241394758224487,Q28865,False,False
979,979,1.2837098836898804,Q395,False,False
1232,1232,1.245826005935669,Q68,False,False
1287,1287,1.2293615341186523,Q735441,False,False
889,889,1.2187224626541138,Q30642,False,False
1340,1340,1.2124507427215576,Q80006,False,False
72,72,1.1690245866775513,Q1026367,False,False
1446,1446,1.16144859790802,Q9135,False,False
1032,1032,1.1443763971328735,Q467731,False,False
714,714,1.1349297761917114,Q21447895,False,False
540,540,1.1269443035125732,Q175263,False,False
977,977,1.1159005165100098,Q388,False,False
636,636,1.1133630275726318,Q192776,False,False
624,624,1.106968641281128,Q190087,False,False
918,918,1.1066449880599976,Q333464,False,False
1347,1347,1.085174322128296,Q80993,False,False
236,236,1.0673221349716187,Q11216,False,False
494,494,1.064871072769165,Q1635410,False,False
393,393,1.0558700561523438,Q128392,False,False
281,281,1.0550285577774048,Q115564437,False,False
499,499,1.0453611612319946,Q166142,False,False
405,405,1.0387275218963623,Q131476,False,False
379,379,1.0340888500213623,Q12503,False,False
349,349,1.027669906616211,Q11862829,False,False
255,255,1.0129890441894531,Q1132755,False,False
761,761,1.0126065015792847,Q232661,False,False
458,458,1.009095549583435,Q1465654,False,False
620,620,1.0085546970367432,Q189439,False,False
1071,1071,1.0008946657180786,Q50423863,False,False
615,615,0.9783464670181274,Q189210,False,False
578,578,0.9765041470527649,Q18395344,False,False
571,571,0.9753119349479675,Q18209310,False,False
586,586,0.943756639957428,Q185612,False,False
1056,1056,0.9357476234436035,Q486902,False,False
1052,1052,0.9289422035217285,Q483130,False,False
1373,1373,0.9205276370048523,Q827335,False,False
678,678,0.9176057577133179,Q205084,False,False
1317,1317,0.9175244569778442,Q7600677,False,False
1344,1344,0.9164426922798157,Q8078,False,False
1206,1206,0.8961573839187622,Q6504956,False,False
694,694,0.8779851198196411,Q208042,False,False
832,832,0.8715223073959351,Q27948,False,False
1170,1170,0.87092125415802,Q622825,False,False
846,846,0.8593490123748779,Q28470421,False,False
772,772,0.8580794930458069,Q23808,False,False
605,605,0.8569290041923523,Q188522,False,False
86,86,0.8522126078605652,Q1047113,False,False
78,78,0.8476744890213013,Q1034415,False,False
1411,1411,0.8461294770240784,Q85810444,False,False
1454,1454,0.8431042432785034,Q926821,False,False
1365,1365,0.8384817242622375,Q82571,False,False
1326,1326,0.8330822587013245,Q7673435,False,False
792,792,0.8277392983436584,Q251212,False,False
805,805,0.8084561228752136,Q2631895,False,False
665,665,0.8083842992782593,Q1988917,False,False
1405,1405,0.8056694865226746,Q8513,False,False
1419,1419,0.7986276149749756,Q865760,False,False
1476,1476,0.7907103896141052,Q965769,False,False
1003,1003,0.7904278039932251,Q43260,False,False
790,790,0.790036141872406,Q2493,False,False
1430,1430,0.7869195342063904,Q8789,False,False
1379,1379,0.7824802994728088,Q831366,False,False
1030,1030,0.7757896780967712,Q4671286,False,False
444,444,0.7691667079925537,Q141495,False,False
1000,1000,0.7690156698226929,Q42848,False,False
394,394,0.7609435319900513,Q128570,False,False
982,982,0.7525393962860107,Q3966,False,False
1117,1117,0.7463522553443909,Q55624999,False,False
1047,1047,0.7448799014091492,Q4778968,False,False
590,590,0.7351318597793579,Q186152,False,False
905,905,0.7243698835372925,Q3240252,False,False
1138,1138,0.7216540575027466,Q5862903,False,False
1158,1158,0.7090661525726318,Q6173448,False,False
1339,1339,0.707023024559021,Q79872,False,False
490,490,0.7048760056495667,Q163310,False,False
372,372,0.7013130187988281,Q121416,False,False
546,546,0.6948026418685913,Q176452,False,False
648,648,0.6895452737808228,Q19399674,False,False
1457,1457,0.6876994371414185,Q938438,False,False
883,883,0.6848426461219788,Q3050461,False,False
478,478,0.681621789932251,Q15777,False,False
748,748,0.6719085574150085,Q2267705,False,False
908,908,0.6709207892417908,Q3257930,False,False
1174,1174,0.6708306074142456,Q623950,False,False
568,568,0.6688196063041687,Q180634,False,False
1057,1057,0.6644060015678406,Q48703087,False,False
267,267,0.6624056100845337,Q1143367,False,False
968,968,0.6590791344642639,Q380172,False,False
496,496,0.6542195081710815,Q165194,False,False
443,443,0.6485760807991028,Q141488,False,False
1337,1337,0.6483418941497803,Q79798,False,False
635,635,0.6461793184280396,Q192726,False,False
555,555,0.6459304094314575,Q1770325,False,False
1461,1461,0.6406347751617432,Q9492,False,False
381,381,0.6387936472892761,Q1254373,False,False
582,582,0.6334923505783081,Q184754,False,False
650,650,0.6317639350891113,Q194152,False,False
547,547,0.6229778528213501,Q176623,False,False
1306,1306,0.6216782927513123,Q751443,False,False
274,274,0.6192820072174072,Q1152135,False,False
935,935,0.6104122400283813,Q341,False,False
688,688,0.5856715440750122,Q207434,False,False
583,583,0.5779135227203369,Q184793,False,False
954,954,0.5754544138908386,Q366872,False,False
776,776,0.5738143920898438,Q2407,False,False
747,747,0.5684309005737305,Q22673982,False,False
927,927,0.5674723982810974,Q33742,False,False
293,293,0.5656680464744568,Q116777014,False,False
391,391,0.5586850047111511,Q127879,False,False
723,723,0.5583087801933289,Q216601,False,False
