,tail_id,score,tail_label,in_validation,in_testing
686,686,8.387056350708008,Q207011,False,False
762,762,8.045675277709961,Q2334061,False,False
82,82,6.045121192932129,Q1045706,False,False
394,394,5.414968967437744,Q128570,False,False
458,458,5.299682140350342,Q1465654,False,False
889,889,4.51859188079834,Q30642,False,False
1317,1317,4.5016961097717285,Q7600677,False,False
983,983,4.494235992431641,Q3968,False,False
559,559,4.452099323272705,Q177929,False,False
1307,1307,4.239269256591797,Q752532,False,False
913,913,4.195903301239014,Q327675,False,False
605,605,4.112420082092285,Q188522,False,False
1472,1472,4.090129852294922,Q96253971,False,False
784,784,3.9963436126708984,Q246064,False,False
829,829,3.9849650859832764,Q275603,False,False
234,234,3.885328769683838,Q11214,False,False
546,546,3.857067346572876,Q176452,False,False
481,481,3.752875566482544,Q15836568,False,False
380,380,3.7460741996765137,Q12525525,False,False
1162,1162,3.67439866065979,Q619942,False,False
439,439,3.6595778465270996,Q141090,False,False
1360,1360,3.6261610984802246,Q818888,False,False
782,782,3.595968008041382,Q245652,False,False
1042,1042,3.577657461166382,Q47607,False,False
350,350,3.4721155166625977,Q1186723,False,False
1311,1311,3.456427812576294,Q755673,False,False
1030,1030,3.3753461837768555,Q4671286,False,False
1358,1358,3.369452476501465,Q816826,False,False
255,255,3.339587450027466,Q1132755,False,False
1168,1168,3.3380775451660156,Q621673,False,False
820,820,3.3292698860168457,Q271977,False,False
1032,1032,3.308840751647949,Q467731,False,False
908,908,3.3067047595977783,Q3257930,False,False
272,272,3.2950077056884766,Q114869997,False,False
1292,1292,3.2876510620117188,Q7397,False,False
1013,1013,3.2864725589752197,Q44337,False,False
702,702,3.273776054382324,Q210832,False,False
1205,1205,3.269115686416626,Q6501338,False,False
1006,1006,3.250967025756836,Q4355609,False,False
1384,1384,3.2296831607818604,Q835922,False,False
1480,1480,3.2259461879730225,Q980509,False,False
665,665,3.1549298763275146,Q1988917,False,False
749,749,3.131592273712158,Q2269096,False,False
1282,1282,3.13103985786438,Q730920,False,False
1392,1392,3.1277060508728027,Q844240,False,False
812,812,3.1017613410949707,Q268592,False,False
763,763,3.058932065963745,Q2348,False,False
1425,1425,3.038954257965088,Q874709,False,False
1337,1337,3.0190937519073486,Q79798,False,False
215,215,3.0089974403381348,Q110224587,False,False
692,692,2.9922420978546143,Q20789991,False,False
1041,1041,2.961172342300415,Q47506,False,False
524,524,2.8935019969940186,Q17146476,False,False
236,236,2.8809046745300293,Q11216,False,False
746,746,2.8782296180725098,Q22670878,False,False
609,609,2.8467535972595215,Q188619,False,False
443,443,2.802107810974121,Q141488,False,False
589,589,2.798140048980713,Q186055,False,False
721,721,2.76134991645813,Q21652121,False,False
743,743,2.736234426498413,Q223655,False,False
553,553,2.694915294647217,Q176953,False,False
568,568,2.694754123687744,Q180634,False,False
540,540,2.680730104446411,Q175263,False,False
634,634,2.662199020385742,Q192588,False,False
821,821,2.6523990631103516,Q272404,False,False
1372,1372,2.6454062461853027,Q8272677,False,False
155,155,2.615112543106079,Q1058754,False,False
483,483,2.6065025329589844,Q15855099,False,False
161,161,2.5842082500457764,Q1064412,False,False
377,377,2.567237138748169,Q12482,False,False
490,490,2.5660669803619385,Q163310,False,False
1071,1071,2.565305709838867,Q50423863,False,False
1248,1248,2.560349941253662,Q7035728,False,False
478,478,2.5165109634399414,Q15777,False,False
1305,1305,2.4811956882476807,Q751436,False,False
736,736,2.4722542762756348,Q220644,False,False
156,156,2.4646737575531006,Q1058791,False,False
855,855,2.4535489082336426,Q2878974,False,False
992,992,2.4439854621887207,Q4118434,False,False
391,391,2.4175500869750977,Q127879,False,False
105,105,2.4156854152679443,Q1054772,False,False
1478,1478,2.384798049926758,Q97009416,False,False
790,790,2.361079454421997,Q2493,False,False
694,694,2.352121591567993,Q208042,False,False
167,167,2.335667371749878,Q1068715,False,False
388,388,2.3344690799713135,Q12718609,False,False
1049,1049,2.3128247261047363,Q478798,False,False
1298,1298,2.3099513053894043,Q7451136,False,False
1381,1381,2.3083174228668213,Q831672,False,False
1136,1136,2.3071651458740234,Q583461,False,False
848,848,2.2777397632598877,Q28598684,False,False
977,977,2.276376247406006,Q388,False,False
371,371,2.2663631439208984,Q12139612,False,False
936,936,2.2624661922454834,Q34253,False,False
750,750,2.2451765537261963,Q2271421,False,False
418,418,2.2410621643066406,Q13425103,False,False
1083,1083,2.2205028533935547,Q5155966,False,False
650,650,2.215932846069336,Q194152,False,False
627,627,2.2057714462280273,Q190524,False,False
433,433,2.202463388442993,Q1378470,False,False
1398,1398,2.1988162994384766,Q846636,False,False
356,356,2.197744846343994,Q1191981,False,False
578,578,2.1678309440612793,Q18395344,False,False
957,957,2.1633076667785645,Q373045,False,False
620,620,2.1412594318389893,Q189439,False,False
349,349,2.129847288131714,Q11862829,False,False
695,695,2.096020221710205,Q208163,False,False
1081,1081,2.08852219581604,Q5128020,False,False
75,75,2.0762903690338135,Q10302162,False,False
393,393,2.073725461959839,Q128392,False,False
378,378,2.0703372955322266,Q12483,False,False
623,623,2.0699222087860107,Q1900326,False,False
1297,1297,2.0660195350646973,Q74304,False,False
967,967,2.038573741912842,Q380,False,False
469,469,2.0244810581207275,Q1517650,False,False
152,152,2.017991542816162,Q105864815,False,False
979,979,2.0092201232910156,Q395,False,False
1380,1380,1.9981234073638916,Q831390,False,False
883,883,1.9680335521697998,Q3050461,False,False
1028,1028,1.934787631034851,Q465274,False,False
1117,1117,1.930924892425537,Q55624999,False,False
1342,1342,1.9165797233581543,Q80585,False,False
1241,1241,1.8989624977111816,Q7005249,False,False
1038,1038,1.8978228569030762,Q47165059,False,False
92,92,1.88743257522583,Q1049878,False,False
931,931,1.8869965076446533,Q34010,False,False
276,276,1.8842374086380005,Q1152399,False,False
741,741,1.871235966682434,Q223335,False,False
582,582,1.8705534934997559,Q184754,False,False
640,640,1.8625314235687256,Q193040,False,False
1272,1272,1.8504130840301514,Q723897,False,False
405,405,1.8416829109191895,Q131476,False,False
716,716,1.8262391090393066,Q214526,False,False
1154,1154,1.8257383108139038,Q613566,False,False
1230,1230,1.8144934177398682,Q676835,False,False
93,93,1.8093149662017822,Q1050404,False,False
1135,1135,1.8044955730438232,Q580427,False,False
1363,1363,1.7951170206069946,Q8226474,False,False
357,357,1.789573073387146,Q1192422,False,False
1401,1401,1.7757155895233154,Q8482479,False,False
1069,1069,1.7745790481567383,Q500716,False,False
893,893,1.7738492488861084,Q3087440,False,False
379,379,1.7661333084106445,Q12503,False,False
1374,1374,1.7629554271697998,Q8279954,False,False
1375,1375,1.761928677558899,Q829546,False,False
631,631,1.7594077587127686,Q192161,False,False
293,293,1.7579407691955566,Q116777014,False,False
629,629,1.7397680282592773,Q191026,False,False
673,673,1.7358721494674683,Q202843,False,False
662,662,1.7183268070220947,Q1981968,False,False
219,219,1.7067569494247437,Q110458263,False,False
638,638,1.6961649656295776,Q192903,False,False
1326,1326,1.6935595273971558,Q7673435,False,False
1308,1308,1.6847695112228394,Q752718,False,False
192,192,1.6775329113006592,Q1074173,False,False
164,164,1.663837194442749,Q1067099,False,False
907,907,1.6592073440551758,Q3251801,False,False
1370,1370,1.659066915512085,Q8271365,False,False
1310,1310,1.656240463256836,Q755662,False,False
1021,1021,1.646284818649292,Q4505959,False,False
882,882,1.6461927890777588,Q30503704,False,False
816,816,1.6336450576782227,Q27058,False,False
1110,1110,1.6133792400360107,Q5482740,False,False
927,927,1.6098729372024536,Q33742,False,False
480,480,1.6043691635131836,Q1579914,False,False
302,302,1.6030616760253906,Q116950977,False,False
600,600,1.5987131595611572,Q187631,False,False
960,960,1.5911262035369873,Q37437,False,False
518,518,1.5872517824172974,Q1709010,False,False
1299,1299,1.5850837230682373,Q7451191,False,False
657,657,1.5847259759902954,Q1962320,False,False
1394,1394,1.5827796459197998,Q844718,False,False
1454,1454,1.5822443962097168,Q926821,False,False
1171,1171,1.580695629119873,Q622849,False,False
76,76,1.577757716178894,Q10322548,False,False
577,577,1.5753077268600464,Q18357734,False,False
1193,1193,1.570648193359375,Q638608,False,False
279,279,1.5706422328948975,Q11540953,False,False
260,260,1.561919927597046,Q113678037,False,False
1388,1388,1.560673475265503,Q839721,False,False
531,531,1.5596489906311035,Q173142,False,False
1235,1235,1.5454517602920532,Q690265,False,False
153,153,1.5262027978897095,Q105866180,False,False
539,539,1.5159716606140137,Q174989,False,False
1190,1190,1.5137457847595215,Q635346,False,False
1216,1216,1.5088410377502441,Q65938634,False,False
603,603,1.5049097537994385,Q1879820,False,False
1347,1347,1.500854730606079,Q80993,False,False
271,271,1.5008399486541748,Q11476,False,False
1455,1455,1.4902231693267822,Q931461,False,False
747,747,1.488466501235962,Q22673982,False,False
526,526,1.4832446575164795,Q17155032,False,False
1443,1443,1.47250497341156,Q907375,False,False
286,286,1.4621224403381348,Q115707260,False,False
1306,1306,1.4590997695922852,Q751443,False,False
557,557,1.4557714462280273,Q17737,False,False
98,98,1.4556938409805298,Q1052379,False,False
888,888,1.4357956647872925,Q30640394,False,False
223,223,1.4341838359832764,Q110827069,False,False
86,86,1.4332232475280762,Q1047113,False,False
1009,1009,1.4224677085876465,Q439245,False,False
845,845,1.399095892906189,Q28455561,False,False
899,899,1.3983750343322754,Q31479975,False,False
989,989,1.3894896507263184,Q4055684,False,False
70,70,1.3843508958816528,Q101333,False,False
343,343,1.382586121559143,Q117801,False,False
937,937,1.37998628616333,Q3427422,False,False
1097,1097,1.3771791458129883,Q5300,False,False
1016,1016,1.3693417310714722,Q4479242,False,False
877,877,1.3669908046722412,Q302088,False,False
1155,1155,1.3635684251785278,Q613918,False,False
352,352,1.3580929040908813,Q1189053,False,False
