,tail_id,score,tail_label,in_validation,in_testing
1138,1138,46.4561653137207,Q5862903,False,False
631,631,44.036170959472656,Q192161,False,False
385,385,43.39497756958008,Q1268980,False,False
979,979,42.991981506347656,Q395,False,False
1292,1292,42.822391510009766,Q7397,False,False
1447,1447,42.81807327270508,Q9143,False,False
331,331,42.454261779785156,Q116964946,False,False
683,683,42.31422424316406,Q2067937,False,False
886,886,42.242008209228516,Q30594664,False,False
1412,1412,42.22319030761719,Q858810,False,False
1065,1065,42.143428802490234,Q494756,False,False
1290,1290,42.095603942871094,Q738532,False,False
1226,1226,42.00712966918945,Q6719052,False,False
1232,1232,41.98722839355469,Q68,False,False
1428,1428,41.971336364746094,Q877977,False,False
1304,1304,41.94367218017578,Q75,False,False
1016,1016,41.8836555480957,Q4479242,False,False
122,122,41.838294982910156,Q105849752,False,False
620,620,41.80881118774414,Q189439,False,False
1070,1070,41.68747329711914,Q5034491,False,False
990,990,41.451995849609375,Q40672098,False,False
1355,1355,41.41693878173828,Q815297,False,False
1476,1476,41.38706588745117,Q965769,False,False
328,328,41.35816192626953,Q116964943,False,False
573,573,41.35496520996094,Q182598,False,False
1000,1000,41.341766357421875,Q42848,False,False
1051,1051,41.28388595581055,Q4798119,False,False
823,823,41.257328033447266,Q272683,False,False
1291,1291,41.18153381347656,Q7388648,False,False
1060,1060,41.177398681640625,Q49414097,False,False
405,405,41.158748626708984,Q131476,False,False
95,95,41.145328521728516,Q1051282,False,False
908,908,41.13864517211914,Q3257930,False,False
21,21,41.127567291259766,P2078,False,False
246,246,41.10582733154297,Q112889106,False,False
196,196,41.09845733642578,Q1078262,False,False
1236,1236,41.09635543823242,Q691652,False,False
718,718,41.05369186401367,Q21562092,False,False
1078,1078,41.03755187988281,Q5083,False,False
76,76,41.01820373535156,Q10322548,False,False
181,181,41.00839614868164,Q107381441,False,False
664,664,40.98941421508789,Q19844913,False,False
958,958,40.97801208496094,Q374040,False,False
236,236,40.881202697753906,Q11216,False,False
1430,1430,40.877288818359375,Q8789,False,False
1435,1435,40.872589111328125,Q8866889,False,False
1218,1218,40.86497497558594,Q660848,False,False
532,532,40.845890045166016,Q173156,False,False
750,750,40.77535629272461,Q2271421,False,False
1287,1287,40.773277282714844,Q735441,False,False
983,983,40.6589241027832,Q3968,False,False
927,927,40.654937744140625,Q33742,False,False
712,712,40.63306427001953,Q213092,False,False
608,608,40.61553192138672,Q188610,False,False
41,41,40.591976165771484,P3757,False,False
34,34,40.56642150878906,P348,False,False
919,919,40.54352951049805,Q334384,False,False
1209,1209,40.5068244934082,Q6526225,False,False
306,306,40.456878662109375,Q116964913,False,False
820,820,40.443851470947266,Q271977,False,False
680,680,40.443519592285156,Q205692,False,False
741,741,40.431053161621094,Q223335,False,False
1261,1261,40.41267395019531,Q7214525,False,False
380,380,40.3868522644043,Q12525525,False,False
1408,1408,40.3798942565918,Q856741,False,False
1425,1425,40.355777740478516,Q874709,False,False
521,521,40.35127639770508,Q17123089,False,False
129,129,40.3450813293457,Q105850048,False,False
1358,1358,40.336395263671875,Q816826,False,False
1041,1041,40.32182312011719,Q47506,False,False
675,675,40.28357696533203,Q2035437,False,False
35,35,40.26988220214844,P3499,False,False
1418,1418,40.251895904541016,Q8647009,False,False
801,801,40.25070571899414,Q2555318,False,False
778,778,40.236961364746094,Q241317,False,False
685,685,40.22861099243164,Q206904,False,False
1231,1231,40.21549987792969,Q677051,False,False
138,138,40.20199966430664,Q105850495,False,False
1414,1414,40.19097137451172,Q85914626,False,False
1278,1278,40.165809631347656,Q7263850,False,False
1324,1324,40.16139221191406,Q76592,False,False
1445,1445,40.15132141113281,Q910404,False,False
1049,1049,40.10919952392578,Q478798,False,False
881,881,40.075531005859375,Q30452988,False,False
1019,1019,40.05331802368164,Q45037095,False,False
358,358,40.03315734863281,Q1192971,False,False
1206,1206,40.018558502197266,Q6504956,False,False
112,112,40.01686096191406,Q105849597,False,False
1118,1118,40.00741195678711,Q55680343,False,False
860,860,40.002342224121094,Q28923017,False,False
560,560,39.98945617675781,Q178377,False,False
61,61,39.96250534057617,P856,False,False
1255,1255,39.95152282714844,Q7126699,False,False
343,343,39.94356155395508,Q117801,False,False
1364,1364,39.93873977661133,Q82550,False,False
464,464,39.91340255737305,Q149972,False,False
1160,1160,39.900840759277344,Q6187717,False,False
873,873,39.89065933227539,Q29642950,False,False
355,355,39.84931564331055,Q11917068,False,False
699,699,39.84213638305664,Q2089134,False,False
500,500,39.83802795410156,Q1662562,False,False
1341,1341,39.828880310058594,Q80091,False,False
98,98,39.825740814208984,Q1052379,False,False
889,889,39.82048797607422,Q30642,False,False
1392,1392,39.80833435058594,Q844240,False,False
9,9,39.80546951293945,P1414,False,False
905,905,39.80179977416992,Q3240252,False,False
8,8,39.795494079589844,P1401,False,False
1137,1137,39.773193359375,Q58531884,False,False
938,938,39.76793670654297,Q3435924,False,False
459,459,39.76136779785156,Q14658,False,False
793,793,39.7365608215332,Q2526135,False,False
232,232,39.723087310791016,Q11205,False,False
578,578,39.721885681152344,Q18395344,False,False
2,2,39.68490982055664,P1032,False,False
174,174,39.67464065551758,Q107370376,False,False
277,277,39.66593933105469,Q115305900,False,False
1375,1375,39.660343170166016,Q829546,False,False
24,24,39.6475830078125,P2749,False,False
1353,1353,39.63551330566406,Q814447,False,False
1084,1084,39.632328033447266,Q5157286,False,False
436,436,39.63193130493164,Q14001,False,False
1028,1028,39.62296676635742,Q465274,False,False
678,678,39.595760345458984,Q205084,False,False
486,486,39.58686447143555,Q15976092,False,False
1360,1360,39.57553482055664,Q818888,False,False
827,827,39.574127197265625,Q2748079,False,False
735,735,39.57160186767578,Q220543,False,False
442,442,39.56470489501953,Q1414548,False,False
1333,1333,39.558712005615234,Q7832483,False,False
1180,1180,39.551025390625,Q629206,False,False
363,363,39.548152923583984,Q12015335,False,False
1469,1469,39.542701721191406,Q95972795,False,False
688,688,39.52833557128906,Q207434,False,False
966,966,39.52701187133789,Q379626,False,False
434,434,39.52260208129883,Q13785927,False,False
761,761,39.52157211303711,Q232661,False,False
208,208,39.50159454345703,Q1087987,False,False
1171,1171,39.49320983886719,Q622849,False,False
1095,1095,39.48088455200195,Q5297,False,False
256,256,39.467559814453125,Q113364611,False,False
1436,1436,39.45893096923828,Q89021580,False,False
158,158,39.45719909667969,Q10609775,False,False
1165,1165,39.4455451965332,Q620615,False,False
318,318,39.44501495361328,Q116964929,False,False
97,97,39.44294738769531,Q10513450,False,False
814,814,39.42461395263672,Q2695280,False,False
118,118,39.42393112182617,Q105849723,False,False
575,575,39.416263580322266,Q183197,False,False
1056,1056,39.416221618652344,Q486902,False,False
1420,1420,39.383548736572266,Q8682340,False,False
968,968,39.38169479370117,Q380172,False,False
846,846,39.35358810424805,Q28470421,False,False
695,695,39.32713317871094,Q208163,False,False
1003,1003,39.32444381713867,Q43260,False,False
1419,1419,39.31208419799805,Q865760,False,False
851,851,39.31145095825195,Q2872634,False,False
11,11,39.30720520019531,P144,False,False
884,884,39.29805374145508,Q30555529,False,False
1298,1298,39.29713821411133,Q7451136,False,False
1429,1429,39.2898063659668,Q878697,False,False
457,457,39.28079605102539,Q14656,False,False
941,941,39.279258728027344,Q3503416,False,False
378,378,39.2707405090332,Q12483,False,False
658,658,39.26482391357422,Q19636176,False,False
552,552,39.2608757019043,Q176769,False,False
152,152,39.260284423828125,Q105864815,False,False
443,443,39.248741149902344,Q141488,False,False
670,670,39.24016571044922,Q20087905,False,False
576,576,39.235557556152344,Q183484,False,False
243,243,39.23380661010742,Q112702082,False,False
1407,1407,39.22980880737305,Q8548779,False,False
1155,1155,39.227439880371094,Q613918,False,False
462,462,39.225650787353516,Q1475717,False,False
1306,1306,39.22338104248047,Q751443,False,False
1427,1427,39.2109375,Q8759226,False,False
625,625,39.20987319946289,Q190169,False,False
888,888,39.2029914855957,Q30640394,False,False
1305,1305,39.20096969604492,Q751436,False,False
841,841,39.198509216308594,Q28324912,False,False
1337,1337,39.18760681152344,Q79798,False,False
679,679,39.1843147277832,Q205446,False,False
721,721,39.18313980102539,Q21652121,False,False
1114,1114,39.17292404174805,Q55337796,False,False
433,433,39.167457580566406,Q1378470,False,False
249,249,39.15720748901367,Q1129466,False,False
540,540,39.13973617553711,Q175263,False,False
811,811,39.13702392578125,Q2667186,False,False
794,794,39.133453369140625,Q25339818,False,False
546,546,39.13164520263672,Q176452,False,False
652,652,39.11821365356445,Q194274,False,False
1044,1044,39.11742401123047,Q477202,False,False
537,537,39.11281204223633,Q174666,False,False
1344,1344,39.100772857666016,Q8078,False,False
650,650,39.09809875488281,Q194152,False,False
281,281,39.0880012512207,Q115564437,False,False
293,293,39.08219909667969,Q116777014,False,False
640,640,39.08065414428711,Q193040,False,False
849,849,39.064537048339844,Q28643,False,False
1087,1087,39.06241989135742,Q5227391,False,False
161,161,39.055877685546875,Q1064412,False,False
1107,1107,39.04703903198242,Q54277,False,False
40,40,39.037967681884766,P3756,False,False
890,890,39.03496170043945,Q30671979,False,False
617,617,39.03464126586914,Q189224,False,False
1168,1168,39.029441833496094,Q621673,False,False
440,440,39.021339416503906,Q14116,False,False
1247,1247,39.01383590698242,Q7035718,False,False
795,795,39.010475158691406,Q253405,False,False
1052,1052,39.00882339477539,Q483130,False,False
771,771,38.99836730957031,Q23793561,False,False
1409,1409,38.97854232788086,Q857102,False,False
1323,1323,38.97662353515625,Q76505,False,False
1464,1464,38.97389221191406,Q950250,False,False
1378,1378,38.95724105834961,Q830687,False,False
419,419,38.95650100708008,Q1343860,False,False
1260,1260,38.9511833190918,Q7184903,False,False
38,38,38.92763137817383,P3754,False,False
1101,1101,38.92690658569336,Q53755989,False,False
192,192,38.92532730102539,Q1074173,False,False
86,86,38.92168426513672,Q1047113,False,False
726,726,38.921321868896484,Q21708200,False,False
1102,1102,38.91584396362305,Q53756006,False,False
311,311,38.913238525390625,Q116964921,False,False
1074,1074,38.91020584106445,Q504843,False,False
1032,1032,38.9094352722168,Q467731,False,False
441,441,38.90331268310547,Q1412670,False,False
704,704,38.90192413330078,Q21129801,False,False
206,206,38.879547119140625,Q1085860,False,False
1415,1415,38.87483215332031,Q8591663,False,False
1482,1482,38.872581481933594,Q98363379,False,False
1173,1173,38.8664436340332,Q623818,False,False
1048,1048,38.85689163208008,Q4781497,False,False
564,564,38.852264404296875,Q179976,False,False
244,244,38.84196472167969,Q112821452,False,False
1177,1177,38.82819747924805,Q628051,False,False
1328,1328,38.82558059692383,Q7715973,False,False
656,656,38.82522201538086,Q1952502,False,False
544,544,38.824893951416016,Q1760641,False,False
845,845,38.81477737426758,Q28455561,False,False
140,140,38.794769287109375,Q105850512,False,False
1190,1190,38.790645599365234,Q635346,False,False
971,971,38.789894104003906,Q381060,False,False
1379,1379,38.784812927246094,Q831366,False,False
1091,1091,38.762332916259766,Q5282087,False,False
529,529,38.75932693481445,Q17237365,False,False
785,785,38.754676818847656,Q2462783,False,False
43,43,38.749488830566406,P400,False,False
589,589,38.74873733520508,Q186055,False,False
611,611,38.7421875,Q188860,False,False
26,26,38.7396240234375,P277,False,False
556,556,38.733585357666016,Q177058,False,False
62,62,38.719268798828125,P8770,False,False
1063,1063,38.6968994140625,Q49416323,False,False
207,207,38.69566345214844,Q108704339,False,False
168,168,38.69183349609375,Q106993266,False,False
784,784,38.68924331665039,Q246064,False,False
534,534,38.68870162963867,Q173326,False,False
245,245,38.6861457824707,Q11288,False,False
524,524,38.67034912109375,Q17146476,False,False
974,974,38.64841079711914,Q386275,False,False
1188,1188,38.643428802490234,Q633894,False,False
408,408,38.63642501831055,Q132364,False,False
