,tail_id,score,tail_label,in_validation,in_testing
4,4,296.2232360839844,P11197,False,False
639,639,291.5859375,Q192969,False,False
1488,1488,288.6162414550781,Q99513286,False,False
535,535,288.25054931640625,Q173341,False,False
644,644,288.0635070800781,Q193351,False,False
1468,1468,286.8245544433594,Q95955024,False,False
746,746,286.5017395019531,Q22670878,False,False
282,282,286.0059509277344,Q115570683,False,False
419,419,282.9208068847656,Q1343860,False,False
72,72,281.918212890625,Q1026367,False,False
1469,1469,281.7913513183594,Q95972795,False,False
847,847,281.567626953125,Q2858615,False,False
1177,1177,281.216796875,Q628051,False,False
650,650,280.82025146484375,Q194152,False,False
1262,1262,280.6563415527344,Q7215292,False,False
275,275,280.5850524902344,Q115215420,False,False
1339,1339,280.35693359375,Q79872,False,False
1336,1336,279.650146484375,Q796212,False,False
919,919,279.5721740722656,Q334384,False,False
540,540,279.5086975097656,Q175263,False,False
603,603,279.35650634765625,Q1879820,False,False
807,807,279.1240234375,Q2642629,False,False
1461,1461,279.0904235839844,Q9492,False,False
53,53,279.0603942871094,P61,False,False
538,538,278.9751892089844,Q174733,False,False
1442,1442,278.9423522949219,Q9038,False,False
245,245,278.93548583984375,Q11288,False,False
254,254,278.8514709472656,Q113208012,False,False
583,583,278.8078918457031,Q184793,False,False
495,495,278.53936767578125,Q1650915,False,False
536,536,278.5328674316406,Q1744628,False,False
542,542,278.2599792480469,Q1759657,False,False
1313,1313,278.1093444824219,Q7574076,False,False
771,771,278.0166015625,Q23793561,False,False
665,665,277.9843444824219,Q1988917,False,False
1256,1256,277.908447265625,Q7126717,False,False
953,953,277.8393859863281,Q364,False,False
798,798,277.83599853515625,Q2539,False,False
1347,1347,277.81805419921875,Q80993,False,False
519,519,277.7807312011719,Q170978,False,False
1292,1292,277.6406555175781,Q7397,False,False
1324,1324,277.49737548828125,Q76592,False,False
1232,1232,277.4283447265625,Q68,False,False
1183,1183,277.3936462402344,Q63085165,False,False
258,258,277.313232421875,Q113495219,False,False
875,875,277.2318115234375,Q30,False,False
496,496,277.2109069824219,Q165194,False,False
578,578,277.0878601074219,Q18395344,False,False
605,605,276.887451171875,Q188522,False,False
499,499,276.86541748046875,Q166142,False,False
792,792,276.7889099121094,Q251212,False,False
343,343,276.7301940917969,Q117801,False,False
77,77,276.6171875,Q10336440,False,False
994,994,276.6021728515625,Q4182287,False,False
678,678,276.55731201171875,Q205084,False,False
1379,1379,276.5067138671875,Q831366,False,False
909,909,276.50164794921875,Q327069,False,False
935,935,276.4563903808594,Q341,False,False
399,399,276.4349670410156,Q1301371,False,False
857,857,276.4042663574219,Q28865,False,False
770,770,276.3780822753906,Q23766486,False,False
1378,1378,276.31500244140625,Q830687,False,False
624,624,276.19134521484375,Q190087,False,False
589,589,276.190185546875,Q186055,False,False
662,662,276.1553649902344,Q1981968,False,False
1278,1278,276.1302490234375,Q7263850,False,False
1158,1158,276.1287536621094,Q6173448,False,False
1013,1013,276.06365966796875,Q44337,False,False
1447,1447,276.01715087890625,Q9143,False,False
1223,1223,275.9224548339844,Q66747126,False,False
547,547,275.9156494140625,Q176623,False,False
127,127,275.9022216796875,Q105849921,False,False
977,977,275.88458251953125,Q388,False,False
1476,1476,275.80352783203125,Q965769,False,False
905,905,275.79266357421875,Q3240252,False,False
205,205,275.7732238769531,Q108582200,False,False
761,761,275.69525146484375,Q232661,False,False
78,78,275.6181335449219,Q1034415,False,False
25,25,275.58319091796875,P275,False,False
1326,1326,275.5538635253906,Q7673435,False,False
1430,1430,275.5063781738281,Q8789,False,False
1481,1481,275.506103515625,Q9820,False,False
1317,1317,275.44793701171875,Q7600677,False,False
1291,1291,275.39544677734375,Q7388648,False,False
546,546,275.3912048339844,Q176452,False,False
1405,1405,275.3348388671875,Q8513,False,False
277,277,275.2673034667969,Q115305900,False,False
394,394,275.22515869140625,Q128570,False,False
641,641,275.1987609863281,Q193076,False,False
478,478,275.1345520019531,Q15777,False,False
714,714,275.0933837890625,Q21447895,False,False
405,405,275.0780944824219,Q131476,False,False
148,148,275.00360107421875,Q105860462,False,False
889,889,274.95477294921875,Q30642,False,False
661,661,274.9107360839844,Q197536,False,False
979,979,274.86224365234375,Q395,False,False
1215,1215,274.81842041015625,Q6588467,False,False
1044,1044,274.7209167480469,Q477202,False,False
498,498,274.71649169921875,Q165436,False,False
300,300,274.70538330078125,Q116950967,False,False
281,281,274.6859436035156,Q115564437,False,False
1166,1166,274.662841796875,Q621114,False,False
1286,1286,274.6121520996094,Q7344712,False,False
1023,1023,274.608642578125,Q456632,False,False
1022,1022,274.5562744140625,Q451553,False,False
688,688,274.519287109375,Q207434,False,False
6,6,274.5133361816406,P1324,False,False
634,634,274.483154296875,Q192588,False,False
1337,1337,274.4744567871094,Q79798,False,False
1016,1016,274.4494934082031,Q4479242,False,False
437,437,274.3480529785156,Q1401416,False,False
274,274,274.2875671386719,Q1152135,False,False
2,2,274.2845764160156,P1032,False,False
1162,1162,274.2811279296875,Q619942,False,False
128,128,274.2157897949219,Q105849958,False,False
1001,1001,274.2127685546875,Q43015,False,False
743,743,274.19744873046875,Q223655,False,False
767,767,274.13690185546875,Q23542287,False,False
636,636,274.11346435546875,Q192776,False,False
1000,1000,274.11029052734375,Q42848,False,False
1186,1186,274.04644775390625,Q63087,False,False
1239,1239,274.0014343261719,Q7003418,False,False
89,89,273.984375,Q104851,False,False
709,709,273.9206237792969,Q212542,False,False
997,997,273.9063415527344,Q420904,False,False
620,620,273.8841247558594,Q189439,False,False
1425,1425,273.87811279296875,Q874709,False,False
43,43,273.866943359375,P400,False,False
1130,1130,273.8498229980469,Q5747224,False,False
1329,1329,273.8456726074219,Q7724379,False,False
791,791,273.8266906738281,Q251,False,False
470,470,273.8034362792969,Q151885,False,False
530,530,273.7937316894531,Q172491,False,False
685,685,273.7772521972656,Q206904,False,False
846,846,273.7688903808594,Q28470421,False,False
1037,1037,273.76507568359375,Q47146,False,False
494,494,273.7123107910156,Q1635410,False,False
372,372,273.677001953125,Q121416,False,False
434,434,273.6755065917969,Q13785927,False,False
1193,1193,273.6658935546875,Q638608,False,False
601,601,273.6614074707031,Q187787,False,False
555,555,273.6439208984375,Q1770325,False,False
236,236,273.6152038574219,Q11216,False,False
963,963,273.6082763671875,Q37517,False,False
438,438,273.6074523925781,Q1406,False,False
648,648,273.59527587890625,Q19399674,False,False
622,622,273.5841369628906,Q189900,False,False
509,509,273.5832214355469,Q16980,False,False
818,818,273.5745849609375,Q2715623,False,False
968,968,273.53546142578125,Q380172,False,False
171,171,273.4945373535156,Q1072174,False,False
389,389,273.47515869140625,Q12772052,False,False
1069,1069,273.4606628417969,Q500716,False,False
748,748,273.4564514160156,Q2267705,False,False
276,276,273.4447021484375,Q1152399,False,False
1257,1257,273.369384765625,Q7135231,False,False
91,91,273.2836608886719,Q1049183,False,False
1396,1396,273.2755432128906,Q845566,False,False
40,40,273.27154541015625,P3756,False,False
219,219,273.25970458984375,Q110458263,False,False
1274,1274,273.2459411621094,Q724168,False,False
255,255,273.2371520996094,Q1132755,False,False
378,378,273.2364196777344,Q12483,False,False
1063,1063,273.2165832519531,Q49416323,False,False
1052,1052,273.2102966308594,Q483130,False,False
619,619,273.2013854980469,Q189436,False,False
267,267,273.1408996582031,Q1143367,False,False
1170,1170,273.12103271484375,Q622825,False,False
867,867,273.09747314453125,Q2914952,False,False
900,900,273.0916748046875,Q319400,False,False
349,349,273.0378112792969,Q11862829,False,False
