,tail_id,score,tail_label,in_validation,in_testing
427,427,2.8093066215515137,Q13649246,False,False
1020,1020,2.3782033920288086,Q45038012,False,False
885,885,2.2863311767578125,Q30556303,False,False
816,816,2.2744336128234863,Q27058,False,False
1187,1187,2.211228370666504,Q631425,False,False
81,81,2.164836883544922,Q1042397,False,False
519,519,2.1317944526672363,Q170978,False,False
206,206,2.0987565517425537,Q1085860,False,False
775,775,1.989726185798645,Q2395230,False,False
819,819,1.9861249923706055,Q271680,False,False
1007,1007,1.9839097261428833,Q43627,False,False
1455,1455,1.9605525732040405,Q931461,False,False
228,228,1.939374327659607,Q1116876,False,False
1471,1471,1.9122875928878784,Q962139,False,False
1070,1070,1.890174388885498,Q5034491,False,False
1345,1345,1.8780806064605713,Q8084959,False,False
545,545,1.8480385541915894,Q176165,False,False
1078,1078,1.8201524019241333,Q5083,False,False
197,197,1.8130234479904175,Q1078276,False,False
671,671,1.8129494190216064,Q201339,False,False
1213,1213,1.8118090629577637,Q6571566,False,False
1453,1453,1.7993049621582031,Q92622,False,False
587,587,1.7617658376693726,Q1859284,False,False
1321,1321,1.734941840171814,Q7631151,False,False
852,852,1.7316668033599854,Q28746410,False,False
13,13,1.7136393785476685,P154,False,False
1056,1056,1.6809943914413452,Q486902,False,False
866,866,1.6721429824829102,Q29120,False,False
784,784,1.6538598537445068,Q246064,False,False
1373,1373,1.645035982131958,Q827335,False,False
953,953,1.6369600296020508,Q364,False,False
384,384,1.6350539922714233,Q1268978,False,False
528,528,1.621113657951355,Q17176533,False,False
1406,1406,1.6196668148040771,Q8527505,False,False
138,138,1.5978753566741943,Q105850495,False,False
167,167,1.5975675582885742,Q1068715,False,False
714,714,1.5687625408172607,Q21447895,False,False
1423,1423,1.5465130805969238,Q870780,False,False
1337,1337,1.5374815464019775,Q79798,False,False
1285,1285,1.53134286403656,Q732089,False,False
1288,1288,1.5229625701904297,Q736866,False,False
1334,1334,1.5223652124404907,Q783866,False,False
843,843,1.5211377143859863,Q28365500,False,False
675,675,1.5196595191955566,Q2035437,False,False
1248,1248,1.517364501953125,Q7035728,False,False
921,921,1.503053069114685,Q3348143,False,False
871,871,1.490079402923584,Q2919848,False,False
1103,1103,1.4882892370224,Q53756539,False,False
52,52,1.4760823249816895,P575,False,False
1214,1214,1.4750580787658691,Q657498,False,False
1370,1370,1.4725935459136963,Q8271365,False,False
746,746,1.4655139446258545,Q22670878,False,False
818,818,1.464170217514038,Q2715623,False,False
1276,1276,1.4590424299240112,Q7247856,False,False
929,929,1.4549787044525146,Q339072,False,False
443,443,1.4487526416778564,Q141488,False,False
884,884,1.4443943500518799,Q30555529,False,False
639,639,1.4286730289459229,Q192969,False,False
915,915,1.4259788990020752,Q3306359,False,False
833,833,1.4169905185699463,Q28031555,False,False
761,761,1.4114811420440674,Q232661,False,False
785,785,1.4027783870697021,Q2462783,False,False
1135,1135,1.4003843069076538,Q580427,False,False
1272,1272,1.3990116119384766,Q723897,False,False
159,159,1.3807804584503174,Q1061656,False,False
335,335,1.378361463546753,Q11707952,False,False
848,848,1.3757503032684326,Q28598684,False,False
618,618,1.3721107244491577,Q189401,False,False
1031,1031,1.369520902633667,Q467252,False,False
505,505,1.354985237121582,Q1684188,False,False
258,258,1.3475816249847412,Q113495219,False,False
781,781,1.3461308479309082,Q2453355,False,False
762,762,1.3371343612670898,Q2334061,False,False
794,794,1.332939624786377,Q25339818,False,False
240,240,1.3256789445877075,Q11253473,False,False
492,492,1.3186638355255127,Q16346,False,False
1391,1391,1.3122758865356445,Q842433,False,False
989,989,1.3085311651229858,Q4055684,False,False
1047,1047,1.3078606128692627,Q4778968,False,False
958,958,1.2979544401168823,Q374040,False,False
70,70,1.2959258556365967,Q101333,False,False
6,6,1.2896060943603516,P1324,False,False
1389,1389,1.2877188920974731,Q840540,False,False
596,596,1.287183165550232,Q187432,False,False
330,330,1.2785720825195312,Q116964945,False,False
632,632,1.2769908905029297,Q1924819,False,False
749,749,1.276394248008728,Q2269096,False,False
1039,1039,1.2745590209960938,Q471906,False,False
87,87,1.2683730125427246,Q1047554,False,False
978,978,1.2597886323928833,Q389085,False,False
716,716,1.2553954124450684,Q214526,False,False
162,162,1.2540565729141235,Q1065131,False,False
1332,1332,1.246092677116394,Q782543,False,False
135,135,1.2445776462554932,Q105850321,False,False
260,260,1.244032859802246,Q113678037,False,False
1192,1192,1.2423198223114014,Q63721528,False,False
579,579,1.2358863353729248,Q184148,False,False
888,888,1.2333555221557617,Q30640394,False,False
367,367,1.2332911491394043,Q120470,False,False
123,123,1.2304258346557617,Q105849889,False,False
995,995,1.228374719619751,Q41883552,False,False
1268,1268,1.219968557357788,Q722192,False,False
1326,1326,1.2070724964141846,Q7673435,False,False
388,388,1.2064200639724731,Q12718609,False,False
1174,1174,1.20282781124115,Q623950,False,False
262,262,1.2007726430892944,Q1138496,False,False
1000,1000,1.1983942985534668,Q42848,False,False
977,977,1.1931570768356323,Q388,False,False
1374,1374,1.1834700107574463,Q8279954,False,False
1015,1015,1.1826505661010742,Q44749723,False,False
1042,1042,1.1819868087768555,Q47607,False,False
546,546,1.1778240203857422,Q176452,False,False
769,769,1.1681956052780151,Q2374463,False,False
883,883,1.1676812171936035,Q3050461,False,False
611,611,1.1631512641906738,Q188860,False,False
693,693,1.157442331314087,Q207977,False,False
1362,1362,1.1571646928787231,Q8210921,False,False
442,442,1.153610110282898,Q1414548,False,False
502,502,1.15351402759552,Q16691,False,False
54,54,1.1401934623718262,P6823,False,False
765,765,1.1386700868606567,Q23498,False,False
949,949,1.1361024379730225,Q3537694,False,False
392,392,1.1354600191116333,Q1283865,False,False
1179,1179,1.1300203800201416,Q6284201,False,False
1252,1252,1.1279903650283813,Q7112560,False,False
1215,1215,1.122404932975769,Q6588467,False,False
760,760,1.119403600692749,Q232207,False,False
1465,1465,1.1186730861663818,Q950981,False,False
485,485,1.1178549528121948,Q1593782,False,False
524,524,1.1159673929214478,Q17146476,False,False
