,head_id,relation_id,tail_id,score,in_validation,in_testing
7,21,4,21,-0.21937077,False,False
13,5,4,5,-0.22653913,False,False
16,42,4,42,-0.22870757,False,False
17,43,4,43,-0.22941193,False,False
18,29,4,29,-0.23068604,False,False
20,30,4,30,-0.23159148,False,False
24,18,4,18,-0.23389888,False,False
25,26,4,26,-0.23397586,False,False
27,41,4,41,-0.23535691,False,False
28,8,4,8,-0.23544128,False,False
30,4,4,4,-0.23682906,False,False
31,40,4,40,-0.23697549,False,False
32,11,4,11,-0.23705743,False,False
34,9,4,9,-0.23762462,False,False
35,2,4,2,-0.23783815,False,False
36,32,4,32,-0.2387649,False,False
37,14,4,14,-0.2389006,False,False
38,15,4,15,-0.23908958,False,False
40,34,4,34,-0.23980497,False,False
41,23,4,23,-0.2403451,False,False
43,0,4,0,-0.2415508,False,False
44,46,4,46,-0.24171576,False,False
47,12,4,12,-0.24248783,False,False
50,35,4,35,-0.24434792,False,False
51,45,4,45,-0.24455497,False,False
53,7,4,7,-0.24494351,False,False
54,36,4,36,-0.24534483,False,False
55,1,4,1,-0.2454968,False,False
56,25,4,25,-0.24582237,False,False
57,6,4,6,-0.24608278,False,False
58,10,4,10,-0.24635121,False,False
59,33,4,33,-0.24641511,False,False
61,31,4,31,-0.24789022,False,False
62,19,4,19,-0.24809,False,False
63,4,13,4,-0.25083816,False,False
65,37,4,37,-0.25129056,False,False
66,44,4,44,-0.25138164,False,False
67,39,4,39,-0.25148365,False,False
71,13,7,4,-0.25262743,False,False
72,18,7,4,-0.2527141,False,False
73,38,4,38,-0.25319564,False,False
74,3,4,3,-0.2534557,False,False
76,23,4,24,-0.25392255,False,False
77,27,4,27,-0.25401366,False,False
79,23,8,17,-0.25520095,False,False
80,6,0,43,-0.2557114,False,False
83,22,4,22,-0.25628132,False,False
84,38,7,4,-0.25718516,False,False
89,13,4,13,-0.258018,False,False
90,27,7,4,-0.2581363,False,False
91,15,7,4,-0.25816908,False,False
92,28,4,28,-0.25828743,False,False
94,36,8,17,-0.25851423,False,False
96,27,8,17,-0.2590288,False,False
98,17,4,17,-0.25909576,False,False
100,23,13,23,-0.25953442,False,False
102,14,8,17,-0.25996098,False,False
104,16,7,4,-0.2606527,False,False
105,9,13,9,-0.26077026,False,False
108,24,13,24,-0.26124036,False,False
110,10,7,4,-0.26133865,False,False
112,32,7,4,-0.26146337,False,False
115,30,10,34,-0.26180822,False,False
117,8,8,17,-0.26208898,False,False
120,23,7,1,-0.26233286,False,True
121,6,7,1,-0.26254234,False,False
122,4,7,4,-0.26320377,False,False
123,12,14,34,-0.26329395,False,False
124,21,8,17,-0.2639434,False,False
126,24,7,1,-0.26446506,False,False
127,32,9,13,-0.26447952,False,False
128,23,12,28,-0.26463774,False,False
129,3,13,3,-0.26477936,False,False
132,40,7,4,-0.2654005,False,False
133,20,4,20,-0.2657423,False,False
134,34,13,41,-0.26590756,False,False
136,4,2,4,-0.26596266,False,False
137,43,13,43,-0.2661821,False,False
140,44,9,23,-0.26649225,False,False
142,2,7,1,-0.26666665,False,False
143,23,7,4,-0.26679423,True,False
144,24,8,17,-0.26688266,False,False
146,25,13,25,-0.26765212,False,False
147,24,7,4,-0.267678,False,False
148,30,13,30,-0.2678871,False,False
150,12,13,16,-0.26814166,False,False
151,28,12,28,-0.26819018,False,False
152,9,7,4,-0.26823017,False,False
153,16,13,16,-0.2683471,False,False
154,37,8,17,-0.26852724,False,False
155,18,10,19,-0.2686877,False,False
157,24,11,5,-0.2688378,False,False
158,45,9,23,-0.26885083,False,False
159,46,9,23,-0.2689476,False,False
160,21,13,29,-0.2691003,False,False
161,24,14,34,-0.2691789,True,False
162,32,7,1,-0.26923144,False,False
165,12,8,17,-0.2695048,False,False
166,10,1,10,-0.2696012,False,False
167,34,13,34,-0.2696135,False,False
168,32,6,44,-0.26963115,False,False
169,32,6,36,-0.26983175,False,False
170,43,7,4,-0.2698338,False,False
171,44,7,4,-0.2699393,False,False
172,46,14,34,-0.26999795,False,False
173,21,7,21,-0.26999962,False,False
174,37,13,37,-0.2700522,False,False
176,43,1,43,-0.27009913,False,False
177,3,13,8,-0.27009928,False,False
178,3,13,28,-0.2702553,False,False
179,34,6,22,-0.27044824,False,False
180,40,12,40,-0.27061555,False,False
181,44,13,44,-0.27063212,False,False
182,7,9,23,-0.27063286,False,False
183,21,13,21,-0.27065706,False,False
184,32,7,32,-0.27066925,False,False
185,0,8,17,-0.27068642,False,False
186,43,13,23,-0.2707596,False,False
187,28,4,24,-0.27085945,False,False
188,39,6,28,-0.27091366,False,False
189,27,13,27,-0.27101785,False,False
190,16,9,23,-0.27107704,False,False
192,18,10,4,-0.27125442,False,False
193,7,10,26,-0.27128792,False,False
194,13,13,13,-0.27133098,False,False
195,42,9,23,-0.27142367,False,False
196,33,7,33,-0.27150375,False,False
197,16,12,28,-0.27162516,False,False
